column,subtask,group_level,group_id,n_items,rise_gains,rise_losses,rise_unchanged,rise_net,rise_net_pct,rise_gain_pct,rise_loss_pct,rise_churn_pct,fall_gains,fall_losses,fall_unchanged,fall_net,fall_net_pct,fall_gain_pct,fall_loss_pct,fall_churn_pct
BLiMP,sentential_subject_island,column+subtask,BLiMP||sentential_subject_island,961,5,38,918,-33,-3.433922996878252,0.5202913631633715,3.954214360041623,4.474505723204994,11,7,943,4,0.41623309053069724,1.1446409989594173,0.72840790842872,1.8730489073881373
BLiMP,npi_present_1,column+subtask,BLiMP||npi_present_1,909,32,4,873,28,3.08030803080308,3.52035203520352,0.44004400440044,3.9603960396039604,1,25,883,-24,-2.6402640264026402,0.11001100110011,2.7502750275027505,2.8602860286028604
BLiMP,npi_present_2,column+subtask,BLiMP||npi_present_2,914,33,7,874,26,2.8446389496717726,3.6105032822757113,0.7658643326039387,4.3763676148796495,7,15,892,-8,-0.87527352297593,0.7658643326039387,1.6411378555798686,2.4070021881838075
BLiMP,irregular_past_participle_verbs,column+subtask,BLiMP||irregular_past_participle_verbs,942,1,25,916,-24,-2.547770700636943,0.10615711252653928,2.6539278131634823,2.7600849256900215,11,12,919,-1,-0.10615711252653928,1.167728237791932,1.2738853503184715,2.4416135881104037
BLiMP,wh_vs_that_with_gap_long_distance,column+subtask,BLiMP||wh_vs_that_with_gap_long_distance,910,0,22,888,-22,-2.417582417582418,0.0,2.417582417582418,2.417582417582418,5,1,904,4,0.43956043956043955,0.5494505494505495,0.10989010989010989,0.6593406593406593
BLiMP,wh_vs_that_with_gap,column+subtask,BLiMP||wh_vs_that_with_gap,919,6,28,885,-22,-2.3939064200217626,0.6528835690968444,3.0467899891186074,3.6996735582154514,15,6,898,9,0.9793253536452665,1.632208922742111,0.6528835690968444,2.2850924918389555
BLiMP,sentential_negation_npi_scope,column+subtask,BLiMP||sentential_negation_npi_scope,871,23,3,845,20,2.2962112514351323,2.640642939150402,0.3444316877152698,2.9850746268656714,7,6,858,1,0.1148105625717566,0.8036739380022963,0.6888633754305395,1.4925373134328357
BLiMP,wh_vs_that_no_gap_long_distance,column+subtask,BLiMP||wh_vs_that_no_gap_long_distance,875,21,2,852,19,2.1714285714285713,2.4,0.2285714285714286,2.6285714285714286,1,6,868,-5,-0.5714285714285714,0.1142857142857143,0.6857142857142857,0.8
BLiMP,superlative_quantifiers_1,column+subtask,BLiMP||superlative_quantifiers_1,979,22,1,956,21,2.1450459652706844,2.247191011235955,0.10214504596527069,2.3493360572012256,11,3,965,8,0.8171603677221655,1.1235955056179776,0.30643513789581206,1.4300306435137897
BLiMP,wh_island,column+subtask,BLiMP||wh_island,960,9,29,922,-20,-2.083333333333333,0.9375,3.0208333333333335,3.958333333333333,10,19,931,-9,-0.9375,1.0416666666666665,1.9791666666666665,3.0208333333333335
BLiMP,existential_there_quantifiers_2,column+subtask,BLiMP||existential_there_quantifiers_2,911,18,6,887,12,1.3172338090010975,1.9758507135016465,0.6586169045005488,2.634467618002195,4,22,885,-18,-1.9758507135016465,0.43907793633369924,2.4149286498353457,2.8540065861690453
