column,group_level,group_id,n_items,rise_gains,rise_losses,rise_unchanged,rise_net,rise_net_pct,rise_gain_pct,rise_loss_pct,rise_churn_pct,fall_gains,fall_losses,fall_unchanged,fall_net,fall_net_pct,fall_gain_pct,fall_loss_pct,fall_churn_pct
BLiMP,column,BLiMP,59875,724,692,58459,32,0.05344467640918581,1.209185803757829,1.1557411273486429,2.364926931106472,506,588,58781,-82,-0.1369519832985386,0.8450939457202506,0.9820459290187891,1.8271398747390397
Supplement,column,Supplement,5218,50,54,5114,-4,-0.07665772326561901,0.9582215408202376,1.0348792640858566,1.9931008049060943,42,28,5148,14,0.2683020314296665,0.8049060942889995,0.536604062859333,1.3415101571483325
EWoK,column,EWoK,7618,145,157,7316,-12,-0.15752165922814387,1.9033867156734052,2.060908374901549,3.964295090574954,122,119,7377,3,0.03938041480703597,1.6014702021527958,1.56208978734576,3.1635599894985558
Entity,column,Entity,6780,88,74,6618,14,0.20648967551622419,1.2979351032448379,1.0914454277286136,2.3893805309734515,61,66,6653,-5,-0.07374631268436578,0.8997050147492626,0.9734513274336283,1.8731563421828907
COMPS,column,COMPS,91028,1858,1829,87341,29,0.03185832930526871,2.0411302016961814,2.0092718723909124,4.050402074087094,1385,1380,88263,5,0.005492815397460122,1.5215098650964538,1.5160170496989938,3.0375269147954476
GlobalPIQA,column,GlobalPIQA,203,5,1,197,4,1.9704433497536946,2.4630541871921183,0.49261083743842365,2.955665024630542,0,2,201,-2,-0.9852216748768473,0.0,0.9852216748768473,0.9852216748768473
