model_type,model_label,pair_id,pair_type,target_segment,token_text,token_norm,token_is_content_norm,orig_id,copy_by_id,copy_by_text,source_bpe_zone_by_id,source_bpe_zone_by_norm,source_bpe_positions_by_id,source_bpe_positions_by_norm,repeat_prefix_words,source_word_count,source_token_count,paired_nll,sideonly_nll,lift_nll_sideonly_minus_paired
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,disc,disc,True,1207,True,True,prefix_only,prefix_only,[1],[1],7,10,13,0.020982667803764343,10.826412200927734,10.80542953312397
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,are,are,False,331,True,True,prefix_only,prefix_only,[2],[2],7,10,13,0.027900854125618935,0.34138137102127075,0.3134805168956518
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,and,and,False,223,True,True,prefix_only,prefix_only,[5],[5],7,10,13,0.028295284137129784,1.0202916860580444,0.9919964019209146
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,source,usually,usually,True,2591,True,True,prefix_only,prefix_only,[6],[6],7,10,13,0.20730635523796082,3.901191234588623,3.6938848793506622
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,Bul,bul,False,11494,True,True,prefix_only,prefix_only,[0],[0],7,10,13,1.3577160835266113,13.117920875549316,11.760204792022705
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,and,and,False,223,True,True,prefix_only,prefix_only,[5],[5],7,10,13,0.023225530982017517,1.0039581060409546,0.9807325750589371
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,pain,pain,True,2343,True,True,tail_only,tail_only,[9],[9],7,10,13,0.4169868230819702,8.576620101928711,8.15963327884674
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,compact,other,less,less,False,1251,False,False,not_in_source,not_in_source,[],[],7,10,13,6.093142986297607,4.884219169616699,-1.2089238166809082
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,are,are,False,331,True,True,prefix_only,prefix_only,[2],[2],7,10,13,0.02191109023988247,0.34138137102127075,0.3194702807813883
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,more,more,False,522,True,True,prefix_only,prefix_only,[3],[3],7,10,13,0.028813380748033524,3.8078861236572266,3.779072742909193
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,no,no,False,344,False,False,tail_only,tail_only,[8],[8],7,10,13,4.653531074523926,4.985141277313232,0.33161020278930664
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,source,pain,pain,True,2343,False,False,tail_only,tail_only,[9],[9],7,10,13,6.42020320892334,5.882035255432129,-0.5381679534912109
mlm,scale1p75_chck82,compact:frontier_consolidation_fwcompact_medium_012971,repeat,other,ging,ging,True,2410,True,True,prefix_only,prefix_only,[0],[0],7,10,13,0.10122797638177872,7.8525519371032715,7.751323960721493
