arch,seed,role,checkpoint,n,mean_source_mass,mean_target_prob,mean_source_to_target_mass_ratio,top1_source_rate,mean_top10_source_hits,mean_target_rank
D,43022,C,chck_100M,2585,0.3799677228033128,0.04114005477578239,439015.2517317312,0.6224371373307543,1.7431334622823984,505.40038684719536
D,43022,C,chck_80M,2585,0.3739614888772648,0.040470771138698194,376199.99555150996,0.6150870406189555,1.748936170212766,511.6537717601547
D,43022,C,chck_90M,2585,0.3811989336357119,0.040906667185411194,413150.1290333882,0.627852998065764,1.7632495164410058,507.0174081237911
D,43022,R,chck_100M,2585,0.46988387292905576,0.03391603983799285,2426519.3920545136,0.6874274661508704,1.9114119922630561,499.8274661508704
D,43022,R,chck_80M,2585,0.4993497342904476,0.03024229215500133,2935427.7046606736,0.7253384912959381,1.974468085106383,550.2557059961315
D,43022,R,chck_90M,2585,0.47641442750763535,0.03389100380003943,2275131.7764941733,0.6912959381044488,1.9032882011605416,506.47117988394587
D,43022,V,chck_100M,2585,0.3813533557465799,0.10053943048775289,359541.56573958846,0.5849129593810445,1.5961315280464217,220.75396518375243
D,43022,V,chck_80M,2585,0.38329825352252966,0.09413402451547809,672275.0927033103,0.5880077369439072,1.6313346228239844,242.7880077369439
D,43022,V,chck_90M,2585,0.38013413789206635,0.09996676568547824,352954.80516368285,0.5849129593810445,1.6065764023210831,224.0448742746615
D,43122,C,chck_100M,2585,0.3606809997344486,0.03942099060844771,413718.11884866253,0.6050290135396519,1.7589941972920697,549.7338491295939
D,43122,C,chck_80M,2585,0.3612777400265135,0.0378868687390761,485752.30626093654,0.6077369439071567,1.7740812379110251,563.4847195357834
D,43122,C,chck_90M,2585,0.36182531679095686,0.03911991446732715,378984.1185297869,0.6127659574468085,1.765183752417795,555.0758220502902
D,43122,R,chck_100M,2585,0.5087183663682454,0.03072641142022362,2075950.0125392848,0.7369439071566731,1.957833655705996,529.7949709864604
D,43122,R,chck_80M,2585,0.4961544329011342,0.030794103806815014,3130463.6349621196,0.7206963249516442,1.944294003868472,537.7415860735009
D,43122,R,chck_90M,2585,0.5043902573312634,0.030930697165242455,2132470.0183073245,0.7299806576402321,1.9667311411992263,534.8657640232109
D,43122,V,chck_100M,2585,0.3637120478055104,0.10261065435477129,61011.551964357386,0.565183752417795,1.6,189.21895551257253
D,43122,V,chck_80M,2585,0.3604930330553434,0.0971504968176214,58177.893315580615,0.5582205029013539,1.579110251450677,202.19574468085105
D,43122,V,chck_90M,2585,0.36407808977074746,0.10188823838864558,65888.46459052704,0.567504835589942,1.602707930367505,191.75164410058028
D,43222,C,chck_100M,2585,0.3792289042812268,0.04148660854596118,303234.1559026219,0.6332688588007737,1.7949709864603483,532.5922630560929
D,43222,C,chck_80M,2585,0.3725132320736735,0.03956114090589019,370289.6233440327,0.6305609284332688,1.7934235976789168,561.4560928433269
D,43222,C,chck_90M,2585,0.3788010455762011,0.04175486012931854,288270.73554524686,0.6317214700193423,1.7949709864603483,535.2417794970986
D,43222,R,chck_100M,2585,0.47028892064286004,0.030305730263153224,537795.2594598157,0.7013539651837524,1.9918762088974855,506.61972920696326
D,43222,R,chck_80M,2585,0.46836138843366965,0.028001263300338013,519061.2223875507,0.6970986460348162,2.0073500967117988,535.4905222437137
D,43222,R,chck_90M,2585,0.4699744665935921,0.030078499463213393,526441.0388368479,0.6963249516441006,2.0139264990328822,504.5934235976789
D,43222,V,chck_100M,2585,0.36984134809426555,0.09662361063081443,361470.83492659236,0.5775628626692456,1.579110251450677,208.18027079303675
D,43222,V,chck_80M,2585,0.3696655882188122,0.09173309065259443,295649.0823034699,0.5806576402321083,1.6379110251450677,221.69013539651837
D,43222,V,chck_90M,2585,0.3664653644885405,0.09574564739324246,341194.05931370676,0.5794970986460348,1.5868471953578336,208.10638297872342
