domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,494,0.48380566801619435,151,0.305668016194332,0.592156862745098,255,-0.003838382661342621
social-relations,303,0.5346534653465347,89,0.29372937293729373,0.6312056737588653,141,0.020784616470336914
spatial-relations,147,0.4013605442176871,67,0.4557823129251701,0.7613636363636364,88,-0.028885871171951294
physical-relations,223,0.5739910313901345,33,0.14798206278026907,0.3473684210526316,95,0.05029661953449249
material-dynamics,65,0.47692307692307695,29,0.4461538461538462,0.8529411764705882,34,-0.32170993089675903
quantitative-properties,46,0.41304347826086957,24,0.5217391304347826,0.8888888888888888,27,-0.07958517968654633
social-properties,40,0.525,14,0.35,0.7368421052631579,19,-0.11687122099101543
physical-interactions,93,0.5913978494623656,13,0.13978494623655913,0.34210526315789475,38,0.0534835010766983
social-interactions,38,0.631578947368421,8,0.21052631578947367,0.5714285714285714,14,0.029364705085754395
material-properties,9,0.6666666666666666,1,0.1111111111111111,0.3333333333333333,3,0.42387984693050385
physical-dynamics,13,0.7692307692307693,1,0.07692307692307693,0.3333333333333333,3,0.2623120844364166
