arm,mode,target40,target50,acc40,acc50,delta_acc,hard52_acc40,hard52_acc50,delta_hard52_acc,hard52_margin40,hard52_margin50,delta_hard52_margin,gained_correct,lost_correct,rank_improved,rank_worse,margin_improved,margin_worse
adamw,parallel,adamw40,adamw50,26.21359223300971,28.155339805825243,1.9417475728155331,1.9230769230769231,3.8461538461538463,1.9230769230769231,1.730443625848056,1.7618715707695967,0.03142794492154066,7,5,24,20,43,38
adamw,nonparallel,adamw40,adamw50,51.0,45.0,-6.0,,,,,,,7,13,7,13,22,40
continuous_muon,parallel,continuous_muon40,continuous_muon50,22.33009708737864,27.184466019417474,4.854368932038835,1.9230769230769231,5.769230769230769,3.846153846153846,1.8718880243359286,1.8485801650914064,-0.023307859244522167,10,5,30,18,44,41
continuous_muon,nonparallel,continuous_muon40,continuous_muon50,45.0,48.0,3.0,,,,,,,11,8,11,8,30,33
muon20toadamw,parallel,muon20toadamw40,muon20toadamw50,20.388349514563107,26.21359223300971,5.825242718446603,1.9230769230769231,5.769230769230769,3.846153846153846,1.8409605828709983,1.6988263951694615,-0.14213418770153674,13,7,29,19,55,34
muon20toadamw,nonparallel,muon20toadamw40,muon20toadamw50,56.0,51.0,-5.0,,,,,,,8,13,8,13,25,32
muon40toadamw,parallel,muon40toadamw40,muon40toadamw50,22.33009708737864,23.300970873786408,0.9708737864077683,1.9230769230769231,7.6923076923076925,5.769230769230769,1.8718880243359286,1.6795223558465855,-0.1923656684893431,7,6,22,19,52,34
muon40toadamw,nonparallel,muon40toadamw40,muon40toadamw50,45.0,45.0,0.0,,,,,,,9,9,9,9,35,29
