domain,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
agent-properties,2210,0.5004524886877828,812,0.36742081447963804,0.7355072463768116,1104,-0.06316637646523304
social-relations,1548,0.5,534,0.3449612403100775,0.689922480620155,774,-0.06429519969969988
physical-relations,818,0.5024449877750611,303,0.3704156479217604,0.7444717444717445,407,-0.006408168468624353
spatial-relations,490,0.4714285714285714,199,0.4061224489795918,0.7683397683397684,259,-0.1136553140822798
physical-interactions,556,0.49280575539568344,198,0.35611510791366907,0.7021276595744681,282,-0.11384214903227985
material-dynamics,770,0.574025974025974,182,0.23636363636363636,0.5548780487804879,328,0.20916352607309818
quantitative-properties,314,0.5191082802547771,87,0.2770700636942675,0.5761589403973509,151,0.24050486204214394
social-properties,328,0.5213414634146342,79,0.24085365853658536,0.5031847133757962,157,0.19174180924892426
social-interactions,294,0.5680272108843537,72,0.24489795918367346,0.5669291338582677,127,0.3546649180352688
physical-dynamics,120,0.48333333333333334,47,0.39166666666666666,0.7580645161290323,62,-0.04854190594051033
material-properties,170,0.5705882352941176,27,0.1588235294117647,0.3698630136986301,73,0.5063368044793606
