family,arch,seed,checkpoint,arm,role,group,n,mean_gain,repeated_nll,unrepeated_control_nll,normalized_gain_by_control,gain_sd,gain_se
copy,D,43022,chck_100M,D_C_43022,C,ALL,2000,3.6943634949835302,0.3831298776533022,4.077493372636832,0.906037890772698,3.7512958204294162,0.08388152458191019
copy,D,43022,chck_100M,D_R_43022,R,ALL,2000,4.161582367425114,0.2034905019846857,4.3650728694098,0.9533821065369293,4.101964156224029,0.09172270694584496
copy,D,43022,chck_100M,D_V_43022,V,ALL,2000,4.014276821363527,0.3784424102000573,4.392719231563584,0.9138478035471094,4.086823713546281,0.09138415635547611
copy,D,43022,chck_80M,D_C_43022,C,ALL,2000,3.6549016409953476,0.4044440854005638,4.059345726395912,0.9003671742540515,3.680922864680508,0.08230793745358875
copy,D,43022,chck_80M,D_R_43022,R,ALL,2000,4.193962873260293,0.20689367483777044,4.400856548098063,0.9529878621180725,4.104878534946699,0.09178787443520564
copy,D,43022,chck_80M,D_V_43022,V,ALL,2000,4.018221683784589,0.3844271502254632,4.402648834010053,0.9126827587847117,4.052226196596469,0.09061053235795131
copy,D,43022,chck_90M,D_C_43022,C,ALL,2000,3.711297154229921,0.3864156427881319,4.097712797018054,0.9056996763976891,3.7607702159251657,0.08409337850565232
copy,D,43022,chck_90M,D_R_43022,R,ALL,2000,4.2037541871053525,0.1992369764301681,4.402991163535522,0.9547496306419598,4.132436182382302,0.09240408216486547
copy,D,43022,chck_90M,D_V_43022,V,ALL,2000,4.009384055191637,0.38322176925369905,4.3926058244453365,0.9127575328701182,4.083833703994377,0.09131729770936181
copy,D,43122,chck_100M,D_C_43122,C,ALL,2000,3.6234326381539814,0.4190082131456229,4.042440851299604,0.8963477194698061,3.724457622711873,0.08328140423701012
copy,D,43122,chck_100M,D_R_43122,R,ALL,2000,4.279186693628082,0.23241202693870458,4.511598720566786,0.9484856607749224,4.216172574604307,0.09427648481685533
copy,D,43122,chck_100M,D_V_43122,V,ALL,2000,3.9159958796998233,0.3965742667554572,4.31257014645528,0.9080422455084189,3.9616074684946967,0.08858423599724997
copy,D,43122,chck_80M,D_C_43122,C,ALL,2000,3.606525418208942,0.4393893409768043,4.045914759185746,0.891399258973703,3.6994639775108924,0.08272252934026109
copy,D,43122,chck_80M,D_R_43122,R,ALL,2000,4.307701968534677,0.24800168725201582,4.555703655786692,0.9455623749940361,4.220928115308042,0.09438282193968853
