family,arch,seed,checkpoint,group,contrast,n,gain_delta,gain_delta_sd,gain_delta_se,true_source_nll_delta_a_minus_b,unrelated_source_nll_delta_a_minus_b,excess_true_nll_cost_over_unrelated,excess_true_cost_se
rewrite,D,43022,chck_100M,ALL,VminusC,5892,0.6245034317777688,2.6325975409554414,0.034296760619272317,-1.0542610742861838,-0.42975764250841486,-0.6245034317777688,0.03429676061927232
rewrite,D,43022,chck_100M,ALL,RminusC,5892,-0.44599855662476484,2.295524354780122,0.02990546335579667,0.11597983805147159,-0.33001871857329323,0.44599855662476484,0.029905463355796677
rewrite,D,43022,chck_100M,ALL,VminusR,5892,1.0705019884025337,2.7710770881127496,0.03610083427870289,-1.1702409123376554,-0.09973892393512161,-1.0705019884025337,0.03610083427870289
rewrite,D,43022,chck_100M,ALL,RminusV,5892,-1.0705019884025337,2.7710770881127496,0.03610083427870289,1.1702409123376554,0.09973892393512161,1.0705019884025337,0.03610083427870289
rewrite,D,43022,chck_100M,ALL,CminusR,5892,0.44599855662476484,2.295524354780122,0.02990546335579667,-0.11597983805147159,0.33001871857329323,-0.44599855662476484,0.029905463355796677
rewrite,D,43022,chck_80M,ALL,VminusC,5892,0.602535105746439,2.631454758734236,0.03428187276510133,-1.0262557724819095,-0.4237206667354703,-0.602535105746439,0.03428187276510133
rewrite,D,43022,chck_80M,ALL,RminusC,5892,-0.5782409706577036,2.467634544083221,0.03214766782147574,0.2640941027994997,-0.31414686785820395,0.5782409706577036,0.03214766782147574
rewrite,D,43022,chck_80M,ALL,VminusR,5892,1.1807760764041426,2.9044165887262547,0.03783794481781515,-1.290349875281409,-0.10957379887726643,-1.1807760764041426,0.03783794481781515
rewrite,D,43022,chck_80M,ALL,RminusV,5892,-1.1807760764041426,2.9044165887262547,0.03783794481781515,1.290349875281409,0.10957379887726643,1.1807760764041426,0.03783794481781515
rewrite,D,43022,chck_80M,ALL,CminusR,5892,0.5782409706577036,2.467634544083221,0.03214766782147574,-0.2640941027994997,0.31414686785820395,-0.5782409706577036,0.03214766782147574
rewrite,D,43022,chck_90M,ALL,VminusC,5892,0.6109059843918471,2.627450733346138,0.03422970941764213,-1.065510290594311,-0.45460430620246406,-0.6109059843918471,0.03422970941764215
rewrite,D,43022,chck_90M,ALL,RminusC,5892,-0.45243055151137646,2.294976665685259,0.029898328212088574,0.09516611473811043,-0.357264436773266,0.45243055151137646,0.029898328212088574
rewrite,D,43022,chck_90M,ALL,VminusR,5892,1.0633365359032234,2.7439310120773186,0.035747182625893915,-1.1606764053324214,-0.09733986942919802,-1.0633365359032234,0.035747182625893915
rewrite,D,43022,chck_90M,ALL,RminusV,5892,-1.0633365359032234,2.7439310120773186,0.035747182625893915,1.1606764053324214,0.09733986942919802,1.0633365359032234,0.035747182625893915
rewrite,D,43022,chck_90M,ALL,CminusR,5892,0.45243055151137646,2.294976665685259,0.029898328212088574,-0.09516611473811043,0.357264436773266,-0.45243055151137646,0.029898328212088574
rewrite,D,43122,chck_100M,ALL,VminusC,5892,0.7766864606592955,2.5340224845842916,0.03301255174997222,-1.1573247479412228,-0.38063828728192733,-0.7766864606592955,0.03301255174997221
rewrite,D,43122,chck_100M,ALL,RminusC,5892,-0.6400622352736532,2.5925636948086646,0.03377521062288871,0.3108143819040826,-0.32924785336957063,0.6400622352736532,0.03377521062288871
rewrite,D,43122,chck_100M,ALL,VminusR,5892,1.4167486959329487,3.0210561432957643,0.039357493028118945,-1.4681391298453055,-0.0513904339123567,-1.4167486959329487,0.039357493028118945
rewrite,D,43122,chck_100M,ALL,RminusV,5892,-1.4167486959329487,3.0210561432957643,0.039357493028118945,1.4681391298453055,0.0513904339123567,1.4167486959329487,0.039357493028118945
rewrite,D,43122,chck_100M,ALL,CminusR,5892,0.6400622352736532,2.5925636948086646,0.03377521062288871,-0.3108143819040826,0.32924785336957063,-0.6400622352736532,0.03377521062288871
rewrite,D,43122,chck_80M,ALL,VminusC,5892,0.7466118324059821,2.547692926805699,0.033190646531697586,-1.1463322321952618,-0.3997203997892798,-0.7466118324059821,0.03319064653169758
rewrite,D,43122,chck_80M,ALL,RminusC,5892,-0.6108963982608657,2.533980478639059,0.03301200450800841,0.23772146341597816,-0.37317493484488756,0.6108963982608657,0.03301200450800841
rewrite,D,43122,chck_80M,ALL,VminusR,5892,1.3575082306668478,2.9476489582617718,0.03840116430195454,-1.38405369561124,-0.026545464944392215,-1.3575082306668478,0.03840116430195454
rewrite,D,43122,chck_80M,ALL,RminusV,5892,-1.3575082306668478,2.9476489582617718,0.03840116430195454,1.38405369561124,0.026545464944392215,1.3575082306668478,0.03840116430195454
rewrite,D,43122,chck_80M,ALL,CminusR,5892,0.6108963982608657,2.533980478639059,0.03301200450800841,-0.23772146341597816,0.37317493484488756,-0.6108963982608657,0.03301200450800841
rewrite,D,43122,chck_90M,ALL,VminusC,5892,0.7790703805273279,2.542702634208103,0.033125634364825414,-1.1524517916706682,-0.3733814111433402,-0.7790703805273279,0.03312563436482542
rewrite,D,43122,chck_90M,ALL,RminusC,5892,-0.6562218585147266,2.6067839035404017,0.03396046761232261,0.31292269026175146,-0.34329916825297513,0.6562218585147266,0.03396046761232261
rewrite,D,43122,chck_90M,ALL,VminusR,5892,1.4352922390420544,3.0287412569016245,0.03945761258592133,-1.4653744819324195,-0.03008224289036512,-1.4352922390420544,0.03945761258592133
rewrite,D,43122,chck_90M,ALL,RminusV,5892,-1.4352922390420544,3.0287412569016245,0.03945761258592133,1.4653744819324195,0.03008224289036512,1.4352922390420544,0.03945761258592133
rewrite,D,43122,chck_90M,ALL,CminusR,5892,0.6562218585147266,2.6067839035404017,0.03396046761232261,-0.31292269026175146,0.34329916825297513,-0.6562218585147266,0.03396046761232261
