arch,seed,checkpoint,contrast,pair_id,n_tokens_a,n_tokens_b,gain_delta,true_delta,unrelated_delta,excess_true_cost
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000126,2,2,1.3775634765625,-1.93831205368042,-0.5607485771179199,-1.3775634765625
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000164,2,2,-1.38505220413208,-0.9598515033721924,-2.3449037075042725,1.38505220413208
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000275,2,2,-1.3163461685180664,2.266130208969116,0.9497840404510498,1.3163461685180664
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000286,2,2,2.161375641822815,-1.3209019899368286,0.8404736518859863,-2.161375641822815
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000565,1,1,1.307453632354736,-0.006731510162353516,1.3007221221923828,-1.3074536323547363
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000594,2,2,-0.2849412262439728,0.06205648183822632,-0.22288474440574646,0.2849412262439728
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000883,2,2,-2.38799786567688,0.7617678642272949,-1.626230001449585,2.38799786567688
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000886,2,2,-0.5616941452026367,-0.2550384998321533,-0.81673264503479,0.5616941452026367
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_000899,2,2,-0.4676375389099121,0.8346595764160156,0.3670220375061035,0.4676375389099121
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001020,2,2,-0.4929969310760498,0.09603595733642578,-0.396960973739624,0.4929969310760498
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001026,2,2,-1.432610273361206,1.5572383403778076,0.12462806701660156,1.432610273361206
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001099,2,2,-2.5412278175354004,1.3111534118652344,-1.230074405670166,2.5412278175354004
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001206,2,2,0.46438461542129517,0.09264004230499268,0.5570246577262878,-0.46438461542129517
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001233,1,1,1.3127827644348145,0.9129495620727539,2.2257323265075684,-1.3127827644348145
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001241,2,2,-1.5587372779846191,1.4179115295410156,-0.14082574844360352,1.5587372779846191
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001251,2,2,1.1507923603057861,-2.5696849822998047,-1.4188926219940186,-1.1507923603057861
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001256,2,2,0.331496000289917,-0.4292891025543213,-0.0977931022644043,-0.331496000289917
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001279,1,1,-0.17415189743041978,-0.5654749870300293,-0.7396268844604492,0.17415189743041992
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001450,2,2,-0.15053009986877441,-0.6343462467193604,-0.7848763465881348,0.15053009986877441
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001618,1,1,-2.745185613632202,0.49871015548706055,-2.2464754581451416,2.745185613632202
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001829,1,1,-3.164407730102539,2.0397138595581055,-1.1246938705444327,3.164407730102538
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001862,1,1,-1.145186424255371,2.435418128967285,1.290231704711914,1.145186424255371
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_001935,2,2,0.2605557441711426,-0.6509788036346436,-0.390423059463501,-0.2605557441711426
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002093,2,2,0.6165680885314941,1.5654335021972656,2.1820015907287598,-0.6165680885314941
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002194,2,2,-0.8410564661026003,2.847516417503357,2.006459951400757,0.8410564661026001
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002240,2,2,0.20708274841308594,-1.4897913932800293,-1.2827086448669434,-0.20708274841308594
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002337,2,2,0.7499707341194153,-0.31288987398147583,0.43708086013793945,-0.7499707341194153
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002518,2,2,-0.27693676948547363,1.2352266311645508,0.9582898616790771,0.27693676948547363
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002520,2,2,-0.771120548248291,0.9040789604187012,0.13295841217041016,0.771120548248291
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002561,2,2,0.4294635057449341,-0.7209030389785767,-0.2914395332336426,-0.4294635057449341
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002563,2,2,-1.6947460174560547,-1.0303096771240234,-2.725055694580078,1.6947460174560547
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002598,2,2,-1.5439198017120361,-0.5517522096633911,-2.0956720113754264,1.5439198017120352
D,43022,chck_100M,RminusC,compact:frontier_consolidation_fwcompact_expansion_002777,2,2,-0.2070986032485962,-0.9248785376548767,-1.131977140903473,0.2070986032485962
