family,arch,seed,group,contrast,checkpoint_set,n_checkpoints,checkpoints,n_items_per_checkpoint_min,mean_gain_delta,sd_across_checkpoints_gain_delta,se_across_checkpoints_gain_delta,checkpoint_values_gain_delta,mean_normalized_gain_delta,sd_across_checkpoints_normalized_gain_delta,se_across_checkpoints_normalized_gain_delta,checkpoint_values_normalized_gain_delta,mean_unrepeated_control_nll_delta_a_minus_b,sd_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,se_across_checkpoints_unrepeated_control_nll_delta_a_minus_b,checkpoint_values_unrepeated_control_nll_delta_a_minus_b,mean_repeated_nll_delta_a_minus_b,sd_across_checkpoints_repeated_nll_delta_a_minus_b,se_across_checkpoints_repeated_nll_delta_a_minus_b,checkpoint_values_repeated_nll_delta_a_minus_b
copy,D,43022,span_4,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.4774279606134641,0.043831725025474166,0.02530625824250317,chck_100M:-0.443953;chck_80M:-0.527041;chck_90M:-0.46129,-0.03645760029548051,0.0033670413271834686,0.0019439622166219704,chck_100M:-0.0339419;chck_80M:-0.0402826;chck_90M:-0.0351483,-0.346174668287172,0.03268323482240387,0.01886967442270263,chck_100M:-0.321672;chck_80M:-0.383284;chck_90M:-0.333568,0.13125329232629204,0.01116509138374146,0.006446168515929904,chck_100M:0.122281;chck_80M:0.143757;chck_90M:0.127722
copy,D,43022,span_4,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.4774279606134641,0.043831725025474166,0.02530625824250317,chck_100M:0.443953;chck_80M:0.527041;chck_90M:0.46129,0.03645760029548051,0.0033670413271834686,0.0019439622166219704,chck_100M:0.0339419;chck_80M:0.0402826;chck_90M:0.0351483,0.346174668287172,0.03268323482240387,0.01886967442270263,chck_100M:0.321672;chck_80M:0.383284;chck_90M:0.333568,-0.13125329232629204,0.01116509138374146,0.006446168515929904,chck_100M:-0.122281;chck_80M:-0.143757;chck_90M:-0.127722
copy,D,43022,span_4,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.25088721972218747,0.020509497997064065,0.011841164189549029,chck_100M:0.227219;chck_80M:0.263417;chck_90M:0.262026,0.03183325718936847,0.0009513736359962055,0.0005492758248423223,chck_100M:0.0307351;chck_80M:0.0323564;chck_90M:0.0324083,0.12424824344345857,0.01703572517698083,0.009835580516770368,chck_100M:0.10461;chck_80M:0.135054;chck_90M:0.13308,-0.12663897627872886,0.0035027481027478623,0.0020223125600249293,chck_100M:-0.122608;chck_80M:-0.128363;chck_90M:-0.128946
copy,D,43022,span_4,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,0.22654074089127663,0.033281550151540884,0.01921511193904016,chck_100M:0.216734;chck_80M:0.263624;chck_90M:0.199264,0.004624343106112039,0.0028690410770994194,0.0016564416381794438,chck_100M:0.00320678;chck_80M:0.00792625;chck_90M:0.00274001,0.22192642484371347,0.024239775227451053,0.013994840752664888,chck_100M:0.217062;chck_80M:0.24823;chck_90M:0.200488,-0.004614316047563156,0.009346404752713372,0.0053961492999342634,chck_100M:0.000327806;chck_80M:-0.0153942;chck_90M:0.00122346
copy,D,43022,span_4,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,1000,-0.25088721972218747,0.020509497997064065,0.011841164189549029,chck_100M:-0.227219;chck_80M:-0.263417;chck_90M:-0.262026,-0.03183325718936847,0.0009513736359962055,0.0005492758248423223,chck_100M:-0.0307351;chck_80M:-0.0323564;chck_90M:-0.0324083,-0.12424824344345857,0.01703572517698083,0.009835580516770368,chck_100M:-0.10461;chck_80M:-0.135054;chck_90M:-0.13308,0.12663897627872886,0.0035027481027478623,0.0020223125600249293,chck_100M:0.122608;chck_80M:0.128363;chck_90M:0.128946
copy,D,43122,ALL,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,-0.6678323688991968,0.02924001737393036,0.016881731901948027,chck_100M:-0.655754;chck_80M:-0.701177;chck_90M:-0.646567,-0.05310489009006103,0.0010156681518747556,0.0005863962808922198,chck_100M:-0.0521379;chck_80M:-0.0541631;chck_90M:-0.0530136,-0.47800431272386273,0.028413708135491274,0.01640466204070135,chck_100M:-0.469158;chck_80M:-0.509789;chck_90M:-0.455066,0.1898280561753342,0.002799448432480199,0.001616262306074919,chck_100M:0.186596;chck_80M:0.191388;chck_90M:0.1915
copy,D,43122,ALL,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,0.6678323688991968,0.02924001737393036,0.016881731901948027,chck_100M:0.655754;chck_80M:0.701177;chck_90M:0.646567,0.05310489009006103,0.0010156681518747556,0.0005863962808922198,chck_100M:0.0521379;chck_80M:0.0541631;chck_90M:0.0530136,0.47800431272386273,0.028413708135491274,0.01640466204070135,chck_100M:0.469158;chck_80M:0.509789;chck_90M:0.455066,-0.1898280561753342,0.002799448432480199,0.001616262306074919,chck_100M:-0.186596;chck_80M:-0.191388;chck_90M:-0.1915
copy,D,43122,ALL,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,0.3574936084248776,0.010940315433694406,0.006316394060662883,chck_100M:0.363191;chck_80M:0.36441;chck_90M:0.34488,0.041174389156685885,0.0018019786010995966,0.0010403728304187974,chck_100M:0.0404434;chck_80M:0.043227;chck_90M:0.0398528,0.1887746514649664,0.009093838984779227,0.0052503303858294,chck_100M:0.199029;chck_80M:0.185607;chck_90M:0.181688,-0.1687189569599112,0.008745722304677156,0.005049345126863071,chck_100M:-0.164162;chck_80M:-0.178802;chck_90M:-0.163193
copy,D,43122,ALL,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,0.31033876047431935,0.023337614398525587,0.013473977955232435,chck_100M:0.292563;chck_80M:0.336767;chck_90M:0.301686,0.011930500933375146,0.0011309880067592933,0.0006529762301527163,chck_100M:0.0116945;chck_80M:0.0109361;chck_90M:0.0131609,0.28922966125889643,0.030312682489982326,0.01750103539545095,chck_100M:0.270129;chck_80M:0.324181;chck_90M:0.273378,-0.021109099215422988,0.007944425659548568,0.0045867162930973366,chck_100M:-0.0224339;chck_80M:-0.0125855;chck_90M:-0.0283078
copy,D,43122,ALL,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2000,-0.3574936084248776,0.010940315433694406,0.006316394060662883,chck_100M:-0.363191;chck_80M:-0.36441;chck_90M:-0.34488,-0.041174389156685885,0.0018019786010995966,0.0010403728304187974,chck_100M:-0.0404434;chck_80M:-0.043227;chck_90M:-0.0398528,-0.1887746514649664,0.009093838984779227,0.0052503303858294,chck_100M:-0.199029;chck_80M:-0.185607;chck_90M:-0.181688,0.1687189569599112,0.008745722304677156,0.005049345126863071,chck_100M:0.164162;chck_80M:0.178802;chck_90M:0.163193
