arch,seed,checkpoint,contrast,excess_n_pairs,excess_mean,excess_median,excess_sd,excess_se,excess_q10,excess_q25,excess_q75,excess_q90,excess_frac_positive,excess_frac_negative,gain_n_pairs,gain_mean,gain_median,gain_sd,gain_se,gain_q10,gain_q25,gain_q75,gain_q90,gain_frac_positive,gain_frac_negative,true_n_pairs,true_mean,true_median,true_sd,true_se,true_q10,true_q25,true_q75,true_q90,true_frac_positive,true_frac_negative,unrelated_n_pairs,unrelated_mean,unrelated_median,unrelated_sd,unrelated_se,unrelated_q10,unrelated_q25,unrelated_q75,unrelated_q90,unrelated_frac_positive,unrelated_frac_negative
D,43022,chck_100M,RminusC,1465,0.6986275099434035,0.5297515392303467,1.7729356513055785,0.04632059835383049,-1.3006043672561645,-0.4492759704589844,1.6763790845870972,2.866111826896668,0.6430034129692833,0.35699658703071674,1465,-0.6986275099434035,-0.5297515392303467,1.772935651305578,0.04632059835383048,-2.8661118268966677,-1.6763790845870972,0.44927597045898426,1.3006043672561662,0.35699658703071674,0.6430034129692833,1465,0.4021489562164776,0.2855055332183838,1.7143463530691634,0.0447898652167066,-1.546507406234741,-0.6668237447738647,1.3389946222305298,2.495034790039064,0.5767918088737202,0.4232081911262799,1465,-0.2964785537269259,-0.23468053340911776,1.1879205100113546,0.03103620189485909,-1.8442561149597168,-1.045605182647705,0.45540904998779297,1.1250045299530034,0.4143344709897611,0.5856655290102389
D,43022,chck_100M,VminusC,1465,-0.6992774323372761,-0.6641265153884888,1.8943266664699117,0.049492120373284584,-3.109758365154266,-1.8403081893920898,0.4384955167770386,1.6210924148559571,0.3378839590443686,0.6621160409556314,1465,0.6992774323372761,0.6641265153884888,1.8943266664699119,0.04949212037328459,-1.6210924148559571,-0.4384955167770386,1.8403081893920898,3.1097583651542675,0.6621160409556314,0.3378839590443686,1465,-1.1768072532953968,-1.0429859161376953,1.9540609695479552,0.0510527684762129,-3.73396760225296,-2.4132885932922363,0.06338155269622803,1.15193008184433,0.26621160409556316,0.7337883959044369,1465,-0.47752982095812063,-0.41565942764282227,1.335760319510648,0.03489873826581014,-2.2214249134063717,-1.2617053985595703,0.4012887477874756,1.0970064163208018,0.36109215017064844,0.6389078498293516
D,43022,chck_100M,VminusR,1465,-1.3979049422806797,-1.1399505138397208,2.0951638077791777,0.0547392913861002,-4.127631330490113,-2.533982753753662,-0.06173359369859105,0.9231179237365763,0.2341296928327645,0.7658703071672355,1465,1.3979049422806797,1.1399505138397217,2.095163807779178,0.05473929138610022,-0.9231179237365721,0.061733593698591105,2.533982753753662,4.127631330490113,0.7658703071672355,0.2341296928327645,1465,-1.5789562095118743,-1.2644171714782715,2.059624436895864,0.053810772111742136,-4.308265590667724,-2.7600303888320923,-0.16417419910430908,0.6476253509521495,0.21228668941979523,0.7877133105802048,1465,-0.18105126723119475,-0.14638227224349976,1.199697931236767,0.03134390465768891,-1.6964024543762213,-0.9141501188278198,0.5606956481933594,1.325699329376221,0.4443686006825939,0.5556313993174061
D,43022,chck_80M,RminusC,1465,0.9538287006321747,0.787792295217514,1.8922967420520256,0.04943908555863675,-1.2278765201568602,-0.28691256046295166,1.9757490158081055,3.283044052124026,0.6914675767918089,0.30853242320819113,1465,-0.9538287006321747,-0.787792295217514,1.8922967420520256,0.04943908555863675,-3.283044052124023,-1.9757490158081055,0.28691256046295166,1.2278765201568618,0.30853242320819113,0.6914675767918089,1465,0.6700466359851075,0.48822808265686035,1.8149826242580551,0.04741913847551613,-1.3932392597198486,-0.5141088962554932,1.6633172035217285,2.9041278719902084,0.6430034129692833,0.35699658703071674,1465,-0.28378206464706734,-0.23787307739257812,1.221807002036064,0.03192153723432331,-1.8563203811645508,-1.05426025390625,0.4904658794403076,1.2457701086997994,0.4136518771331058,0.5863481228668942
D,43022,chck_80M,VminusC,1465,-0.6155723326397685,-0.5904276371002197,1.8840422704263948,0.04922342512870948,-2.9502259910106656,-1.7644118294119835,0.5222517251968375,1.612538003921509,0.36655290102389076,0.6334470989761092,1465,0.6155723326397685,0.5904276371002197,1.8840422704263948,0.04922342512870948,-1.6125380039215087,-0.5222517251968386,1.7644118294119835,2.9502259910106687,0.6334470989761092,0.36655290102389076,1465,-1.0895902653599838,-0.9656975269317627,1.9611127395743964,0.051237006526160075,-3.64959260225296,-2.3307602405548096,0.16122283041477203,1.1956656455993664,0.2860068259385666,0.7139931740614335,1465,-0.47401793272021536,-0.3962101936340332,1.3529867445956907,0.0353488044127958,-2.1661736488342287,-1.2562651634216309,0.40806126594543457,1.0877443552017216,0.3726962457337884,0.6273037542662117
D,43022,chck_80M,VminusR,1465,-1.5694010332719432,-1.3232287168502808,2.1784133776232504,0.056914311040669616,-4.472455692291261,-2.69748792052269,-0.15201401710510254,0.8236181028187286,0.21638225255972696,0.783617747440273,1465,1.5694010332719432,1.3232287168502808,2.1784133776232504,0.056914311040669616,-0.8236181028187275,0.15201401710510254,2.69748792052269,4.472455692291263,0.783617747440273,0.21638225255972696,1465,-1.7596369013450912,-1.456610918045044,2.148080533726205,0.05612182007911113,-4.750202941894531,-2.9595439732074738,-0.2942240238189697,0.5891410350799573,0.19044368600682593,0.8095563139931741,1465,-0.19023586807314802,-0.15945148468017578,1.2306174971549142,0.0321517246104969,-1.7605060577392577,-0.9627227783203125,0.6102899312973014,1.3745366573333742,0.4395904436860068,0.5604095563139931
D,43022,chck_90M,RminusC,1465,0.7030600916549767,0.5297822952270508,1.7766962100900838,0.04641884858243567,-1.3210721492767334,-0.4465641975402832,1.6717398166656494,2.9299216508865413,0.6443686006825938,0.3556313993174061,1465,-0.7030600916549767,-0.5297822952270508,1.7766962100900838,0.04641884858243567,-2.9299216508865356,-1.6717398166656494,0.4465641975402835,1.3210721492767343,0.3556313993174061,0.6443686006825938,1465,0.3790532386235562,0.26537084579467773,1.71429257578529,0.04478846020464933,-1.5923123836517326,-0.7042622566223145,1.3116157054901123,2.500974464416504,0.567235494880546,0.4327645051194539,1465,-0.32400685303142046,-0.2865865230560303,1.1904460932949246,0.031102186539480145,-1.8759738445281982,-1.0721627473831177,0.44844353199005127,1.106554603576661,0.4068259385665529,0.5931740614334471
D,43022,chck_90M,VminusC,1465,-0.6983479905032803,-0.6735074520111084,1.8892554198288307,0.04935962646204661,-3.1099206537008284,-1.811964750289917,0.45800578594207675,1.6303153514862065,0.34197952218430033,0.6580204778156996,1465,0.6983479905032803,0.6735074520111084,1.889255419828831,0.04935962646204661,-1.630315351486206,-0.4580057859420775,1.811964750289917,3.109920653700831,0.6580204778156996,0.34197952218430033,1465,-1.198748854097335,-1.0916337966918945,1.9524295459151224,0.0510101450912154,-3.743587279319763,-2.39619731903076,0.0336855873465538,1.0810776233673103,0.2614334470989761,0.7385665529010239,1465,-0.5004008635940546,-0.43079185485839844,1.3325289012865418,0.03481431262658186,-2.2056856632232664,-1.3093887567520142,0.3840765953063965,1.0813398361206057,0.36109215017064844,0.6389078498293516
D,43022,chck_90M,VminusR,1465,-1.401408082158257,-1.159656286239625,2.0726296051668216,0.054150551604336475,-4.084652972221375,-2.4782204627990723,-0.056752800941467285,0.8675024509429963,0.23617747440273038,0.7638225255972696,1465,1.401408082158257,1.159656286239624,2.072629605166822,0.05415055160433648,-0.867502450942993,0.056752800941467285,2.4782204627990723,4.084652972221375,0.7638225255972696,0.23617747440273038,1465,-1.5778020927208911,-1.2627747058868408,2.0369408495586976,0.05321812943038189,-4.303918981552124,-2.7592021822929382,-0.2197535037994376,0.649567270278932,0.20273037542662117,0.7972696245733788,1465,-0.17639401056263404,-0.1357114315032959,1.1921184530535347,0.031145879442053704,-1.711003828048706,-0.9170386791229248,0.576209545135498,1.3336912870407105,0.44641638225255975,0.5535836177474402
D,43122,chck_100M,RminusC,1465,1.0843722998197969,0.8996906876564027,2.1091444776865975,0.05510455731948148,-1.2504431724548348,-0.2662177085876465,2.2113590240478516,3.694689941406253,0.6989761092150171,0.30102389078498293,1465,-1.0843722998197969,-0.8996906876564026,2.1091444776865975,0.05510455731948148,-3.6946899414062497,-2.2113590240478516,0.2662177085876465,1.2504431724548342,0.30102389078498293,0.6989761092150171,1465,0.7636394105983562,0.614708662033081,1.9697112758755253,0.05146165616087306,-1.4777585983276356,-0.5107889175415039,1.7880616188049316,3.2076697587966927,0.6416382252559727,0.3583617747440273,1465,-0.32073288922144083,-0.3337545394897461,1.3788037818293506,0.03602331316414593,-2.0068442344665525,-1.1862318515777588,0.5320084095001221,1.2955908775329597,0.39522184300341295,0.604778156996587
