family,arch,seed,checkpoint,arm,role,group,n,mean_gain,true_source_nll,unrelated_source_nll,gain_sd,gain_se
rewrite,D,43022,chck_100M,D_C_43022,C,ALL,5892,3.955312156461455,4.215800321007176,8.17111247746863,4.264803318090232,0.05556069099560656
rewrite,D,43022,chck_100M,D_R_43022,R,ALL,5892,3.5093135998366902,4.331780159058648,7.841093758895338,4.39168315076868,0.05721364674789627
rewrite,D,43022,chck_100M,D_V_43022,V,ALL,5892,4.5798155882392235,3.161539246720993,7.741354834960217,4.26419926517123,0.05555282155941585
rewrite,D,43022,chck_80M,D_C_43022,C,ALL,5892,3.905528520838925,4.267868756545244,8.173397277384169,4.224925071267094,0.0550411681046473
rewrite,D,43022,chck_80M,D_R_43022,R,ALL,5892,3.3272875501812216,4.531962859344744,7.859250409525965,4.4957830421791245,0.05856983165677548
rewrite,D,43022,chck_80M,D_V_43022,V,ALL,5892,4.508063626585364,3.2416129840633348,7.749676610648699,4.220579642301655,0.0549845570447731
rewrite,D,43022,chck_90M,D_C_43022,C,ALL,5892,3.963788901782501,4.229122801367949,8.19291170315045,4.276667993052883,0.05571526073545059
rewrite,D,43022,chck_90M,D_R_43022,R,ALL,5892,3.5113583502711245,4.32428891610606,7.835647266377184,4.388965473824899,0.057178241596090376
rewrite,D,43022,chck_90M,D_V_43022,V,ALL,5892,4.574694886174348,3.163612510773638,7.738307396947986,4.241133031815375,0.0552523209809997
rewrite,D,43122,chck_100M,D_C_43122,C,ALL,5892,4.010904686625658,4.160872154133521,8.171776840759179,4.257728125243377,0.05546851731860931
rewrite,D,43122,chck_100M,D_R_43122,R,ALL,5892,3.3708424513520048,4.471686536037605,7.842528987389609,4.576340700303572,0.05961931479035792
rewrite,D,43122,chck_100M,D_V_43122,V,ALL,5892,4.787591147284953,3.0035474061922987,7.791138553477253,4.194312417172791,0.05464235482116612
rewrite,D,43122,chck_80M,D_C_43122,C,ALL,5892,4.002887349779761,4.228082947738911,8.230970297518672,4.274662247513115,0.055689130431228084
rewrite,D,43122,chck_80M,D_R_43122,R,ALL,5892,3.3919909515188955,4.465804411154889,7.857795362673785,4.528724714513609,0.05899898675278923
rewrite,D,43122,chck_80M,D_V_43122,V,ALL,5892,4.749499182185743,3.081750715543649,7.831249897729393,4.214335886885838,0.05490321510718857
rewrite,D,43122,chck_90M,D_C_43122,C,ALL,5892,4.016334249555214,4.164877094930613,8.181211344485828,4.264040020943251,0.05555074696917483
rewrite,D,43122,chck_90M,D_R_43122,R,ALL,5892,3.360112391040488,4.477799785192365,7.8379121762328525,4.559993428791274,0.05940634700887467
rewrite,D,43122,chck_90M,D_V_43122,V,ALL,5892,4.795404630082542,3.0124253032599455,7.807829933342488,4.209059688713465,0.05483447824069737
rewrite,RBT,43022,chck_100M,RBT_C_43022,C,ALL,5892,1.028249667723488,8.223354181316502,9.25160384903999,1.5895382379868035,0.020708069347974836
rewrite,RBT,43022,chck_100M,RBT_R_43022,R,ALL,5892,0.5589348452882709,8.99348386614321,9.552418711431482,1.1052836565569224,0.014399333128439011
rewrite,RBT,43022,chck_100M,RBT_V_43022,V,ALL,5892,1.1575519555910299,7.573535940286786,8.731087895877817,1.650343880272679,0.021500228622355576
rewrite,RBT,43022,chck_60M,RBT_C_43022,C,ALL,5892,0.6206980619152144,9.278045553053955,9.898743614969169,1.150895726822265,0.01499355470272193
rewrite,RBT,43022,chck_60M,RBT_R_43022,R,ALL,5892,0.5794302340032936,9.012387589662154,9.591817823665448,1.0062610906850857,0.013109294227779721
rewrite,RBT,43022,chck_60M,RBT_V_43022,V,ALL,5892,0.590388941667716,8.771175999545921,9.361564941213638,1.055052093489562,0.013744930065588813
rewrite,RBT,43022,chck_70M,RBT_C_43022,C,ALL,5892,0.7835391384966099,8.785812805480724,9.569351943977335,1.3726733014027366,0.017882812277333477
