family,arch,seed,group,contrast,checkpoint_set,n_checkpoints,checkpoints,n_items_per_checkpoint_min,mean_gain_delta,sd_across_checkpoints_gain_delta,se_across_checkpoints_gain_delta,checkpoint_values_gain_delta,mean_true_source_nll_delta_a_minus_b,sd_across_checkpoints_true_source_nll_delta_a_minus_b,se_across_checkpoints_true_source_nll_delta_a_minus_b,checkpoint_values_true_source_nll_delta_a_minus_b,mean_unrelated_source_nll_delta_a_minus_b,sd_across_checkpoints_unrelated_source_nll_delta_a_minus_b,se_across_checkpoints_unrelated_source_nll_delta_a_minus_b,checkpoint_values_unrelated_source_nll_delta_a_minus_b,mean_excess_true_nll_cost_over_unrelated,sd_across_checkpoints_excess_true_nll_cost_over_unrelated,se_across_checkpoints_excess_true_nll_cost_over_unrelated,checkpoint_values_excess_true_nll_cost_over_unrelated
rewrite,D,43022,ALL,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,5892,0.49222335959794833,0.0745628238392019,0.04304886641510187,chck_100M:0.445999;chck_80M:0.578241;chck_90M:0.452431,-0.15841335186302724,0.09211198949330011,0.053180881929548805,chck_100M:-0.11598;chck_80M:-0.264094;chck_90M:-0.0951661,0.3338100077349211,0.02180737472545903,0.012590493668062813,chck_100M:0.330019;chck_80M:0.314147;chck_90M:0.357264,-0.49222335959794833,0.0745628238392019,0.04304886641510187,chck_100M:-0.445999;chck_80M:-0.578241;chck_90M:-0.452431
rewrite,D,43022,ALL,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,5892,-0.49222335959794833,0.0745628238392019,0.04304886641510187,chck_100M:-0.445999;chck_80M:-0.578241;chck_90M:-0.452431,0.15841335186302724,0.09211198949330011,0.053180881929548805,chck_100M:0.11598;chck_80M:0.264094;chck_90M:0.0951661,-0.3338100077349211,0.02180737472545903,0.012590493668062813,chck_100M:-0.330019;chck_80M:-0.314147;chck_90M:-0.357264,0.49222335959794833,0.0745628238392019,0.04304886641510187,chck_100M:0.445999;chck_80M:0.578241;chck_90M:0.452431
rewrite,D,43022,ALL,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,5892,-1.1048715335699666,0.06583282345858268,0.03800859834532583,chck_100M:-1.0705;chck_80M:-1.18078;chck_90M:-1.06334,1.207089064317162,0.07226438908882689,0.041721864493258064,chck_100M:1.17024;chck_80M:1.29035;chck_90M:1.16068,0.10221753074719535,0.006482659657248913,0.003742765298177387,chck_100M:0.0997389;chck_80M:0.109574;chck_90M:0.0973399,1.1048715335699666,0.06583282345858268,0.03800859834532583,chck_100M:1.0705;chck_80M:1.18078;chck_90M:1.06334
rewrite,D,43022,ALL,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,5892,0.6126481739720183,0.011087301545220262,0.006401256531719472,chck_100M:0.624503;chck_80M:0.602535;chck_90M:0.610906,-1.0486757124541348,0.02021451206819986,0.011670853984112129,chck_100M:-1.05426;chck_80M:-1.02626;chck_90M:-1.06551,-0.4360275384821164,0.016368674146753383,0.009450458424905335,chck_100M:-0.429758;chck_80M:-0.423721;chck_90M:-0.454604,-0.6126481739720183,0.011087301545220262,0.006401256531719472,chck_100M:-0.624503;chck_80M:-0.602535;chck_90M:-0.610906
rewrite,D,43022,ALL,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,5892,1.1048715335699666,0.06583282345858268,0.03800859834532583,chck_100M:1.0705;chck_80M:1.18078;chck_90M:1.06334,-1.207089064317162,0.07226438908882689,0.041721864493258064,chck_100M:-1.17024;chck_80M:-1.29035;chck_90M:-1.16068,-0.10221753074719535,0.006482659657248913,0.003742765298177387,chck_100M:-0.0997389;chck_80M:-0.109574;chck_90M:-0.0973399,-1.1048715335699666,0.06583282345858268,0.03800859834532583,chck_100M:-1.0705;chck_80M:-1.18078;chck_90M:-1.06334
rewrite,D,43022,token_nonoverlap,CminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2732,0.7517085695681751,0.1479350768404741,0.0854103564364357,chck_100M:0.664668;chck_80M:0.922519;chck_90M:0.667939,-0.4479982410859828,0.16574271051788506,0.09569159853371915,chck_100M:-0.365535;chck_80M:-0.638798;chck_90M:-0.339662,0.3037103284821923,0.022627920503909837,0.013064235994133797,chck_100M:0.299133;chck_80M:0.283721;chck_90M:0.328277,-0.7517085695681751,0.1479350768404741,0.0854103564364357,chck_100M:-0.664668;chck_80M:-0.922519;chck_90M:-0.667939
rewrite,D,43022,token_nonoverlap,RminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2732,-0.7517085695681751,0.1479350768404741,0.0854103564364357,chck_100M:-0.664668;chck_80M:-0.922519;chck_90M:-0.667939,0.4479982410859828,0.16574271051788506,0.09569159853371915,chck_100M:0.365535;chck_80M:0.638798;chck_90M:0.339662,-0.3037103284821923,0.022627920503909837,0.013064235994133797,chck_100M:-0.299133;chck_80M:-0.283721;chck_90M:-0.328277,0.7517085695681751,0.1479350768404741,0.0854103564364357,chck_100M:0.664668;chck_80M:0.922519;chck_90M:0.667939
rewrite,D,43022,token_nonoverlap,RminusV,D_late80_100,3,chck_100M;chck_80M;chck_90M,2732,-1.4353975957669631,0.09764883613407457,0.056377581828061615,chck_100M:-1.37866;chck_80M:-1.54815;chck_90M:-1.37938,1.6267548594626078,0.10686939284944012,0.061701072729756126,chck_100M:1.56662;chck_80M:1.75014;chck_90M:1.5635,0.19135726369564454,0.00940745707553038,0.005431397874947314,chck_100M:0.187958;chck_80M:0.201992;chck_90M:0.184122,1.4353975957669631,0.09764883613407457,0.056377581828061615,chck_100M:1.37866;chck_80M:1.54815;chck_90M:1.37938
rewrite,D,43022,token_nonoverlap,VminusC,D_late80_100,3,chck_100M;chck_80M;chck_90M,2732,0.6836890261987881,0.050294115981586285,0.029037321400623102,chck_100M:0.713996;chck_80M:0.625633;chck_90M:0.711438,-1.1787566183766252,0.05947694203439237,0.0343390284941322,chck_100M:-1.20109;chck_80M:-1.11135;chck_90M:-1.22384,-0.49506759217783686,0.01502506706192074,0.00867472651279212,chck_100M:-0.487091;chck_80M:-0.485713;chck_90M:-0.512399,-0.6836890261987881,0.050294115981586285,0.029037321400623102,chck_100M:-0.713996;chck_80M:-0.625633;chck_90M:-0.711438
rewrite,D,43022,token_nonoverlap,VminusR,D_late80_100,3,chck_100M;chck_80M;chck_90M,2732,1.4353975957669631,0.09764883613407457,0.056377581828061615,chck_100M:1.37866;chck_80M:1.54815;chck_90M:1.37938,-1.6267548594626078,0.10686939284944012,0.061701072729756126,chck_100M:-1.56662;chck_80M:-1.75014;chck_90M:-1.5635,-0.19135726369564454,0.00940745707553038,0.005431397874947314,chck_100M:-0.187958;chck_80M:-0.201992;chck_90M:-0.184122,-1.4353975957669631,0.09764883613407457,0.056377581828061615,chck_100M:-1.37866;chck_80M:-1.54815;chck_90M:-1.37938
