family,arch,seed,checkpoint,group,contrast,n,gain_delta,gain_delta_sd,gain_delta_se,repeated_nll_delta_a_minus_b,unrepeated_control_nll_delta_a_minus_b,normalized_gain_a,normalized_gain_b,normalized_gain_delta,control_nll_a,control_nll_b,repeated_nll_a,repeated_nll_b
copy,D,43022,chck_100M,ALL,VminusC,2000,0.3199133263799968,1.7516944306125908,0.039169078226575414,-0.00468746745324483,0.315225858926752,0.9138478035471094,0.906037890772698,0.007809912774411343,4.392719231563584,4.077493372636832,0.3784424102000573,0.3831298776533022
copy,D,43022,chck_100M,ALL,RminusC,2000,0.46721887244158394,1.7929676427050296,0.040091975305460006,-0.17963937566861643,0.28757949677296746,0.9533821065369293,0.906037890772698,0.04734421576423131,4.3650728694098,4.077493372636832,0.2034905019846857,0.3831298776533022
copy,D,43022,chck_100M,ALL,VminusR,2000,-0.14730554606158705,1.7076707975789427,0.03818467986577799,0.1749519082153716,0.027646362153784566,0.9138478035471094,0.9533821065369293,-0.03953430298981997,4.392719231563584,4.3650728694098,0.3784424102000573,0.2034905019846857
copy,D,43022,chck_100M,ALL,RminusV,2000,0.14730554606158705,1.7076707975789427,0.03818467986577799,-0.1749519082153716,-0.027646362153784566,0.9533821065369293,0.9138478035471094,0.03953430298981997,4.3650728694098,4.392719231563584,0.2034905019846857,0.3784424102000573
copy,D,43022,chck_100M,ALL,CminusR,2000,-0.46721887244158394,1.7929676427050296,0.040091975305460006,0.17963937566861643,-0.28757949677296746,0.906037890772698,0.9533821065369293,-0.04734421576423131,4.077493372636832,4.3650728694098,0.3831298776533022,0.2034905019846857
copy,D,43022,chck_80M,ALL,VminusC,2000,0.3633200427892419,1.7464298649687662,0.039051358960059394,-0.020016935175100628,0.34330310761414123,0.9126827587847117,0.9003671742540515,0.012315584530660173,4.402648834010053,4.059345726395912,0.3844271502254632,0.4044440854005638
copy,D,43022,chck_80M,ALL,RminusC,2000,0.5390612322649453,1.797285401868969,0.04018852333547042,-0.19755041056279338,0.3415108217021519,0.9529878621180725,0.9003671742540515,0.052620687864020965,4.400856548098063,4.059345726395912,0.20689367483777044,0.4044440854005638
copy,D,43022,chck_80M,ALL,VminusR,2000,-0.17574118947570339,1.721282780770427,0.03848905306302542,0.17753347538769276,0.0017922859119893814,0.9126827587847117,0.9529878621180725,-0.04030510333336079,4.402648834010053,4.400856548098063,0.3844271502254632,0.20689367483777044
copy,D,43022,chck_80M,ALL,RminusV,2000,0.17574118947570339,1.721282780770427,0.03848905306302542,-0.17753347538769276,-0.0017922859119893814,0.9529878621180725,0.9126827587847117,0.04030510333336079,4.400856548098063,4.402648834010053,0.20689367483777044,0.3844271502254632
copy,D,43022,chck_80M,ALL,CminusR,2000,-0.5390612322649453,1.797285401868969,0.04018852333547042,0.19755041056279338,-0.3415108217021519,0.9003671742540515,0.9529878621180725,-0.052620687864020965,4.059345726395912,4.400856548098063,0.4044440854005638,0.20689367483777044
