model,mean_nll_T1,mean_nll_Tfit,median_nll_T1,mean_rank,median_rank,delta_nll_T1_vs_chck82,delta_nll_Tfit_vs_chck82,delta_rank_vs_chck82,median_delta_rank_vs_chck82,improved_fraction_nll_T1,improved_fraction_nll_Tfit,improved_fraction_rank,word_mean_delta_nll_T1,word_mean_delta_nll_Tfit,word_mean_delta_rank,word_improved_fraction_rank
chck82_slow_scale1p75,8.425298138967026,8.209130253223902,8.38762092590332,1754.5523576240048,495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coherent86_alpha075,8.337592463947226,8.132485504525064,8.298825979232788,1686.4427434170238,468.0,-0.08770567501980106,-0.07664474869883789,-68.10961420698102,-7.0,0.6932026944274342,0.6864666258420086,0.6117575015309247,-0.09271481672371842,-0.08105843327238826,-73.29901536094984,0.7419354838709677
dense64_u0080,8.48921271096242,8.261161781227742,8.467548370361328,1796.36252296387,504.0,0.06391457199539352,0.05203152800383989,41.81016533986528,2.0,0.45866503368034295,0.45744029393753827,0.4188609920391917,0.04882932619636467,0.039434658065504356,36.04768515617788,0.3763440860215054
dense65_u0080,8.493278867939791,8.26458585750858,8.47395658493042,1798.5137783221066,504.0,0.06798072897276482,0.055455604284677815,43.961420698101655,1.0,0.4568279240661359,0.4556031843233313,0.4219228413962033,0.05175722573450002,0.04185791491674171,37.28305978844404,0.3548387096774194
clean_pres64_u0080,8.41498271680214,8.19471985929212,8.357675552368164,1732.4439681567667,474.0,-0.010315422164886479,-0.014410393931782823,-22.10838946723821,-1.0,0.541334966319657,0.5474586650336803,0.515003061849357,-0.02210466295812243,-0.024278737661988355,-28.267841934199428,0.5053763440860215
clean_pres65_u0080,8.419674155258432,8.199311857615909,8.372154235839844,1737.6080832823025,479.0,-0.005623983708595251,-0.009818395607992414,-16.94427434170239,-1.0,0.5339865278628292,0.541334966319657,0.5070422535211268,-0.017704629381372596,-0.019938404805641394,-23.573522661142505,0.4731182795698925
