tokenizer,length,pairs,prefix_full,prefix_any,greedy_full,greedy_any,pair_atomic_full,pair_atomic_overlong,greedy_chunks_changed,pair_atomic_chunks_changed
legal16k,64,12155,0.18403948992184285,0.2830933772110243,0.3865076100370218,0.9772932949403538,0.7967091731797614,0.20329082682023858,11067,13078
legal16k,128,12155,0.4955985191279309,0.5909502262443439,0.7563142739613328,0.990785684903332,0.9979432332373509,0.0020567667626491155,6062,6623
legal16k,256,12155,0.995475113122172,0.9991772932949403,0.9957219251336898,0.9996709173179762,1.0,0.0,3057,3057
minfreq50_supportfloor,64,12155,0.19243109831345126,0.2898395721925134,0.40156314273961335,0.9769642122583299,0.8158782394076511,0.18412176059234883,10844,12787
minfreq50_supportfloor,128,12155,0.5127108185931716,0.6067461949814891,0.7588646647470176,0.9910324969148498,0.9986836692719046,0.0013163307280954339,6030,6475
minfreq50_supportfloor,256,12155,0.9977786918963389,0.9995886466474702,0.9978609625668449,1.0,1.0,0.0,3031,3031
