column,subtask,n_items,score_70,score_72,score_74,score_76,score_78,score_80,score_82,score_84,score_86,score_88,score_90
BLiMP,adjunct_island,928,71.12068965517241,72.09051724137932,69.18103448275862,71.33620689655173,71.76724137931035,74.13793103448276,72.95258620689656,71.55172413793103,72.41379310344827,72.19827586206897,71.98275862068965
BLiMP,anaphor_gender_agreement,971,80.12358393408857,84.86096807415035,79.81462409886714,81.25643666323377,83.5221421215242,83.21318228630278,82.28630278063852,82.18331616889805,83.41915550978372,83.72811534500515,83.72811534500515
BLiMP,anaphor_number_agreement,931,85.60687432867884,88.61439312567131,86.57357679914071,85.60687432867884,87.32545649838883,87.75510204081633,87.32545649838883,87.96992481203007,87.64769065520946,88.93662728249194,88.18474758324383
BLiMP,animate_subject_passive,895,63.57541899441341,62.12290502793296,61.452513966480446,61.899441340782126,63.57541899441341,62.12290502793296,63.128491620111724,62.56983240223464,63.910614525139664,63.687150837988824,63.687150837988824
BLiMP,animate_subject_trans,923,71.397616468039,68.36403033586133,70.09750812567714,69.98916576381366,71.28927410617551,71.28927410617551,70.96424702058505,71.72264355362947,71.18093174431202,71.28927410617551,71.61430119176599
BLiMP,causative,818,55.37897310513448,54.52322738386308,54.52322738386308,53.91198044009779,55.012224938875306,54.88997555012225,53.66748166259169,54.64547677261614,53.91198044009779,54.64547677261614,54.034229828850854
BLiMP,complex_NP_island,846,39.479905437352244,41.725768321513,38.061465721040186,41.843971631205676,40.30732860520095,38.061465721040186,38.53427895981088,37.825059101654844,37.5886524822695,38.53427895981088,36.64302600472813
BLiMP,coordinate_structure_constraint_complex_left_branch,906,22.626931567328917,26.600441501103756,26.158940397350992,25.165562913907287,24.061810154525386,26.93156732891832,23.841059602649008,24.724061810154527,26.158940397350992,25.82781456953642,24.944812362030905
BLiMP,coordinate_structure_constraint_object_extraction,949,75.0263435194942,70.60063224446786,73.76185458377239,68.17702845100105,75.44783983140148,71.9704952581665,76.39620653319284,72.81348788198103,74.3940990516333,74.3940990516333,74.92096944151739
BLiMP,determiner_noun_agreement_1,929,90.41980624327233,89.77395048439182,90.09687836383208,91.28094725511302,91.28094725511302,92.35737351991389,91.81916038751345,92.14208826695372,92.03444564047362,91.60387513455328,91.60387513455328
BLiMP,determiner_noun_agreement_2,931,95.48872180451127,96.02577873254565,96.6702470461869,98.17400644468314,97.74436090225564,97.95918367346938,97.52953813104189,97.0998925886144,97.42212674543501,97.20730397422128,97.63694951664877
BLiMP,determiner_noun_agreement_irregular_1,681,72.24669603524228,72.54038179148311,73.7151248164464,73.7151248164464,73.27459618208518,72.09985315712188,72.54038179148311,72.68722466960352,72.83406754772393,73.27459618208518,72.54038179148311
BLiMP,determiner_noun_agreement_irregular_2,820,86.09756097560975,85.24390243902438,85.36585365853658,85.36585365853658,84.7560975609756,86.21951219512195,86.34146341463415,87.3170731707317,87.4390243902439,87.3170731707317,87.6829268292683
BLiMP,determiner_noun_agreement_with_adj_2,941,94.4739638682253,94.04888416578109,95.00531349628055,95.00531349628055,95.00531349628055,95.43039319872476,94.58023379383634,94.6865037194474,94.79277364505845,95.00531349628055,95.3241232731137
BLiMP,determiner_noun_agreement_with_adj_irregular_1,718,85.51532033426183,85.65459610027855,86.35097493036211,86.90807799442896,86.76880222841226,86.90807799442896,86.49025069637884,86.62952646239555,86.0724233983287,85.79387186629526,86.49025069637884
BLiMP,determiner_noun_agreement_with_adj_irregular_2,840,84.28571428571429,84.52380952380952,85.23809523809524,84.16666666666667,84.4047619047619,86.30952380952381,85.0,85.95238095238096,85.11904761904762,85.23809523809524,85.11904761904762
BLiMP,determiner_noun_agreement_with_adjective_1,933,89.81779206859592,90.88960342979635,90.46087888531619,90.88960342979635,90.9967845659164,91.85423365487674,91.42550911039658,91.10396570203643,90.88960342979635,91.31832797427653,91.31832797427653
BLiMP,distractor_agreement_relational_noun,788,47.08121827411168,53.172588832487314,53.42639593908629,51.39593908629442,52.41116751269036,53.93401015228426,54.82233502538071,53.299492385786806,53.68020304568528,53.80710659898477,54.69543147208121
BLiMP,distractor_agreement_relative_clause,871,29.850746268656714,32.83582089552239,32.83582089552239,32.83582089552239,34.672789896670494,33.295063145809415,34.21354764638347,33.18025258323766,33.75430539609644,33.63949483352469,33.63949483352469
