endpoint,words_M,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading,cheap6_no_GlobalPIQA,cheap5_no_GlobalPIQA_Reading,relation_state_mean,syntax_comp_mean,volatile_mean,cheap7
chck_70M,70,66.21458526114641,62.21952338132517,51.27704506151551,26.0773208070739,51.47110161559179,38.54854368932039,7.880000000000001,44.189929354442135,51.45191522533056,38.677182934294706,59.96840341935445,23.214271844660196,43.38401711656759
chck_72M,72,65.75676998328768,62.01783738471354,52.42086044586304,25.46518654153494,51.098553876045784,38.54854368932039,7.99,44.124868038574164,51.351841646288996,38.94302349369899,59.624387081349,23.269271844660196,43.32825027439505
chck_74M,74,66.10996525088613,61.61891213199895,51.98486229486293,26.789000768229666,51.57901951120361,38.10679611650485,8.125,44.36779332619688,51.61635199143626,39.386931531546296,59.769298964696226,23.115898058252426,43.47336515338373
chck_76M,76,66.21098303789353,61.56553373982748,52.832086815148955,26.729825664918785,51.60273118112452,40.0631067961165,7.94,44.48019340648554,51.788232087782646,39.78095624003387,59.793082652948506,24.00155339805825,43.84918103357568
chck_78M,78,66.53332838854864,61.44337499119213,52.974339208768576,26.295990658799518,51.55481675911321,39.0631067961165,8.21,44.50197500107035,51.760370001284414,39.63516493378405,59.84384004628466,23.63655339805825,43.72499382893408
chck_80M,80,66.83169012314332,60.759647866275245,51.67156009736172,27.817960097901548,51.40453788511518,38.592233009708735,8.31,44.46589934496617,51.6970792139594,39.744760097631634,59.66529195817791,23.45111650485437,43.62680415421511
chck_82M,82,66.67043277833258,61.19290410031981,51.80527372588435,27.214724798092206,51.38111412615436,38.57766990291262,8.25,44.41907492146388,51.65288990575666,39.50999926198828,59.74815033493559,23.41383495145631,43.58458849024227
chck_84M,84,66.8323405617445,61.956173667873045,52.124394444033946,25.81888844499035,51.43092359735731,39.5631067961165,8.36,44.42045345266652,51.63254414319984,38.971641444512144,60.07314594232495,23.96155339805825,43.726546787445095
chck_86M,86,66.92112078321688,61.80312150040693,52.12728211201736,25.780724029189614,51.42631877221465,39.092233009708735,8.254999999999999,44.385594532840905,51.61171343940909,38.95400307060349,60.050187018612824,23.673616504854365,43.62940002953631
chck_88M,88,66.98676747145053,61.342592389615994,52.27910670375903,25.899151016581897,51.460398591284054,41.03398058252427,8.370000000000001,44.38966936211525,51.59360323453829,39.08912886017046,59.92991948411686,24.701990291262135,43.91028525074511
chck_90M,90,66.84716474500996,61.13769023050325,52.104316024085,25.73232157017769,51.4784407197459,40.0631067961165,8.295,44.2658222149203,51.45998665790436,38.91831879713135,59.82109856508637,24.17905339805825,43.66543429794832
