column,subtask,n_items,gain_prev_to_best,gain_prev_to_best_per_item,loss_prev_to_best,loss_prev_to_best_per_item,gain_best_to_next,gain_best_to_next_per_item,loss_best_to_next,loss_best_to_next_per_item,transient_gain_best_only_vs_neighbors,transient_gain_best_only_vs_neighbors_per_item,persistent_gain_prev_to_best_through_next,persistent_gain_prev_to_best_through_next_per_item,recovered_loss_best_only_vs_neighbors,recovered_loss_best_only_vs_neighbors_per_item,gain_best_to_final,gain_best_to_final_per_item,loss_best_to_final,loss_best_to_final_per_item,net_prev_to_best,net_best_to_next,net_best_to_final,mean_flip_count_all,frac_any_flip_all
BLiMP,sentential_subject_island,961,5,0.005202913631633715,38,0.03954214360041623,11,0.011446409989594173,7,0.007284079084287201,0,0.0,5,0.005202913631633715,6,0.006243496357960458,11,0.011446409989594173,7,0.007284079084287201,-33,4,4,0.6971904266389178,0.2611862643080125
BLiMP,npi_present_1,909,32,0.0352035203520352,4,0.0044004400440044,1,0.0011001100110011,25,0.027502750275027504,19,0.020902090209020903,13,0.014301430143014302,0,0.0,1,0.0011001100110011,25,0.027502750275027504,28,-24,-24,0.5368536853685368,0.20902090209020902
BLiMP,npi_present_2,914,33,0.036105032822757115,7,0.007658643326039387,7,0.007658643326039387,15,0.016411378555798686,12,0.01312910284463895,21,0.022975929978118162,1,0.0010940919037199124,7,0.007658643326039387,15,0.016411378555798686,26,-8,-8,0.6345733041575492,0.23413566739606126
BLiMP,irregular_past_participle_verbs,942,1,0.0010615711252653928,25,0.02653927813163482,11,0.01167728237791932,12,0.012738853503184714,1,0.0010615711252653928,0,0.0,6,0.006369426751592357,11,0.01167728237791932,12,0.012738853503184714,-24,-1,-1,0.5074309978768577,0.19745222929936307
BLiMP,wh_vs_that_with_gap,919,6,0.006528835690968444,28,0.030467899891186073,15,0.01632208922742111,6,0.006528835690968444,1,0.001088139281828074,5,0.00544069640914037,11,0.011969532100108813,15,0.01632208922742111,6,0.006528835690968444,-22,9,9,0.5397170837867247,0.20565832426550598
BLiMP,wh_vs_that_with_gap_long_distance,910,0,0.0,22,0.024175824175824177,5,0.005494505494505495,1,0.001098901098901099,0,0.0,0,0.0,5,0.005494505494505495,5,0.005494505494505495,1,0.001098901098901099,-22,4,4,0.3362637362637363,0.12967032967032968
BLiMP,superlative_quantifiers_1,979,22,0.02247191011235955,1,0.0010214504596527069,11,0.011235955056179775,3,0.0030643513789581204,2,0.0020429009193054137,20,0.020429009193054137,0,0.0,11,0.011235955056179775,3,0.0030643513789581204,21,8,8,0.33605720122574056,0.12665985699693566
BLiMP,sentential_negation_npi_scope,871,23,0.02640642939150402,3,0.003444316877152698,7,0.008036739380022962,6,0.006888633754305396,3,0.003444316877152698,20,0.022962112514351322,0,0.0,7,0.008036739380022962,6,0.006888633754305396,20,1,1,0.43398392652123996,0.16647531572904709
BLiMP,wh_island,960,9,0.009375,29,0.030208333333333334,10,0.010416666666666666,19,0.019791666666666666,5,0.005208333333333333,4,0.004166666666666667,4,0.004166666666666667,10,0.010416666666666666,19,0.019791666666666666,-20,-9,-9,0.8145833333333333,0.2916666666666667
BLiMP,wh_vs_that_no_gap_long_distance,875,21,0.024,2,0.002285714285714286,1,0.001142857142857143,6,0.006857142857142857,5,0.005714285714285714,16,0.018285714285714287,0,0.0,1,0.001142857142857143,6,0.006857142857142857,19,-5,-5,0.24571428571428572,0.08114285714285714
BLiMP,principle_A_reconstruction,967,7,0.007238883143743537,24,0.02481902792140641,13,0.01344364012409514,14,0.014477766287487074,2,0.002068252326783868,5,0.005170630816959669,6,0.0062047569803516025,13,0.01344364012409514,14,0.014477766287487074,-17,-1,-1,0.7280248190279214,0.29472595656670114
BLiMP,wh_vs_that_no_gap,861,22,0.025551684088269456,6,0.006968641114982578,3,0.003484320557491289,11,0.012775842044134728,7,0.008130081300813009,15,0.017421602787456445,2,0.0023228803716608595,3,0.003484320557491289,11,0.012775842044134728,16,-8,-8,0.3797909407665505,0.14285714285714285
BLiMP,drop_argument,920,8,0.008695652173913044,21,0.02282608695652174,9,0.009782608695652175,7,0.007608695652173913,3,0.003260869565217391,5,0.005434782608695652,7,0.007608695652173913,9,0.009782608695652175,7,0.007608695652173913,-13,2,2,0.5097826086956522,0.20326086956521738
BLiMP,anaphor_number_agreement,931,15,0.01611170784103115,3,0.00322234156820623,3,0.00322234156820623,10,0.010741138560687433,6,0.00644468313641246,9,0.00966702470461869,1,0.0010741138560687433,3,0.00322234156820623,10,0.010741138560687433,12,-7,-7,0.35660580021482274,0.1364124597207304
BLiMP,existential_there_quantifiers_2,911,18,0.019758507135016465,6,0.006586169045005488,4,0.0043907793633369925,22,0.024149286498353458,7,0.007683863885839737,11,0.012074643249176729,1,0.0010976948408342481,4,0.0043907793633369925,22,0.024149286498353458,12,-18,-18,0.6992316136114161,0.2854006586169045
