subtask,column,n,deberta_vr_pp,deberta_va_pp,deberta_ar_pp,roberta_cr_pp,roberta_factorial_pp
adjunct_island,BLiMP,200,-1.0,-4.0,3.0,-11.5,6.0
agent-properties,EWoK,100,-4.0,2.0,-6.0,-4.0,-10.0
anaphor_gender_agreement,BLiMP,200,3.0,-1.5,4.5,6.5,-1.0
anaphor_number_agreement,BLiMP,200,3.0,3.5000000000000004,-0.5,-2.5,8.0
animate_subject_passive,BLiMP,200,0.0,-4.5,4.5,-1.5,2.5
animate_subject_trans,BLiMP,200,5.5,-0.5,6.0,1.5,2.0
base,COMPS,49340,0.38913660316173493,0.25739764896635586,0.131738954195379,-0.21888933927847587,2.5152006485610054
causative,BLiMP,200,4.0,-0.5,4.5,-2.0,6.0
complex_NP_island,BLiMP,200,-6.0,-8.0,2.0,-4.0,6.5
coordinate_structure_constraint_complex_left_branch,BLiMP,200,-4.0,-7.000000000000001,3.0,-2.5,18.5
coordinate_structure_constraint_object_extraction,BLiMP,200,4.5,0.0,4.5,12.0,-7.000000000000001
determiner_noun_agreement_1,BLiMP,200,-1.0,1.0,-2.0,3.0,9.5
determiner_noun_agreement_2,BLiMP,200,-0.5,-0.5,0.0,6.0,-0.5
determiner_noun_agreement_irregular_1,BLiMP,200,-3.5000000000000004,-1.5,-2.0,2.0,4.0
determiner_noun_agreement_irregular_2,BLiMP,200,0.0,-2.0,2.0,1.0,9.0
determiner_noun_agreement_with_adj_2,BLiMP,200,2.5,1.0,1.5,4.5,-2.5
determiner_noun_agreement_with_adj_irregular_1,BLiMP,200,-1.5,-3.0,1.5,6.0,1.5
determiner_noun_agreement_with_adj_irregular_2,BLiMP,200,1.0,-5.5,6.5,5.0,1.5
determiner_noun_agreement_with_adjective_1,BLiMP,200,-0.5,-3.5000000000000004,3.0,1.0,3.0
distractor_agreement_relational_noun,BLiMP,200,10.5,-0.5,11.0,-2.5,-2.0
distractor_agreement_relative_clause,BLiMP,200,11.0,3.0,8.0,-3.0,0.5
drop_argument,BLiMP,200,-6.0,1.0,-7.000000000000001,4.5,0.0
ellipsis_n_bar_1,BLiMP,200,-11.0,-7.000000000000001,-4.0,6.0,13.5
ellipsis_n_bar_2,BLiMP,200,-0.5,-2.0,1.5,2.0,1.0
existential_there_object_raising,BLiMP,200,0.0,1.5,-1.5,-1.0,-4.0
existential_there_quantifiers_1,BLiMP,200,-1.5,-2.0,0.5,-6.0,1.5
existential_there_quantifiers_2,BLiMP,200,-4.5,9.0,-13.5,8.5,-26.5
existential_there_subject_raising,BLiMP,200,-2.5,0.5,-3.0,-2.0,6.0
expletive_it_object_raising,BLiMP,200,-2.0,-1.5,-0.5,1.5,-2.5
hypernym,Supplement,50,4.0,-6.0,10.0,-2.0,8.0
inchoative,BLiMP,200,0.5,-4.5,5.0,4.0,-0.5
intransitive,BLiMP,200,3.0,-3.0,6.0,-1.0,-1.5
irregular_past_participle_adjectives,BLiMP,200,-10.5,-2.0,-8.5,4.0,25.5
irregular_past_participle_verbs,BLiMP,200,1.5,2.0,-0.5,0.0,-22.5
irregular_plural_subject_verb_agreement_1,BLiMP,200,-1.5,-3.0,1.5,9.0,3.5000000000000004
irregular_plural_subject_verb_agreement_2,BLiMP,200,-3.0,0.0,-3.0,3.5000000000000004,4.5
left_branch_island_echo_question,BLiMP,200,-12.0,-14.000000000000002,2.0,-3.5000000000000004,16.0
