comparison,packet_type,condition,probe_set,n_packets,mean_delta_full_m_orig_new_minus_source,se_delta_full_m_orig_new_minus_source,mean_delta_full_m_source_minus_orig_new,se_delta_full_m_source_minus_orig_new,mean_delta_full_m_source_minus_swapped_new,se_delta_full_m_source_minus_swapped_new,mean_delta_full_m_orig_new_minus_swapped_new,se_delta_full_m_orig_new_minus_swapped_new,mean_delta_full_gold_margin_vs_original_competitor,se_delta_full_gold_margin_vs_original_competitor,mean_delta_full_retention_margin_vs_swapped_new,se_delta_full_retention_margin_vs_swapped_new,mean_delta_content_m_orig_new_minus_source,se_delta_content_m_orig_new_minus_source,mean_delta_content_m_source_minus_orig_new,se_delta_content_m_source_minus_orig_new,mean_delta_content_m_source_minus_swapped_new,se_delta_content_m_source_minus_swapped_new,mean_delta_content_m_orig_new_minus_swapped_new,se_delta_content_m_orig_new_minus_swapped_new,mean_delta_content_gold_margin_vs_original_competitor,se_delta_content_gold_margin_vs_original_competitor,mean_delta_content_retention_margin_vs_swapped_new,se_delta_content_retention_margin_vs_swapped_new
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,N,balanced_heldout,200,-0.10820109522973553,0.06649579151537983,0.10820109522973553,0.06649579151537983,0.2401328125344352,0.0628769892622446,0.13193171730469966,0.06596982737990933,0.10820109522973553,0.06649579151537983,0.2401328125344352,0.0628769892622446,-0.12820798482678158,0.07889898803977896,0.12820798482678158,0.07889898803977896,0.2847056818334848,0.07363023321410206,0.15649769700670318,0.07458882615982301,0.12820798482678158,0.07889898803977896,0.2847056818334848,0.07363023321410206
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,N,extended_nontrain,200,-0.10820109522973553,0.06649579151537983,0.10820109522973553,0.06649579151537983,0.2401328125344352,0.0628769892622446,0.13193171730469966,0.06596982737990933,0.10820109522973553,0.06649579151537983,0.2401328125344352,0.0628769892622446,-0.12820798482678158,0.07889898803977896,0.12820798482678158,0.07889898803977896,0.2847056818334848,0.07363023321410206,0.15649769700670318,0.07458882615982301,0.12820798482678158,0.07889898803977896,0.2847056818334848,0.07363023321410206
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,T,balanced_heldout,200,0.0010523159275277563,0.06024046296723613,-0.0010523159275277563,0.06024046296723613,0.2544895339287031,0.0605200379506354,0.25554184985623085,0.06814865945810648,-0.0010523159275277563,0.06024046296723613,0.2544895339287031,0.0605200379506354,-0.008441468764689155,0.06988190737951956,0.008441468764689155,0.06988190737951956,0.30975437150127555,0.07392308826497698,0.30131290273658634,0.0796296175265496,0.008441468764689155,0.06988190737951956,0.30975437150127555,0.07392308826497698
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,T,extended_nontrain,200,0.0010523159275277563,0.06024046296723613,-0.0010523159275277563,0.06024046296723613,0.2544895339287031,0.0605200379506354,0.25554184985623085,0.06814865945810648,-0.0010523159275277563,0.06024046296723613,0.2544895339287031,0.0605200379506354,-0.008441468764689155,0.06988190737951956,0.008441468764689155,0.06988190737951956,0.30975437150127555,0.07392308826497698,0.30131290273658634,0.0796296175265496,0.008441468764689155,0.06988190737951956,0.30975437150127555,0.07392308826497698
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,U,balanced_heldout,200,-0.13655700567647844,0.062366034075301474,0.13655700567647844,0.062366034075301474,-0.004713701342893856,0.0625295326403946,-0.1412707070193723,0.07185020195937188,0.13655700567647844,0.062366034075301474,-0.004713701342893856,0.0625295326403946,-0.1831149937660727,0.07480655150982077,0.1831149937660727,0.07480655150982077,-0.017205687151917042,0.07578357797587577,-0.20032068091798977,0.08292126858549496,0.1831149937660727,0.07480655150982077,-0.017205687151917042,0.07578357797587577
repeat_minus_clean,UNCHANGED_DISTRACTOR_USE,U,extended_nontrain,200,-0.13655700567647844,0.062366034075301474,0.13655700567647844,0.062366034075301474,-0.004713701342893856,0.0625295326403946,-0.1412707070193723,0.07185020195937188,0.13655700567647844,0.062366034075301474,-0.004713701342893856,0.0625295326403946,-0.1831149937660727,0.07480655150982077,0.1831149937660727,0.07480655150982077,-0.017205687151917042,0.07578357797587577,-0.20032068091798977,0.08292126858549496,0.1831149937660727,0.07480655150982077,-0.017205687151917042,0.07578357797587577
repeat_minus_clean,UPDATED_USE,N,balanced_heldout,200,-0.03554794795131428,0.08655141472404032,0.03554794795131428,0.08655141472404032,0.2465705493735057,0.08107664336763294,0.2110226014221914,0.07768543033125742,-0.03554794795131428,0.08655141472404032,0.2465705493735057,0.08107664336763294,-0.023724058083550208,0.094604207074167,0.023724058083550208,0.094604207074167,0.2707792092719027,0.08967358463457449,0.2470551511883525,0.08891691456020913,-0.023724058083550208,0.094604207074167,0.2707792092719027,0.08967358463457449
repeat_minus_clean,UPDATED_USE,N,extended_nontrain,1125,0.027870763300388863,0.03660689318388488,-0.027870763300388863,0.03660689318388488,0.03912169289445465,0.036955624897020284,0.0669924561948435,0.036498622418512844,0.027870763300388863,0.03660689318388488,0.03912169289445465,0.036955624897020284,0.02776639974155903,0.04017444450421183,-0.02776639974155903,0.04017444450421183,0.03423642886887589,0.042230976768401284,0.062002828610434914,0.041115273938526056,0.02776639974155903,0.04017444450421183,0.03423642886887589,0.042230976768401284
repeat_minus_clean,UPDATED_USE,T,balanced_heldout,200,0.1390769472711411,0.08504584089260991,-0.1390769472711411,0.08504584089260991,0.31703260600547484,0.08726347246930058,0.4561095532766159,0.076649154770449,0.1390769472711411,0.08504584089260991,0.31703260600547484,0.08726347246930058,0.12402274341933321,0.09685530110412273,-0.12402274341933321,0.09685530110412273,0.3604653190871727,0.10065628407206445,0.4844880625065059,0.08582795621688248,0.12402274341933321,0.09685530110412273,0.3604653190871727,0.10065628407206445
repeat_minus_clean,UPDATED_USE,T,extended_nontrain,1125,0.18865020232221238,0.0365444052029897,-0.18865020232221238,0.0365444052029897,0.04745255173275222,0.03686606132412036,0.23610275405496464,0.034649138869442826,0.18865020232221238,0.0365444052029897,0.04745255173275222,0.03686606132412036,0.18837944006301083,0.04028866940325035,-0.18837944006301083,0.04028866940325035,0.0498353739779822,0.0424805570420443,0.23821481404099307,0.03893515538771691,0.18837944006301083,0.04028866940325035,0.0498353739779822,0.0424805570420443
repeat_minus_clean,UPDATED_USE,U,balanced_heldout,200,-0.1205943121416194,0.08960422318858588,0.1205943121416194,0.08960422318858588,-0.005841196834687164,0.07812833297588377,-0.1264355089763066,0.07850556546595157,-0.1205943121416194,0.08960422318858588,-0.005841196834687164,0.07812833297588377,-0.11407040338012424,0.09845687505817857,0.11407040338012424,0.09845687505817857,-0.005323003945404041,0.08684433059821535,-0.11939340732552829,0.08727318566709127,-0.11407040338012424,0.09845687505817857,-0.005323003945404041,0.08684433059821535
repeat_minus_clean,UPDATED_USE,U,extended_nontrain,1125,-0.01967208305991491,0.037002952635100436,0.01967208305991491,0.037002952635100436,-0.023211135191479482,0.03678636465612761,-0.0428832182513944,0.03397316800474341,-0.01967208305991491,0.037002952635100436,-0.023211135191479482,0.03678636465612761,-0.04159002649179018,0.04104054544332571,0.04159002649179018,0.04104054544332571,0.003695579939243629,0.040976601942703736,-0.037894446552546555,0.03664018408110658,-0.04159002649179018,0.04104054544332571,0.003695579939243629,0.040976601942703736
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,N,balanced_heldout,200,0.16853103730850352,0.0759367701882366,-0.16853103730850352,0.0759367701882366,-0.24199454468030843,0.07930888234146781,-0.07346350737180489,0.08337394361708071,-0.16853103730850352,0.0759367701882366,-0.24199454468030843,0.07930888234146781,0.1663955680851342,0.08970425003675345,-0.1663955680851342,0.08970425003675345,-0.19976382523506897,0.09192092352661016,-0.03336825714993478,0.09495618639221358,-0.1663955680851342,0.08970425003675345,-0.19976382523506897,0.09192092352661016
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,N,extended_nontrain,200,0.16853103730850352,0.0759367701882366,-0.16853103730850352,0.0759367701882366,-0.24199454468030843,0.07930888234146781,-0.07346350737180489,0.08337394361708071,-0.16853103730850352,0.0759367701882366,-0.24199454468030843,0.07930888234146781,0.1663955680851342,0.08970425003675345,-0.1663955680851342,0.08970425003675345,-0.19976382523506897,0.09192092352661016,-0.03336825714993478,0.09495618639221358,-0.1663955680851342,0.08970425003675345,-0.19976382523506897,0.09192092352661016
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,T,balanced_heldout,200,-0.0019873175044009643,0.07904125126678264,0.0019873175044009643,0.07904125126678264,-0.268692202503786,0.07462886573540677,-0.270679520008187,0.08383749858226523,0.0019873175044009643,0.07904125126678264,-0.268692202503786,0.07462886573540677,-0.023720254986401776,0.08984589769272677,0.023720254986401776,0.08984589769272677,-0.2513223732795903,0.09038424145597872,-0.27504262826599213,0.0939101221665323,0.023720254986401776,0.08984589769272677,-0.2513223732795903,0.09038424145597872
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,T,extended_nontrain,200,-0.0019873175044009643,0.07904125126678264,0.0019873175044009643,0.07904125126678264,-0.268692202503786,0.07462886573540677,-0.270679520008187,0.08383749858226523,0.0019873175044009643,0.07904125126678264,-0.268692202503786,0.07462886573540677,-0.023720254986401776,0.08984589769272677,0.023720254986401776,0.08984589769272677,-0.2513223732795903,0.09038424145597872,-0.27504262826599213,0.0939101221665323,0.023720254986401776,0.08984589769272677,-0.2513223732795903,0.09038424145597872
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,U,balanced_heldout,200,0.17457999878731997,0.07479088854942355,-0.17457999878731997,0.07479088854942355,-0.16390781556145348,0.07573702757957403,0.010672183225866511,0.07855001371419358,-0.17457999878731997,0.07479088854942355,-0.16390781556145348,0.07573702757957403,0.20298773411298515,0.09146278848202721,-0.20298773411298515,0.09146278848202721,-0.1766972324892942,0.08980567611063116,0.02629050162369094,0.08978751541737204,-0.20298773411298515,0.09146278848202721,-0.1766972324892942,0.08980567611063116
repeat_split_minus_clean,UNCHANGED_DISTRACTOR_USE,U,extended_nontrain,200,0.17457999878731997,0.07479088854942355,-0.17457999878731997,0.07479088854942355,-0.16390781556145348,0.07573702757957403,0.010672183225866511,0.07855001371419358,-0.17457999878731997,0.07479088854942355,-0.16390781556145348,0.07573702757957403,0.20298773411298515,0.09146278848202721,-0.20298773411298515,0.09146278848202721,-0.1766972324892942,0.08980567611063116,0.02629050162369094,0.08978751541737204,-0.20298773411298515,0.09146278848202721,-0.1766972324892942,0.08980567611063116
repeat_split_minus_clean,UPDATED_USE,N,balanced_heldout,200,0.39754377061588847,0.0822567397621301,-0.39754377061588847,0.0822567397621301,-0.29342181886236257,0.0818818198812336,0.10412195175352588,0.08256204651416886,0.39754377061588847,0.0822567397621301,-0.29342181886236257,0.0818818198812336,0.4683047756388914,0.08865549399752155,-0.4683047756388914,0.08865549399752155,-0.39413638472606344,0.08836868758214744,0.07416839091282798,0.08932991836245202,0.4683047756388914,0.08865549399752155,-0.39413638472606344,0.08836868758214744
repeat_split_minus_clean,UPDATED_USE,N,extended_nontrain,1125,0.39360345481809794,0.0364255386109077,-0.39360345481809794,0.0364255386109077,-0.40086530775109125,0.03459720862426677,-0.007261852932993322,0.035456928501079774,0.39360345481809794,0.0364255386109077,-0.40086530775109125,0.03459720862426677,0.46366820335739645,0.04014203640402952,-0.46366820335739645,0.04014203640402952,-0.5040715451950801,0.038858583088564894,-0.04040334183768364,0.03903137636791918,0.46366820335739645,0.04014203640402952,-0.5040715451950801,0.038858583088564894
repeat_split_minus_clean,UPDATED_USE,T,balanced_heldout,200,0.2395218381879019,0.09636196721629876,-0.2395218381879019,0.09636196721629876,-0.3394876028996588,0.0890032984229053,-0.09996576471175687,0.0865030646168761,0.2395218381879019,0.09636196721629876,-0.3394876028996588,0.0890032984229053,0.2781862032983128,0.10560083774549496,-0.2781862032983128,0.10560083774549496,-0.4221887673142852,0.09741277267013074,-0.14400256401597245,0.09571991421578226,0.2781862032983128,0.10560083774549496,-0.4221887673142852,0.09741277267013074
repeat_split_minus_clean,UPDATED_USE,T,extended_nontrain,1125,0.25644369660555943,0.03738481846366233,-0.25644369660555943,0.03738481846366233,-0.46003130642413437,0.035050820187811284,-0.20358760981857488,0.03212888751389305,0.25644369660555943,0.03738481846366233,-0.46003130642413437,0.035050820187811284,0.30808467027055236,0.040971255266501756,-0.30808467027055236,0.040971255266501756,-0.5654674407544613,0.03981169852124097,-0.25738277048390884,0.035615953950710474,0.30808467027055236,0.040971255266501756,-0.5654674407544613,0.03981169852124097
repeat_split_minus_clean,UPDATED_USE,U,balanced_heldout,200,0.42469242754992986,0.0841343690602679,-0.42469242754992986,0.0841343690602679,-0.23289087018028326,0.07904219297718644,0.19180155736964663,0.09257678955600751,0.42469242754992986,0.0841343690602679,-0.23289087018028326,0.07904219297718644,0.5065330539976228,0.09087872722334112,-0.5065330539976228,0.09087872722334112,-0.30073835212505196,0.0850253926882969,0.2057947018725709,0.10027722081888328,0.5065330539976228,0.09087872722334112,-0.30073835212505196,0.0850253926882969
repeat_split_minus_clean,UPDATED_USE,U,extended_nontrain,1125,0.4352756497667008,0.03550219096800338,-0.4352756497667008,0.03550219096800338,-0.23131398555463217,0.03350378478075041,0.20396166421206863,0.03235241474059257,0.4352756497667008,0.03550219096800338,-0.23131398555463217,0.03350378478075041,0.49927003825843297,0.039451372463999275,-0.49927003825843297,0.039451372463999275,-0.28619295058772826,0.03702393149404552,0.21307708767070468,0.03483110471676693,0.49927003825843297,0.039451372463999275,-0.28619295058772826,0.03702393149404552
view_minus_clean,UNCHANGED_DISTRACTOR_USE,N,balanced_heldout,200,-0.20664087026726624,0.06765640879150692,0.20664087026726624,0.06765640879150692,0.34759452606877345,0.06796473002599056,0.14095365580150718,0.08434040250796132,0.20664087026726624,0.06765640879150692,0.34759452606877345,0.06796473002599056,-0.29079668437273937,0.077600641372102,0.29079668437273937,0.077600641372102,0.4532040938668072,0.07872605161025935,0.16240740949406782,0.09378592712658591,0.29079668437273937,0.077600641372102,0.4532040938668072,0.07872605161025935
view_minus_clean,UNCHANGED_DISTRACTOR_USE,N,extended_nontrain,200,-0.20664087026726624,0.06765640879150692,0.20664087026726624,0.06765640879150692,0.34759452606877345,0.06796473002599056,0.14095365580150718,0.08434040250796132,0.20664087026726624,0.06765640879150692,0.34759452606877345,0.06796473002599056,-0.29079668437273937,0.077600641372102,0.29079668437273937,0.077600641372102,0.4532040938668072,0.07872605161025935,0.16240740949406782,0.09378592712658591,0.29079668437273937,0.077600641372102,0.4532040938668072,0.07872605161025935
view_minus_clean,UNCHANGED_DISTRACTOR_USE,T,balanced_heldout,200,0.03588730973961493,0.07114683808193366,-0.03588730973961493,0.07114683808193366,0.3359476455395271,0.06416248039504341,0.371834955279142,0.0813923136045051,-0.03588730973961493,0.07114683808193366,0.3359476455395271,0.06416248039504341,-0.037885291123438095,0.08418984668989372,0.037885291123438095,0.08418984668989372,0.4472808505582323,0.07625411286280098,0.4093955594347942,0.09214062852278637,0.037885291123438095,0.08418984668989372,0.4472808505582323,0.07625411286280098
view_minus_clean,UNCHANGED_DISTRACTOR_USE,T,extended_nontrain,200,0.03588730973961493,0.07114683808193366,-0.03588730973961493,0.07114683808193366,0.3359476455395271,0.06416248039504341,0.371834955279142,0.0813923136045051,-0.03588730973961493,0.07114683808193366,0.3359476455395271,0.06416248039504341,-0.037885291123438095,0.08418984668989372,0.037885291123438095,0.08418984668989372,0.4472808505582323,0.07625411286280098,0.4093955594347942,0.09214062852278637,0.037885291123438095,0.08418984668989372,0.4472808505582323,0.07625411286280098
