arm,checkpoint,probe_set,slot_mode,packet_type,condition,grouping,n_packets,mean_full_m_orig_new_minus_source,se_full_m_orig_new_minus_source,mean_full_m_source_minus_orig_new,se_full_m_source_minus_orig_new,mean_content_m_orig_new_minus_source,se_content_m_orig_new_minus_source
clean,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.46027282524910357,0.16897378694283025,-0.46027282524910357,0.16897378694283025,0.6544984341674266,0.20495590381907022
clean,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.811591257369248,0.23090772266418352,3.811591257369248,0.23090772266418352,-4.347805698541683,0.24580100324538767
clean,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.936132690409528,0.22845699623163376,3.936132690409528,0.22845699623163376,-4.523724288034672,0.24058988437980938
clean,final,extended_nontrain,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,0.8412547356296116,0.09725478499191213,-0.8412547356296116,0.09725478499191213,1.0457846388812049,0.10523304288031643
clean,final,extended_nontrain,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.481175864711116,0.1068951160836848,4.481175864711116,0.1068951160836848,-4.714834695327095,0.11021987182251174
clean,final,extended_nontrain,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.764210272610099,0.10648021416147616,4.764210272610099,0.10648021416147616,-5.065431841909617,0.10846014625310396
clean,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.46027282524910357,0.16897378694283025,-0.46027282524910357,0.16897378694283025,0.6544984341674266,0.20495590381907022
clean,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.811591257369248,0.23090772266418352,3.811591257369248,0.23090772266418352,-4.347805698541683,0.24580100324538767
clean,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.936132690409528,0.22845699623163376,3.936132690409528,0.22845699623163376,-4.523724288034672,0.24058988437980938
clean,final,balanced_heldout,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.7288878465236241,0.22305170035243296,-0.7288878465236241,0.22305170035243296,0.8193296685771041,0.24007987105246087
clean,final,balanced_heldout,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.54456635308915,0.2493666865151308,4.54456635308915,0.2493666865151308,-5.018484413392122,0.2518680808218566
clean,final,balanced_heldout,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.753261902388867,0.24764489118468647,4.753261902388867,0.24764489118468647,-5.257085724544712,0.25002797510370395
repeat,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.4613251411766313,0.1690650754127805,-0.4613251411766313,0.1690650754127805,0.6460569654027374,0.20104707503274982
repeat,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.9481482630457267,0.22332312803689328,3.9481482630457267,0.22332312803689328,-4.530920692307756,0.23601484030194422
repeat,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.044333785639264,0.2197403194965162,4.044333785639264,0.2197403194965162,-4.651932272861454,0.23145547125632215
repeat,final,extended_nontrain,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,1.029904937951824,0.09622615250335187,-1.029904937951824,0.09622615250335187,1.2341640789442156,0.10466178591899251
repeat,final,extended_nontrain,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.500847947771032,0.10494505418975711,4.500847947771032,0.10494505418975711,-4.7564247218188855,0.10838899598899777
repeat,final,extended_nontrain,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.73633950930971,0.10260465103489312,4.73633950930971,0.10260465103489312,-5.037665442168058,0.10471203865478858
repeat,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.4613251411766313,0.1690650754127805,-0.4613251411766313,0.1690650754127805,0.6460569654027374,0.20104707503274982
repeat,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-3.9481482630457267,0.22332312803689328,3.9481482630457267,0.22332312803689328,-4.530920692307756,0.23601484030194422
repeat,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.044333785639264,0.2197403194965162,4.044333785639264,0.2197403194965162,-4.651932272861454,0.23145547125632215
repeat,final,balanced_heldout,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.8679647937947652,0.2264784401024918,-0.8679647937947652,0.2264784401024918,0.9433524119964373,0.24045351393740577
repeat,final,balanced_heldout,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.665160665230769,0.25308791648510603,4.665160665230769,0.25308791648510603,-5.132554816772246,0.25301490463296156
repeat,final,balanced_heldout,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.788809850340181,0.2501820770205552,4.788809850340181,0.2501820770205552,-5.280809782628262,0.24839493344807503
view,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.49616013498871847,0.1624474470846714,-0.49616013498871847,0.1624474470846714,0.6166131430439885,0.1918972259229955
view,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.004260749211586,0.22462810174890166,4.004260749211586,0.22462810174890166,-4.62434293209005,0.23484351981465426
view,final,extended_nontrain,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.142773560676794,0.21823145588479878,4.142773560676794,0.21823145588479878,-4.814520972407411,0.22555474891490374
view,final,extended_nontrain,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,1.2056519479873369,0.09693176697206501,-1.2056519479873369,0.09693176697206501,1.4151867793113269,0.1049342727034887
view,final,extended_nontrain,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.482406562947642,0.10527062916998856,4.482406562947642,0.10527062916998856,-4.73026125701294,0.10911363622431106
view,final,extended_nontrain,template,UPDATED_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,1125,-4.851692584650382,0.1024898413058997,4.851692584650382,0.1024898413058997,-5.171884722837378,0.10453352134369057
view,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.49616013498871847,0.1624474470846714,-0.49616013498871847,0.1624474470846714,0.6166131430439885,0.1918972259229955
view,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.004260749211586,0.22462810174890166,4.004260749211586,0.22462810174890166,-4.62434293209005,0.23484351981465426
view,final,balanced_heldout,template,UNCHANGED_DISTRACTOR_USE,N,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.142773560676794,0.21823145588479878,4.142773560676794,0.21823145588479878,-4.814520972407411,0.22555474891490374
view,final,balanced_heldout,template,UPDATED_USE,T,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,0.9773430882726141,0.22757331102857034,-0.9773430882726141,0.22757331102857034,1.0706240888984162,0.243591136038097
view,final,balanced_heldout,template,UPDATED_USE,U,seed+arm+checkpoint+probe_set+slot_mode+packet_type+condition,200,-4.612368177769954,0.25221220210274065,4.612368177769954,0.25221220210274065,-5.058152149482548,0.25261477475771194
