checkpoint,group,VminusR_pp,VminusB_plus_BminusR_pp,residual_pp
chck_100M,all_18_subtasks,3.8905262254521205,3.8905262254521205,0.0
chck_100M,ambiref_nonzero_ops,4.7277093654179225,4.7277093654179225,0.0
chck_100M,ambiref_zero_ops,-3.5433070866141705,-3.5433070866141705,0.0
chck_100M,move_contents_nonzero_ops,6.991932583836945,6.991932583836945,0.0
chck_100M,move_contents_zero_ops,-10.27131782945736,-10.27131782945736,0.0
chck_100M,nonzero_ops,6.582514266365756,6.582514266365756,0.0
chck_100M,numops_0,-9.569413979116042,-9.569413979116042,0.0
chck_100M,numops_1,1.9174226237981475,1.9174226237981475,0.0
chck_100M,numops_2,3.6054354341597907,3.6054354341597907,0.0
chck_100M,numops_3,7.5410153607012305,7.5410153607012305,0.0
chck_100M,numops_4,9.284065854523266,9.284065854523266,0.0
chck_100M,numops_5,10.564632058646339,10.564632058646339,0.0
chck_100M,regular_nonzero_ops,8.027900849842403,8.027900849842403,0.0
chck_100M,regular_zero_ops,-14.893617021276597,-14.893617021276597,0.0
chck_100M,split_ambiref,3.34920662341257,3.34920662341257,0.0
chck_100M,split_move_contents,4.114724181621224,4.114724181621224,0.0
chck_100M,split_regular,4.207647871322571,4.207647871322571,0.0
chck_100M,zero_ops,-9.569413979116042,-9.569413979116042,0.0
chck_80M,all_18_subtasks,4.501186696528226,4.501186696528226,0.0
chck_80M,ambiref_nonzero_ops,5.960155017302636,5.960155017302636,0.0
chck_80M,ambiref_zero_ops,-5.511811023622045,-5.511811023622045,0.0
chck_80M,move_contents_nonzero_ops,7.237824143158562,7.237824143158562,0.0
chck_80M,move_contents_zero_ops,-8.720930232558139,-8.720930232558139,0.0
chck_80M,nonzero_ops,7.201337282699786,7.201337282699786,0.0
chck_80M,numops_0,-8.999566234329563,-8.999566234329563,0.0
chck_80M,numops_1,1.9162286884944901,1.9162286884944901,0.0
chck_80M,numops_2,4.263326237753834,4.263326237753834,0.0
chck_80M,numops_3,8.778736045467845,8.778736045467845,0.0
chck_80M,numops_4,10.516470606760404,10.516470606760404,0.0
chck_80M,numops_5,10.531924835022377,10.531924835022377,0.0
chck_80M,regular_nonzero_ops,8.406032687638167,8.406032687638167,0.0
chck_80M,regular_zero_ops,-12.765957446808514,-12.765957446808514,0.0
chck_80M,split_ambiref,4.04816067714852,4.04816067714852,0.0
chck_80M,split_move_contents,4.578031747205777,4.578031747205777,0.0
chck_80M,split_regular,4.877367665230388,4.877367665230388,0.0
chck_80M,zero_ops,-8.999566234329563,-8.999566234329563,0.0
chck_90M,all_18_subtasks,3.6608758459886452,3.6608758459886452,0.0
chck_90M,ambiref_nonzero_ops,4.893773820280508,4.893773820280508,0.0
chck_90M,ambiref_zero_ops,-4.5275590551181075,-4.5275590551181075,0.0
chck_90M,move_contents_nonzero_ops,6.606592228816901,6.606592228816901,0.0
chck_90M,move_contents_zero_ops,-11.046511627906973,-11.046511627906973,0.0
chck_90M,nonzero_ops,6.475809821520869,6.475809821520869,0.0
chck_90M,numops_0,-10.413794031672445,-10.413794031672445,0.0
chck_90M,numops_1,2.066359952530526,2.066359952530526,0.0
chck_90M,numops_2,3.69269060913426,3.69269060913426,0.0
chck_90M,numops_3,7.775707264610588,7.775707264610588,0.0
chck_90M,numops_4,8.228759227255654,8.228759227255654,0.0
chck_90M,numops_5,10.615532054073288,10.615532054073288,0.0
chck_90M,regular_nonzero_ops,7.927063415465188,7.927063415465188,0.0
chck_90M,regular_zero_ops,-15.667311411992259,-15.667311411992259,0.0
chck_90M,split_ambiref,3.323551674380738,3.323551674380738,0.0
chck_90M,split_move_contents,3.6644082526962514,3.6644082526962514,0.0
chck_90M,split_regular,3.99466761088895,3.99466761088895,0.0
chck_90M,zero_ops,-10.413794031672445,-10.413794031672445,0.0
