architecture,tokenizer,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,max_position_embeddings,parameter_count,embedding_parameter_count,non_embedding_parameter_count
8x480_current_legal16k,legal16k,16384,480,8,8,1920,512,34467424,7864320,26603104
8x480_current_legal40k,legal40k,40000,480,8,8,1920,512,45826720,19200000,26626720
8x480_minfreq50,legal40k_minfreq50,19609,480,8,8,1920,512,36018649,9412320,26606329
12x384_leader_shape_legal16k,legal16k,16384,384,12,12,1280,512,29329792,6291456,23038336
12x384_leader_shape_legal40k,legal40k,40000,384,12,12,1280,512,38421952,15360000,23061952
12x384_leader_shape_minfreq50,legal40k_minfreq50,19609,384,12,12,1280,512,30571417,7529856,23041561
12x384_ffn4_legal40k_existing_trainer,legal40k,40000,384,12,12,1536,512,40784320,15360000,25424320
12x384_leader_pos1024_legal40k,legal40k,40000,384,12,12,1280,1024,38618560,15360000,23258560
