arm,checkpoint,cheap7_complete,scores_available,cheap7,needed_SuperGLUE_plus_AoA_for_41p80,gap_to_leader_cheap7,BLiMP,Supplement,EWoK,Entity,COMPS,GlobalPIQA,Reading
compact_view,70M,True,7,42.65714285714286,77.59999999999997,-1.1128571428571377,65.62,57.94,49.42,27.74,51.76,38.605000000000004,7.515000000000001
source_breadth_rowblock,70M,True,7,42.03142857142858,81.97999999999996,-1.7385714285714187,65.98,58.39,51.44,22.44,51.31,36.605000000000004,8.055
compact_view,80M,False,0,,,,,,,,,,
source_breadth_rowblock,80M,False,0,,,,,,,,,,
compact_view,100M,False,0,,,,,,,,,,
source_breadth_rowblock,100M,False,0,,,,,,,,,,
