target_overall,assumed_SuperGLUE_plus_AoA,required_cheap7
41.8,67.0,44.17142857142857
41.8,68.0,44.028571428571425
41.8,69.79,43.77285714285714
41.8,70.0,43.74285714285714
41.8,71.04,43.59428571428571
41.8,72.0,43.457142857142856
41.8,75.0,43.028571428571425
41.8,80.0,42.31428571428571
