arm,epoch,subset,n,joint_correct,a_correct,b_correct,a_only_right,b_only_right,one_right,both_wrong,gated_fraction,prior_b_fraction,mean_a_margin,mean_b_margin,old_expected_joint,old_gating_count
answer_clean,20,both_entities_in_source_115,115,24,48,91,24,67,91,0,0.2087,0.73626,-0.2450334322083254,1.379901088875264,37.982608695652175,-13.982608695652175
answer_clean,20,not_both_entities_in_source_85,85,20,35,70,15,50,65,0,0.23529,0.76923,-0.3909591581828857,1.6143558142136027,28.823529411764707,-8.823529411764707
uniform_wwm,0,all_pairs,200,6,78,128,72,122,194,0,0.03,0.62887,-0.5935204692939409,0.6779117414331263,49.92,-43.92
uniform_wwm,0,updated_entity_in_source_119,119,5,50,74,45,69,114,0,0.04202,0.60526,-0.5210784046206877,0.6062274799775613,31.092436974789916,-26.092436974789916
uniform_wwm,0,updated_entity_not_in_source_81,81,1,28,54,27,53,80,0,0.01235,0.6625,-0.6999477001102017,0.7832256564110549,18.666666666666668,-17.666666666666668
uniform_wwm,0,both_entities_in_source_115,115,5,49,71,44,66,110,0,0.04348,0.6,-0.5140561461521269,0.6035798309463543,30.252173913043478,-25.252173913043478
uniform_wwm,0,not_both_entities_in_source_85,85,1,29,57,28,56,84,0,0.01176,0.66667,-0.7010310241328656,0.7784784438564061,19.44705882352941,-18.44705882352941
uniform_wwm,5,all_pairs,200,5,65,137,60,132,192,3,0.025,0.6875,-0.6037635116569853,0.7141345174961118,44.525,-39.525
uniform_wwm,5,updated_entity_in_source_119,119,2,39,80,37,78,115,2,0.01681,0.67826,-0.5294652342881336,0.6305797289411214,26.218487394957982,-24.218487394957982
uniform_wwm,5,updated_entity_not_in_source_81,81,3,26,57,23,54,77,1,0.03704,0.7013,-0.7129177710013475,0.8368878488299867,18.296296296296298,-15.296296296296298
uniform_wwm,5,both_entities_in_source_115,115,1,38,76,37,75,112,2,0.0087,0.66964,-0.517278415420406,0.6184520792782664,25.11304347826087,-24.11304347826087
uniform_wwm,5,not_both_entities_in_source_85,85,4,27,61,23,57,80,1,0.04706,0.7125,-0.7207727595064749,0.843587228026138,19.376470588235293,-15.376470588235293
uniform_wwm,10,all_pairs,200,7,65,142,58,135,193,0,0.035,0.69948,-0.6143902639977742,0.7339298978792655,46.15,-39.15
uniform_wwm,10,updated_entity_in_source_119,119,3,40,82,37,79,116,0,0.02521,0.68103,-0.5373062575604192,0.6489042318087566,27.563025210084035,-24.563025210084035
uniform_wwm,10,updated_entity_not_in_source_81,81,4,25,60,21,56,77,0,0.04938,0.72727,-0.7276371376526538,0.8588441480322357,18.51851851851852,-14.518518518518519
uniform_wwm,10,both_entities_in_source_115,115,2,39,78,37,76,113,0,0.01739,0.67257,-0.524568845739487,0.6347960966610423,26.452173913043477,-24.452173913043477
