step,exposure,old_loss,old_lr,legal_step35_tok_loss,legal_step35_tok_minus_old_loss,legal_step35_tok_masked_tokens_minus_old,bytealpha_tok_loss,bytealpha_tok_minus_old_loss,bytealpha_tok_masked_tokens_minus_old
1,39370,9.809807777404785,6.622516556291391e-06,9.837543487548828,0.02773571014404297,-68,9.82174301147461,0.011935234069824219,-65
2,78887,9.811098098754883,1.3245033112582782e-05,9.831273078918457,0.02017498016357422,-64,9.826253890991211,0.015155792236328125,-64
3,118604,9.793766975402832,1.9867549668874173e-05,9.815106391906738,0.02133941650390625,-61,9.80848217010498,0.014715194702148438,-59
4,158026,9.756375312805176,2.6490066225165565e-05,9.774699211120605,0.018323898315429688,-66,9.769172668457031,0.012797355651855469,-62
5,197643,9.71020221710205,3.3112582781456954e-05,9.727702140808105,0.017499923706054688,-71,9.709332466125488,-0.0008697509765625,-71
6,236822,9.648982048034668,3.9735099337748346e-05,9.64773178100586,-0.0012502670288085938,-74,9.638540267944336,-0.010441780090332031,-71
7,276338,9.573991775512695,4.635761589403974e-05,9.558003425598145,-0.01598834991455078,-56,9.547784805297852,-0.02620697021484375,-55
8,316049,9.492708206176758,5.298013245033113e-05,9.470433235168457,-0.02227497100830078,-82,9.474015235900879,-0.018692970275878906,-80
9,355621,9.448568344116211,5.9602649006622515e-05,9.425026893615723,-0.02354145050048828,-72,9.426509857177734,-0.022058486938476562,-71
10,395038,9.346992492675781,6.622516556291391e-05,9.304210662841797,-0.042781829833984375,-55,9.307024955749512,-0.03996753692626953,-50
11,434812,9.29161548614502,7.284768211920529e-05,9.263017654418945,-0.02859783172607422,-49,9.26380729675293,-0.027808189392089844,-49
12,474502,9.205472946166992,7.947019867549669e-05,9.158336639404297,-0.04713630676269531,-43,9.164057731628418,-0.04141521453857422,-42
13,514009,9.14242172241211,8.609271523178808e-05,9.08981990814209,-0.05260181427001953,-61,9.09186840057373,-0.050553321838378906,-58
14,553304,9.063669204711914,9.271523178807948e-05,9.024971961975098,-0.038697242736816406,-57,9.027220726013184,-0.03644847869873047,-51
15,592772,9.012532234191895,9.933774834437086e-05,8.970307350158691,-0.042224884033203125,-40,8.966109275817871,-0.04642295837402344,-40
16,632389,8.954227447509766,0.00010596026490066226,8.908666610717773,-0.04556083679199219,-55,8.898053169250488,-0.056174278259277344,-53
17,672090,8.8865966796875,0.00011258278145695364,8.836162567138672,-0.050434112548828125,-43,8.828718185424805,-0.05787849426269531,-41
18,711127,8.801538467407227,0.00011920529801324503,8.762109756469727,-0.0394287109375,-76,8.758138656616211,-0.043399810791015625,-72
19,750367,8.770806312561035,0.00012582781456953643,8.732569694519043,-0.03823661804199219,-70,8.720630645751953,-0.05017566680908203,-69
20,789880,8.69493579864502,0.00013245033112582781,8.631829261779785,-0.06310653686523438,-46,8.630549430847168,-0.06438636779785156,-45
21,829480,8.66132640838623,0.0001390728476821192,8.609509468078613,-0.05181694030761719,-77,8.607810020446777,-0.053516387939453125,-76
22,869011,8.607154846191406,0.00014569536423841059,8.557417869567871,-0.049736976623535156,-27,8.558516502380371,-0.048638343811035156,-27
23,908509,8.546751976013184,0.000152317880794702,8.503634452819824,-0.043117523193359375,-62,8.492349624633789,-0.05440235137939453,-60
24,947980,8.503972053527832,0.00015894039735099338,8.467779159545898,-0.036192893981933594,-56,8.447615623474121,-0.05635643005371094,-53
25,987406,8.397722244262695,0.0001655629139072848,8.355496406555176,-0.04222583770751953,-111,8.34488296508789,-0.05283927917480469,-105
26,1027470,8.302618026733398,0.00017218543046357615,8.252846717834473,-0.04977130889892578,-22,8.24874496459961,-0.05387306213378906,-19
27,1067220,8.276311874389648,0.00017880794701986754,8.233399391174316,-0.04291248321533203,-62,8.216330528259277,-0.059981346130371094,-61
28,1106667,8.140057563781738,0.00018543046357615895,8.10800838470459,-0.03204917907714844,-78,8.087294578552246,-0.05276298522949219,-78
29,1146691,8.035778999328613,0.00019205298013245034,8.008724212646484,-0.027054786682128906,-49,7.984446048736572,-0.051332950592041016,-48
30,1186322,7.985568046569824,0.00019867549668874172,7.950002670288086,-0.03556537628173828,-73,7.938938140869141,-0.046629905700683594,-69
31,1225505,7.918035507202148,0.0002052980132450331,7.863095760345459,-0.05493974685668945,-43,7.857950687408447,-0.06008481979370117,-44
32,1264934,7.817712306976318,0.00021192052980132452,7.769115447998047,-0.048596858978271484,-70,7.7552809715271,-0.06243133544921875,-67
33,1304680,7.709674835205078,0.0002185430463576159,7.66304874420166,-0.04662609100341797,-43,7.646581172943115,-0.06309366226196289,-41
