arm,sentences,words,mean_words,median_words,source_words,length_bin_words,bucket_words,required_capability_words,all_capability_words,match_modes,mean_core_score
treatment,8,253,31.625,30.0,"{""fw_compact_rewrites"": 41, ""fw_frozen_sources_38167"": 72, ""compact_experience_aligned_10m_rows"": 140}","{""16_25"": 66, ""26_35"": 94, ""36_50"": 40, ""51_70"": 53}","{""physical_material_transition"": 101, ""spatial_transition"": 46, ""temporal_quantity_transition"": 106}","{""physical_anchor"": 101, ""quantity_anchor"": 106, ""spatial_anchor"": 46}",,,12.06875
anchor_control,9,274,30.444444444444443,28,"{""fw_compact_rewrites"": 41, ""fw_frozen_sources_38167"": 72, ""compact_experience_aligned_10m_rows"": 161}","{""16_25"": 87, ""26_35"": 94, ""36_50"": 40, ""51_70"": 53}",,"{""physical_anchor"": 101, ""quantity_anchor"": 106, ""spatial_anchor"": 46, ""topup"": 21}","{""physical_anchor"": 274, ""quantity_anchor"": 184, ""spatial_anchor"": 175}","{""budget_topup_anchor_control"": 21, ""same_source_lenbin_cap"": 253}",
