task_group,pair_id,compact_aux_g,current_aux_g,recurrence_g,compact_unspent_g,ca_minus_current_aux_g,ca_minus_recurrence_g,ca_minus_unspent_g
aux_common,rw2s1_000216,0.1642496973120918,0.19689386679480472,0.1670967808847005,0.1328012971078149,-0.032644169482712926,-0.0028470835726087107,0.03144840020427689
aux_common,rw2s1_002259,-0.047852555910746254,-0.07641027371088664,0.0023279190063476562,-0.008295774459838867,0.028557717800140388,-0.05018047491709391,-0.03955678145090739
aux_common,rw2s1_017873,0.08019946622274195,0.03198872632735098,0.08670774129374574,0.09319312329171225,0.048210739895390965,-0.006508275071003794,-0.012993657068970307
aux_common,rw2s1_032596,0.07727477513253689,0.0036616023474683366,0.06476974033284932,0.0653664261335507,0.07361317278506856,0.012505034799687564,0.011908348998986185
aux_common,rw_000248,0.0857911365348157,0.042136123058972665,0.010712439780709952,-0.0021900070693204755,0.04365501347584303,0.07507869675410575,0.08798114360413617
aux_common,rw_024111,0.6658282279968262,0.7696417768796285,0.12894193331400552,0.12773005167643228,-0.10381354888280236,0.5368862946828207,0.5380981763203939
aux_common,rw_041960,0.05578561375538508,-0.16881797920602062,0.00013749930076301098,0.004330692579969764,0.2246035929614057,0.05564811445462207,0.051454921175415315
base_common,rw2s0_002308,0.26235652218262356,0.10221648588776588,0.3098183696468671,0.3090989701449871,0.16014003629485768,-0.047461847464243534,-0.04674244796236354
base_common,rw2s0_004620,0.06430803285911679,0.04235955160887291,0.04503199857814858,0.037447126543459795,0.02194848125024388,0.01927603428096821,0.026860906315656997
base_common,rw2s0_006924,0.11087337927892804,-0.011826474297170838,0.11728102034733941,0.09841191799690326,0.12269985357609887,-0.0064076410684113655,0.012461461282024786
base_common,rw2s0_009985,-0.027503033789495628,0.01054086375127857,-0.01276909369820108,0.0024759971032229564,-0.038043897540774196,-0.014733940091294548,-0.029979030892718583
base_common,rw2s0_010026,0.21387413951257864,-0.02674519984672467,0.37189508446802694,0.3266738581781586,0.2406193393593033,-0.1580209449554483,-0.11279971866557995
base_common,rw2s0_014542,0.3282402555147807,-0.26237260301907855,0.45057479540507,0.437004695336024,0.5906128585338593,-0.1223345398902893,-0.10876443982124329
base_common,rw2s0_019304,0.40056514212240774,0.1843968207637469,0.34422098379582167,0.2927611091484626,0.21616832135866085,0.05634415832658607,0.10780403297394514
base_common,rw2s0_019852,0.09442299107710521,0.0700662632783254,0.08497564991315205,0.08389524556696415,0.024356727798779815,0.009447341163953155,0.01052774551014106
base_common,rw2s0_020973,0.8741620779037476,0.393247385819753,0.8023636837800344,0.6038090785344442,0.48091469208399457,0.07179839412371314,0.27035299936930335
base_common,rw2s0_025051,0.05988175421953201,-0.4229041387637456,0.1714573527375857,0.17209992681940398,0.4827858929832776,-0.11157559851805368,-0.11221817259987196
base_common,rw2s0_029078,-0.10520756244659424,-0.34288569291432697,-0.12481268246968587,-0.09751605987548828,0.23767813046773273,0.01960512002309163,-0.007691502571105957
base_common,rw2s1_000216,0.3978009441246589,0.5917646051384509,0.2695133708184585,0.17597842903342098,-0.19396366101379198,0.1282875733062004,0.2218225150912379
base_common,rw2s1_002259,0.3128201568809648,0.3273767086599643,0.23033815942471847,0.22464160095357025,-0.014556551778999505,0.08248199745624635,0.08817855592739457
base_common,rw2s1_005600,0.3271169861157735,0.1365808496872584,0.3060616999864578,0.2734614685177803,0.1905361364285151,0.021055286129315676,0.053655517597993196
base_common,rw2s1_013643,0.025610769477983315,-0.052339658762017884,0.005504578351974487,0.0005061042805512747,0.0779504282400012,0.020106191126008827,0.02510466519743204
base_common,rw2s1_015912,-0.12826384603977203,-0.0004744678735733032,-0.052944958209991455,-0.016158496340115864,-0.12778937816619873,-0.07531888782978058,-0.11210534969965617
base_common,rw2s1_017873,-0.10164157976396382,-0.09387284082671006,-0.030989791887501877,-0.004523751015464465,-0.007768738937253758,-0.07065178787646194,-0.09711782874849935
base_common,rw2s1_024034,-0.003437559992547893,-0.005081105445112348,0.0003712714191468347,-0.00017199003034151783,0.0016435454525644548,-0.0038088314116947277,-0.003265569962206375
base_common,rw_000248,0.06324364244937897,-0.08566057495772839,-0.0008795239652196566,-0.0069266571663320065,0.14890421740710735,0.06412316641459863,0.07017029961571097
base_common,rw_001604,0.013358394304911148,0.00441187620162949,0.008262614409128824,0.005817419952816483,0.008946518103281658,0.005095779895782323,0.007540974352094665
base_common,rw_004509,0.01594515224791221,0.00023555997592792735,0.02093207113544592,0.008642686953184217,0.01570959227198428,-0.00498691888753371,0.007302465294727991
base_common,rw_015472,-0.022985798694814246,-0.15052764412636557,-0.06413674013068278,-0.04158980833987395,0.12754184543155134,0.04115094143586853,0.0186040096450597
base_common,rw_017379,0.27896451631871394,0.10943897254765063,0.29034079410808394,0.286803266292231,0.16952554377106333,-0.011376277789370004,-0.007838749973517078
base_common,rw_031652,-0.011281346281369528,0.05635515662531058,0.05643782081703345,-0.003146771341562271,-0.06763650290668011,-0.06771916709840298,-0.008134574939807257
base_common,rw_041183,0.12402759461353223,-0.0725718317553401,0.07557757866258423,0.08186807002251346,0.19659942636887234,0.048450015950948,0.042159524591018765
