arm,task_group,n_task_seed_rows,n_pairs,both_correct,both_correct_rate,mean_swing
compact_aux_support,aux_common,84,7,60,0.7142857142857143,10.052182775465699
compact_aux_support,base_common,150,25,131,0.8733333333333333,9.93195320182831
compact_base80_unspent,aux_common,84,7,60,0.7142857142857143,9.9153871679649
compact_base80_unspent,base_common,150,25,130,0.8666666666666667,9.906682138874135
compact_interleaved_recurrence,aux_common,84,7,60,0.7142857142857143,9.934084145797579
compact_interleaved_recurrence,base_common,150,25,130,0.8666666666666667,9.940527152488126
current_aux_substitution,aux_common,84,7,60,0.7142857142857143,9.959235388011345
current_aux_substitution,base_common,150,25,126,0.84,9.686711373281266
current_base80,aux_common,84,7,60,0.7142857142857143,9.803390837461126
current_base80,base_common,150,25,126,0.84,9.662552897520733
