seed,arm,base_common_g,base_common_b,base_common_p,aux_common_g,aux_common_b,aux_common_p,base_compact_with_source_delta_nll,base_current_with_source_delta_nll,aux_compact_with_source_delta_nll,aux_current_with_source_delta_nll,elapsed_sec,run_root
60001,compact_aux_support,0.15006782131690888,0.10615139487088614,0.024212896625200927,0.1529307235143192,-0.07368115030805626,-0.10754378920509707,-0.5423896620819348,-0.1948559157159145,-0.6376235118488583,-0.2648619345633224,12.0,experiments/archive/functional_learning/data/allocation_balanced_comparison
60002,compact_aux_support,0.17030472574123579,0.10361983125707848,0.02306245542707897,0.14112837044965656,-0.06447316032080426,-0.08732445041338607,-0.541810362934071,-0.21383414522065056,-0.5957801132491141,-0.20150773416805481,11.9,experiments/archive/functional_learning/data/allocation_balanced_comparison
60003,compact_aux_support,0.14966934837944187,0.0938556429199387,0.021519508134751134,0.1344402707625358,-0.06900734234867358,-0.07938967432294573,-0.5571300714076957,-0.20297438888248473,-0.6260261994038681,-0.22763121028020536,12.3,experiments/archive/functional_learning/data/allocation_balanced_comparison
60001,compact_base80_unspent,0.14658409431499123,0.09208479508502589,0.034569603176343985,0.08711010924473943,-0.041090709051959946,-0.05349053229604449,-0.5506053303907169,-0.1877897387502005,-0.11589166928280259,-0.08146889718981194,11.9,experiments/archive/functional_learning/data/allocation_balanced_comparison
60002,compact_base80_unspent,0.13084273044452335,0.0883310238616763,0.029154923302786687,0.04783117449066295,-0.036532283566581746,-0.041621487765085154,-0.5662459256815549,-0.2309800464982069,-0.11099530948523545,-0.07232782120090199,11.9,experiments/archive/functional_learning/data/allocation_balanced_comparison
60003,compact_base80_unspent,0.11710667776509323,0.07687982815617163,0.021928868605976967,0.04285489850389285,-0.030626106591496147,-0.03471848794392177,-0.5667873215245048,-0.20287047868766295,-0.12558483419318994,-0.06756028276036627,11.9,experiments/archive/functional_learning/data/allocation_balanced_comparison
60001,compact_interleaved_recurrence,0.17006668365394162,0.09096738026532833,0.025870424225216765,0.10558305912473724,-0.04891205254188253,-0.07110975611777537,-0.5830096975894484,-0.2119729973077055,-0.132594468804415,-0.08766116869464029,11.8,experiments/archive/functional_learning/data/allocation_balanced_comparison
60002,compact_interleaved_recurrence,0.14561296442590124,0.08944080152526675,0.03438119570414223,0.051682886795052126,-0.03807296057874782,-0.03419774061157594,-0.5953508945398986,-0.2363807427619559,-0.11339720726210738,-0.07276920921729124,11.8,experiments/archive/functional_learning/data/allocation_balanced_comparison
60003,compact_interleaved_recurrence,0.17264906900047908,0.09350393829290712,0.024736564783822895,0.06253361026202109,-0.05203060365082436,-0.05951793704714094,-0.6156801950524777,-0.22559435672897676,-0.1146244317067392,-0.07160041442312788,12.4,experiments/archive/functional_learning/data/allocation_balanced_comparison
60001,current_aux_substitution,-0.004485136101998039,0.060259620289185224,0.0415026831343061,0.060341987875290215,-0.17773088501832848,-0.16961199470928737,-0.1618950163508998,-0.5177471050403398,-0.612182811207392,-0.34516370089148124,11.6,experiments/archive/functional_learning/data/allocation_balanced_comparison
60002,current_aux_substitution,0.04562348363144946,0.06544235691494711,0.03785974590551282,0.11515615969186742,-0.1841844265304861,-0.16125148676690607,-0.1521658939740766,-0.5021313014638543,-0.5662376950805386,-0.2843787020454848,11.8,experiments/archive/functional_learning/data/allocation_balanced_comparison
60003,current_aux_substitution,0.0034540565631219367,0.05781816097819025,0.02395021012851167,0.05889620789925441,-0.15897824052566042,-0.1558449183191572,-0.16356328625882685,-0.4893686318022197,-0.6207733346008215,-0.3149747488343911,12.3,experiments/archive/functional_learning/data/allocation_balanced_comparison
60001,current_base80,-0.004248581758389844,0.049406538685517656,0.04535827812694367,-0.014037755390052618,-0.1784538328592178,-0.1606973863783337,-0.19261646342237787,-0.582551811946306,-0.16494627486293514,-0.20303257673540862,12.0,experiments/archive/functional_learning/data/allocation_balanced_comparison
60002,current_base80,0.03305027813140656,0.03868928133487882,0.030552928135508573,0.041629919227922266,-0.18705729937313928,-0.15957250197728476,-0.17978961512625696,-0.5810220852077941,-0.16369491346519102,-0.20284623616247527,12.0,experiments/archive/functional_learning/data/allocation_balanced_comparison
60003,current_base80,0.0038717076512763504,0.04759300429573556,0.034792794301396326,-0.011759427764142532,-0.17925891162650215,-0.16698474259603596,-0.18070398070703958,-0.588328579707926,-0.16246690890667112,-0.20224520516681618,11.8,experiments/archive/functional_learning/data/allocation_balanced_comparison
60004,compact_aux_support,0.12405613124536885,0.09709099960502325,0.02411071967510945,0.09752779241119118,-0.061255859421743546,-0.07482696431023735,-0.5215370041516755,-0.1979061649753039,-0.623056671814993,-0.23325175649370067,12.7,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60005,compact_aux_support,0.16094798480393369,0.09384829411915106,0.015750588320550412,0.15789024559004858,-0.07265193053587739,-0.11623079578081771,-0.5377030036694594,-0.18868905633294786,-0.6003369720695032,-0.21686179883822443,14.4,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60006,compact_aux_support,0.10109440232017299,0.08904331182362517,0.01870001159963156,0.08520454749287591,-0.07497876747289586,-0.09867655521347414,-0.538412403647323,-0.1923206157876206,-0.5796069636813957,-0.22258480801524239,16.4,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60004,compact_base80_unspent,0.11341491291044459,0.06261929299294329,0.022996088578587467,0.051190718808876615,-0.02340913838928658,-0.04099602358681815,-0.5146442024655968,-0.19434429357851532,-0.1193063020635622,-0.08639592118838448,13.1,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60005,compact_base80_unspent,0.15735821273066994,0.06913123963422894,0.018358153729211697,0.08502402581784521,-0.034714570230183525,-0.044475827898297994,-0.5599513041229924,-0.19203709685469078,-0.11302992755293167,-0.0713374514806284,12.6,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60006,compact_base80_unspent,0.11502059677881853,0.0755052472074472,0.021382063002813423,0.04472420085221529,-0.03416290761725538,-0.03178974560328892,-0.5447476794535759,-0.18517330583791572,-0.12294014242590603,-0.06872633470837693,17.1,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60004,compact_interleaved_recurrence,0.10746954615915284,0.08263991387937931,0.03435958672137487,0.03072149450114622,-0.026707071960637613,-0.03517413848922368,-0.5825910194364649,-0.23297945400554454,-0.12212704996945278,-0.09535237061624814,12.7,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60005,compact_interleaved_recurrence,0.14359137794679208,0.07275612618962661,0.024002071647416957,0.08788391156676445,-0.03533519544483475,-0.0592854448727199,-0.5857537181732672,-0.21900703640944008,-0.1272791933254198,-0.081130664515686,12.6,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60006,compact_interleaved_recurrence,0.14247262460024407,0.08484486601692405,0.027016811597914955,0.07642109896655061,-0.060618017439819205,-0.06532692909240723,-0.5932176355884251,-0.2086994439985788,-0.1148785434296411,-0.06732085008046679,17.0,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60004,current_aux_substitution,0.02388765233724068,0.07810638647149541,0.03209126628580549,0.09771911553218075,-0.1777641758755116,-0.15090160000891917,-0.15791738752419787,-0.4979967884986157,-0.6430920318079492,-0.3061708931373211,12.2,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
60005,current_aux_substitution,0.03965428904053712,0.06972921862355654,0.02334755193619503,0.09106473283775683,-0.23251691484446863,-0.19854336267425904,-0.1499950294857514,-0.5091476903027939,-0.6060338922352954,-0.3167777258744796,16.6,experiments/archive/functional_learning/data/allocation_balanced_comparison_rep2
