label,uid,domain,idx,ConceptA,ConceptB,ContextType,ContextDiff,TargetDiff,selection_pattern,selection_DiD_item,margin_430,margin_431,delta_431_minus_430,correct_430,correct_431,pattern
oldtok_50M,material-dynamics_0,material-dynamics,0,break,drip,direct,material,concept swap,0110,-2,-1.655191421508789,-0.3571815490722656,1.2980098724365234,0,0,00
oldtok_50M,material-dynamics_4,material-dynamics,4,break,drip,direct,material,concept swap,0110,-2,-1.752676010131836,0.02060413360595703,1.773280143737793,0,1,01
oldtok_50M,material-dynamics_20,material-dynamics,20,break,flap,direct,material,concept swap,0110,-2,0.0140838623046875,-1.7111968994140625,-1.72528076171875,1,0,10
oldtok_50M,material-dynamics_22,material-dynamics,22,break,flap,direct,material,concept swap,0110,-2,-0.8399391174316406,-3.472911834716797,-2.6329727172851562,0,0,00
oldtok_50M,material-dynamics_24,material-dynamics,24,break,flap,direct,material,concept swap,0110,-2,-0.5087261199951172,-1.281620979309082,-0.7728948593139648,0,0,00
oldtok_50M,material-dynamics_26,material-dynamics,26,break,flap,direct,material,concept swap,0110,-2,-0.8064441680908203,-0.5799989700317383,0.22644519805908203,0,0,00
oldtok_50M,material-dynamics_28,material-dynamics,28,break,flap,direct,material,concept swap,0110,-2,-0.8214950561523438,-1.5791130065917969,-0.7576179504394531,0,0,00
oldtok_50M,material-dynamics_40,material-dynamics,40,break,rip ,direct,material,concept swap,0110,-2,0.0140838623046875,-1.7111968994140625,-1.72528076171875,1,0,10
oldtok_50M,material-dynamics_42,material-dynamics,42,break,rip ,direct,material,concept swap,0110,-2,-0.8399391174316406,-3.472911834716797,-2.6329727172851562,0,0,00
oldtok_50M,material-dynamics_44,material-dynamics,44,break,rip ,direct,material,concept swap,0110,-2,-0.5087261199951172,-1.281620979309082,-0.7728948593139648,0,0,00
oldtok_50M,material-dynamics_46,material-dynamics,46,break,rip ,direct,material,concept swap,0110,-2,-0.8064441680908203,-0.5799989700317383,0.22644519805908203,0,0,00
oldtok_50M,material-dynamics_48,material-dynamics,48,break,rip ,direct,material,concept swap,0110,-2,-0.8214950561523438,-1.5791130065917969,-0.7576179504394531,0,0,00
oldtok_50M,material-dynamics_50,material-dynamics,50,break,ripple,direct,material,concept swap,0110,-2,0.0140838623046875,-1.7111968994140625,-1.72528076171875,1,0,10
oldtok_50M,material-dynamics_52,material-dynamics,52,break,ripple,direct,material,concept swap,0110,-2,-1.655191421508789,-0.3571815490722656,1.2980098724365234,0,0,00
oldtok_50M,material-dynamics_54,material-dynamics,54,break,ripple,direct,material,concept swap,0110,-2,-0.8399391174316406,-3.472911834716797,-2.6329727172851562,0,0,00
oldtok_50M,material-dynamics_58,material-dynamics,58,break,ripple,direct,material,concept swap,0110,-2,-0.5087261199951172,-1.281620979309082,-0.7728948593139648,0,0,00
oldtok_50M,material-dynamics_60,material-dynamics,60,break,ripple,direct,material,concept swap,0110,-2,-1.752676010131836,0.02060413360595703,1.773280143737793,0,1,01
oldtok_50M,material-dynamics_62,material-dynamics,62,break,ripple,direct,material,concept swap,0110,-2,-0.8064441680908203,-0.5799989700317383,0.22644519805908203,0,0,00
oldtok_50M,material-dynamics_66,material-dynamics,66,break,ripple,direct,material,concept swap,0110,-2,-0.8214950561523438,-1.5791130065917969,-0.7576179504394531,0,0,00
oldtok_50M,material-dynamics_90,material-dynamics,90,break,splash,direct,material,concept swap,0110,-2,-1.655191421508789,-0.3571815490722656,1.2980098724365234,0,0,00
oldtok_50M,material-dynamics_94,material-dynamics,94,break,splash,direct,material,concept swap,0110,-2,-1.752676010131836,0.02060413360595703,1.773280143737793,0,1,01
oldtok_50M,material-dynamics_110,material-dynamics,110,break,wrinkle,direct,material,concept swap,0110,-2,0.0140838623046875,-1.7111968994140625,-1.72528076171875,1,0,10
oldtok_50M,material-dynamics_112,material-dynamics,112,break,wrinkle,direct,material,concept swap,0110,-2,-0.8399391174316406,-3.472911834716797,-2.6329727172851562,0,0,00
oldtok_50M,material-dynamics_114,material-dynamics,114,break,wrinkle,direct,material,concept swap,0110,-2,-0.5087261199951172,-1.281620979309082,-0.7728948593139648,0,0,00
oldtok_50M,material-dynamics_116,material-dynamics,116,break,wrinkle,direct,material,concept swap,0110,-2,-0.8064441680908203,-0.5799989700317383,0.22644519805908203,0,0,00
oldtok_50M,material-dynamics_118,material-dynamics,118,break,wrinkle,direct,material,concept swap,0110,-2,-0.8214950561523438,-1.5791130065917969,-0.7576179504394531,0,0,00
oldtok_50M,material-dynamics_130,material-dynamics,130,drape,pour,direct,material,concept swap,0110,-2,1.3246498107910156,0.089111328125,-1.2355384826660156,1,1,11
oldtok_50M,material-dynamics_134,material-dynamics,134,drape,pour,direct,material,concept swap,0110,-2,3.2256088256835938,-0.03269195556640625,-3.25830078125,1,0,10
oldtok_50M,material-dynamics_136,material-dynamics,136,drape,pour,direct,material,concept swap,0110,-2,1.9270687103271484,0.4241142272949219,-1.5029544830322266,1,1,11
oldtok_50M,material-dynamics_138,material-dynamics,138,drape,pour,direct,material,concept swap,0110,-2,3.932209014892578,0.6338310241699219,-3.2983779907226562,1,1,11
oldtok_50M,material-dynamics_152,material-dynamics,152,drape,stir,direct,material,concept swap,0110,-2,1.3246498107910156,0.089111328125,-1.2355384826660156,1,1,11
oldtok_50M,material-dynamics_160,material-dynamics,160,drape,stir,direct,material,concept swap,0110,-2,3.2256088256835938,-0.03269195556640625,-3.25830078125,1,0,10
oldtok_50M,material-dynamics_164,material-dynamics,164,drape,stir,direct,material,concept swap,0110,-2,1.9270687103271484,0.4241142272949219,-1.5029544830322266,1,1,11
oldtok_50M,material-dynamics_168,material-dynamics,168,drape,stir,direct,material,concept swap,0110,-2,3.932209014892578,0.6338310241699219,-3.2983779907226562,1,1,11
oldtok_50M,material-dynamics_404,material-dynamics,404,rip ,pour,direct,material,concept swap,0110,-2,2.7552757263183594,0.2690143585205078,-2.4862613677978516,1,1,11
oldtok_50M,material-dynamics_406,material-dynamics,406,rip ,pour,direct,material,concept swap,0110,-2,1.9893608093261719,0.7425918579101562,-1.2467689514160156,1,1,11
oldtok_50M,material-dynamics_408,material-dynamics,408,rip ,pour,direct,material,concept swap,0110,-2,2.643463134765625,1.5128936767578125,-1.1305694580078125,1,1,11
oldtok_50M,material-dynamics_440,material-dynamics,440,rip ,stir,direct,material,concept swap,0110,-2,2.7552757263183594,0.2690143585205078,-2.4862613677978516,1,1,11
oldtok_50M,material-dynamics_444,material-dynamics,444,rip ,stir,direct,material,concept swap,0110,-2,1.9893608093261719,0.7425918579101562,-1.2467689514160156,1,1,11
oldtok_50M,material-dynamics_448,material-dynamics,448,rip ,stir,direct,material,concept swap,0110,-2,2.643463134765625,1.5128936767578125,-1.1305694580078125,1,1,11
oldtok_50M,material-dynamics_478,material-dynamics,478,squeeze,pour,direct,material,concept swap,0110,-2,1.3288803100585938,-0.49811363220214844,-1.8269939422607422,1,0,10
oldtok_50M,material-dynamics_482,material-dynamics,482,squeeze,pour,direct,material,concept swap,0110,-2,1.1450939178466797,0.5219459533691406,-0.6231479644775391,1,1,11
oldtok_50M,material-dynamics_486,material-dynamics,486,squeeze,pour,direct,material,concept swap,0110,-2,1.8469219207763672,0.4809398651123047,-1.3659820556640625,1,1,11
oldtok_50M,material-dynamics_525,material-dynamics,525,squeeze,stir,direct,material,concept swap,0110,-2,-1.0580406188964844,1.7255935668945312,2.7836341857910156,0,1,01
oldtok_50M,material-dynamics_538,material-dynamics,538,squeeze,stir,direct,material,concept swap,0110,-2,1.3288803100585938,-0.49811363220214844,-1.8269939422607422,1,0,10
oldtok_50M,material-dynamics_541,material-dynamics,541,squeeze,stir,direct,material,concept swap,0110,-2,-0.2498321533203125,2.5597476959228516,2.809579849243164,0,1,01
oldtok_50M,material-dynamics_546,material-dynamics,546,squeeze,stir,direct,material,concept swap,0110,-2,1.1450939178466797,0.5219459533691406,-0.6231479644775391,1,1,11
oldtok_50M,material-dynamics_554,material-dynamics,554,squeeze,stir,direct,material,concept swap,0110,-2,1.8469219207763672,0.4809398651123047,-1.3659820556640625,1,1,11
oldtok_50M,material-dynamics_661,material-dynamics,661,tap,stir,direct,material,concept swap,0110,-2,-1.0580406188964844,1.7255935668945312,2.7836341857910156,0,1,01
oldtok_50M,material-dynamics_665,material-dynamics,665,tap,stir,direct,material,concept swap,0110,-2,-0.2498321533203125,2.5597476959228516,2.809579849243164,0,1,01
oldtok_50M,material-dynamics_31,material-dynamics,31,break,flap,indirect,material,concept swap,0110,-2,-0.9873695373535156,-4.913852691650391,-3.926483154296875,0,0,00
oldtok_50M,material-dynamics_177,material-dynamics,177,drape,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_187,material-dynamics,187,drape,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_257,material-dynamics,257,fold,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_260,material-dynamics,260,fold,stir,indirect,material,concept swap,0110,-2,0.7008552551269531,-2.402505874633789,-3.103361129760742,1,0,10
oldtok_50M,material-dynamics_267,material-dynamics,267,fold,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_317,material-dynamics,317,hang,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_320,material-dynamics,320,hang,stir,indirect,material,concept swap,0110,-2,0.15452003479003906,-2.34259033203125,-2.497110366821289,1,0,10
oldtok_50M,material-dynamics_327,material-dynamics,327,hang,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_457,material-dynamics,457,rip ,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_467,material-dynamics,467,rip ,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_503,material-dynamics,503,squeeze,pour,indirect,material,concept swap,0110,-2,1.18878173828125,-0.2317352294921875,-1.4205169677734375,1,0,10
oldtok_50M,material-dynamics_579,material-dynamics,579,squeeze,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_585,material-dynamics,585,squeeze,stir,indirect,material,concept swap,0110,-2,1.5434532165527344,-0.017930984497070312,-1.5613842010498047,1,0,10
oldtok_50M,material-dynamics_611,material-dynamics,611,squeeze,stir,indirect,material,concept swap,0110,-2,-0.2972393035888672,-6.164628982543945,-5.867389678955078,0,0,00
oldtok_50M,material-dynamics_617,material-dynamics,617,squeeze,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_682,material-dynamics,682,tap,stir,indirect,material,concept swap,0110,-2,1.9515724182128906,-0.29371070861816406,-2.2452831268310547,1,0,10
oldtok_50M,material-dynamics_687,material-dynamics,687,tap,stir,indirect,material,concept swap,0110,-2,-0.2972393035888672,-6.164628982543945,-5.867389678955078,0,0,00
oldtok_50M,material-dynamics_757,material-dynamics,757,wrinkle,stir,indirect,material,concept swap,0110,-2,-1.2551956176757812,-0.16588401794433594,1.0893115997314453,0,0,00
oldtok_50M,material-dynamics_767,material-dynamics,767,wrinkle,stir,indirect,material,concept swap,0110,-2,0.4503002166748047,-3.422147750854492,-3.872447967529297,1,0,10
oldtok_50M,material-dynamics_2,material-dynamics,2,break,drip,direct,material,concept swap,1110,-1,-2.52142333984375,-1.8616390228271484,0.6597843170166016,0,0,00
oldtok_50M,material-dynamics_6,material-dynamics,6,break,drip,direct,material,concept swap,0010,-1,-2.063081741333008,0.7822675704956055,2.8453493118286133,0,1,01
oldtok_50M,material-dynamics_8,material-dynamics,8,break,drip,direct,material,concept swap,0010,-1,-2.43060302734375,-0.16094398498535156,2.2696590423583984,0,0,00
oldtok_50M,material-dynamics_21,material-dynamics,21,break,flap,direct,material,concept swap,1110,-1,5.950386047363281,0.9677162170410156,-4.982669830322266,1,1,11
oldtok_50M,material-dynamics_23,material-dynamics,23,break,flap,direct,material,concept swap,1110,-1,5.140005111694336,-0.06803703308105469,-5.208042144775391,1,0,10
