ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
antonym,3374,0.5038529934795495,1092,0.3236514522821577,0.6523297491039427,1674,-0.0013716472312808037
variable swap,2564,0.5019500780031201,975,0.38026521060842433,0.7635082223962412,1277,-0.006254029052797705
material,840,0.49166666666666664,237,0.28214285714285714,0.5550351288056206,427,0.17846667766571045
other,490,0.5142857142857142,145,0.29591836734693877,0.6092436974789915,238,0.13546550273895264
negation,190,0.6368421052631579,29,0.15263157894736842,0.42028985507246375,69,0.6759573913295753
number,80,0.575,19,0.2375,0.5588235294117647,34,0.0932396836578846
variable_swap,30,0.6,10,0.3333333333333333,0.8333333333333334,12,0.1944553181529045
game,20,0.6,6,0.3,0.75,8,0.23170801997184753
active-passive,30,0.5666666666666667,4,0.13333333333333333,0.3076923076923077,13,1.0020545721054077
