ContextDiff,n,accuracy,stable_failure,stable_failure_frac_all,stable_failure_frac_wrong,wrong,interaction_sum_median
variable swap,2564,0.49804992199687986,1063,0.41458658346333854,0.8259518259518259,1287,-0.008938708895584568
antonym,3374,0.509484291641968,1060,0.3141671606401897,0.6404833836858006,1655,0.06178310886025429
material,840,0.5190476190476191,241,0.2869047619047619,0.5965346534653465,404,-0.05125778913497925
other,490,0.5285714285714286,113,0.23061224489795917,0.48917748917748916,231,0.38851755671203136
negation,190,0.5631578947368421,49,0.2578947368421053,0.5903614457831325,83,0.33996162936091423
number,80,0.6,16,0.2,0.5,32,0.13948163931490853
variable_swap,30,0.5,14,0.4666666666666667,0.9333333333333333,15,-1.4453162848949432
game,20,0.35,11,0.55,0.8461538461538461,13,-1.3864957392215729
active-passive,30,0.5,7,0.23333333333333334,0.4666666666666667,15,0.24118438363075256
