endpoint,form,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
chck82_slow_scale1p75,coherent_add_special,128-255,8348,-5.503343097293377e-10,2.156599955774084e-08,2.547267285990529e-07
chck82_slow_scale1p75,coherent_add_special,>=256,2304,-4.737932875320086e-10,2.194987501795704e-08,2.0302832126617432e-07
chck82_slow_scale1p75,coherent_no_special,128-255,8525,-6.096785151362052e-10,2.1862701039028935e-08,2.3865140974521637e-07
chck82_slow_scale1p75,coherent_no_special,>=256,2048,-5.763548877519701e-10,2.097602957802437e-08,1.8300488591194153e-07
chck82_slow_scale1p75,short_add_special,0-15,172,-1.5378603765114133e-09,3.871225700040093e-08,2.712476998567581e-07
chck82_slow_scale1p75,short_add_special,16-31,361,2.4808812572756745e-09,3.181167038686272e-08,2.568121999502182e-07
chck82_slow_scale1p75,short_add_special,32-63,476,7.508736398176938e-10,2.7475701906626726e-08,2.3492611944675446e-07
chck82_slow_scale1p75,short_add_special,64-127,156,1.4446507661788543e-09,2.8744634646442618e-08,1.9208528101444244e-07
coherent86_alpha075,coherent_add_special,128-255,8348,0.000840350234052578,0.003141216664965944,0.07684140652418137
coherent86_alpha075,coherent_add_special,>=256,2304,0.0006248263637022593,0.0023238241233840334,0.028947051614522934
coherent86_alpha075,coherent_no_special,128-255,8525,0.000776263599870854,0.003079997376845783,0.09267067164182663
coherent86_alpha075,coherent_no_special,>=256,2048,0.0006239155418391873,0.0025809337086398288,0.045223694294691086
coherent86_alpha075,short_add_special,0-15,172,0.003473749264396457,0.006446438176929325,0.042856790125370026
coherent86_alpha075,short_add_special,16-31,361,0.0020210945894266834,0.005444013654170016,0.04133503511548042
coherent86_alpha075,short_add_special,32-63,476,0.0013250410941741384,0.00411088008993047,0.04864668473601341
coherent86_alpha075,short_add_special,64-127,156,0.001665901637934279,0.0041719924426439235,0.03096991591155529
dense64_u0080,coherent_add_special,128-255,8348,0.004456317733258399,0.02214330804247917,0.6358882784843445
dense64_u0080,coherent_add_special,>=256,2304,0.0013072070200978133,0.005389205702836633,0.10923879593610764
dense64_u0080,coherent_no_special,128-255,8525,0.003345769087104887,0.015581257713537525,0.4217878580093384
dense64_u0080,coherent_no_special,>=256,2048,0.0012964733088264395,0.005810183088008741,0.10370858013629913
dense64_u0080,short_add_special,0-15,172,0.026144813621174587,0.17408195378817312,2.2494843006134033
dense64_u0080,short_add_special,16-31,361,0.01334570993503992,0.041378254815624085,0.37997210025787354
dense64_u0080,short_add_special,32-63,476,0.014011921932490025,0.06490391647022843,0.852754533290863
dense64_u0080,short_add_special,64-127,156,0.011055964320469696,0.0357426535690773,0.33634015917778015
dense65_u0080,coherent_add_special,128-255,8348,0.004527885627511931,0.022616519599335555,0.6526716351509094
dense65_u0080,coherent_add_special,>=256,2304,0.0012898397800469757,0.005281366541066171,0.10254967212677002
dense65_u0080,coherent_no_special,128-255,8525,0.003392331387539721,0.015861691076561643,0.4278836250305176
dense65_u0080,coherent_no_special,>=256,2048,0.001279233465925145,0.005690354918925678,0.09961452335119247
dense65_u0080,short_add_special,0-15,172,0.02631239999742296,0.1754274412094713,2.266151189804077
dense65_u0080,short_add_special,16-31,361,0.013731934893446497,0.04291634848446188,0.39627933502197266
dense65_u0080,short_add_special,32-63,476,0.014531404328753708,0.06876837317891202,0.906892716884613
dense65_u0080,short_add_special,64-127,156,0.011145185762372351,0.03663420750742272,0.34948229789733887
clean_pres64_u0080,coherent_add_special,128-255,8348,0.0025779966025849398,0.012423342385239724,0.37642282247543335
clean_pres64_u0080,coherent_add_special,>=256,2304,0.0009949597313010634,0.004182735359558799,0.10003071278333664
clean_pres64_u0080,coherent_no_special,128-255,8525,0.0019670380920542405,0.008952080086496143,0.18565256893634796
clean_pres64_u0080,coherent_no_special,>=256,2048,0.0009932472961210331,0.004528953548305047,0.08501815795898438
clean_pres64_u0080,short_add_special,0-15,172,0.01810095611821265,0.11850117201802282,1.5310020446777344
clean_pres64_u0080,short_add_special,16-31,361,0.007991351861820399,0.02509556835798789,0.1881420612335205
clean_pres64_u0080,short_add_special,32-63,476,0.007802379045314097,0.03655022728289745,0.5754871964454651
clean_pres64_u0080,short_add_special,64-127,156,0.006271231499097824,0.017226059113097554,0.13529960811138153
clean_pres65_u0080,coherent_add_special,128-255,8348,0.0025190169082870083,0.012123627439371822,0.3853323757648468
clean_pres65_u0080,coherent_add_special,>=256,2304,0.000976290016794565,0.004040676338768764,0.09127490967512131
clean_pres65_u0080,coherent_no_special,128-255,8525,0.001934559938826991,0.008810577486364213,0.18829821050167084
clean_pres65_u0080,coherent_no_special,>=256,2048,0.0009779699733779585,0.004433335137574823,0.08381237089633942
clean_pres65_u0080,short_add_special,0-15,172,0.01789307834014524,0.11777968771057129,1.5209711790084839
clean_pres65_u0080,short_add_special,16-31,361,0.007918929533440193,0.02520493891512763,0.18741260468959808
clean_pres65_u0080,short_add_special,32-63,476,0.007689674573109503,0.036675551661542384,0.5816196203231812
clean_pres65_u0080,short_add_special,64-127,156,0.006009866469803718,0.016273750098556545,0.12740740180015564
