endpoint,form,token_kind,distance_bin,row_length_bin,tokens,kl_mean,kl_sd_pop,kl_max
chck82_slow_scale1p75,short_add_special,content,2-3,16-31,64,1.5207053186139241e-09,2.1450846406813975e-08,3.0287310437415726e-08
chck82_slow_scale1p75,short_add_special,content,2-3,32-63,44,1.504431186950438e-09,1.7171203910021944e-08,3.166496753692627e-08
chck82_slow_scale1p75,short_add_special,content,2-3,64-127,8,3.398653802832996e-09,1.4596124908979559e-08,3.36142420565011e-08
chck82_slow_scale1p75,short_add_special,content,32-63,64-127,28,3.530392518007781e-09,3.220689608998515e-08,1.2968666851520538e-07
chck82_slow_scale1p75,short_add_special,content,4-7,0-15,31,-6.404125803137797e-09,1.7867881122354412e-08,2.2351741790771484e-08
chck82_slow_scale1p75,short_add_special,content,4-7,16-31,128,2.2136983079956707e-09,1.9671998398254588e-08,9.42964106798172e-08
chck82_slow_scale1p75,short_add_special,content,4-7,32-63,88,-2.726868796422043e-09,2.069280480904434e-08,3.236345946788788e-08
chck82_slow_scale1p75,short_add_special,content,4-7,64-127,16,5.7092579275330735e-09,5.4174204043171e-08,1.9208528101444244e-07
chck82_slow_scale1p75,short_add_special,content,8-15,16-31,105,6.550885125361241e-10,2.228127067052681e-08,7.706694304943085e-08
chck82_slow_scale1p75,short_add_special,content,8-15,32-63,176,2.8799776957184e-09,2.8488148467107116e-08,2.3492611944675446e-07
chck82_slow_scale1p75,short_add_special,content,8-15,64-127,32,5.7425636208058295e-09,1.964525048006318e-08,6.705522537231445e-08
chck82_slow_scale1p75,short_add_special,special,0,0-15,38,1.7938726060151566e-09,7.108186779200276e-08,2.712476998567581e-07
chck82_slow_scale1p75,short_add_special,special,0,16-31,32,2.4996394454301907e-08,7.620547378481717e-08,2.568121999502182e-07
chck82_slow_scale1p75,short_add_special,special,0,32-63,22,5.402863611049146e-10,5.642243321722942e-08,1.1175870895385742e-07
chck82_slow_scale1p75,short_add_special,special,0,64-127,4,-1.3512689633898844e-08,3.8601397140234973e-08,2.2351571260514902e-08
coherent86_alpha075,coherent_add_special,content,1,128-255,78,0.002432454863761444,0.004922524360024511,0.02394481934607029
coherent86_alpha075,coherent_add_special,content,1,>=256,18,0.00044132721437980155,0.0012581264331019404,0.005353138782083988
coherent86_alpha075,coherent_add_special,content,16-31,128-255,1248,0.0006466674805520408,0.0027659979227162685,0.05597878247499466
coherent86_alpha075,coherent_add_special,content,16-31,>=256,288,0.0004719464151034833,0.0014418079275254514,0.010901416651904583
coherent86_alpha075,coherent_add_special,content,2-3,128-255,156,0.0006204670166279305,0.002220606849326241,0.01756938546895981
coherent86_alpha075,coherent_add_special,content,2-3,>=256,36,0.00037731926301316006,0.0017971664964216458,0.010955648496747017
coherent86_alpha075,coherent_add_special,content,32-63,128-255,2496,0.0008018886489449689,0.0030518086977329487,0.07684140652418137
coherent86_alpha075,coherent_add_special,content,32-63,>=256,576,0.0006824951944407465,0.002528395752373778,0.026090193539857864
coherent86_alpha075,coherent_add_special,content,4-7,128-255,312,0.0008837462741017641,0.0026361984421786923,0.022994443774223328
coherent86_alpha075,coherent_add_special,content,4-7,>=256,72,0.0008182427436204244,0.0035309483052099228,0.028947051614522934
coherent86_alpha075,coherent_add_special,content,64-127,128-255,3356,0.0007648814790425902,0.0030868643492749244,0.07630888372659683
coherent86_alpha075,coherent_add_special,content,64-127,>=256,1152,0.0005050443651315677,0.0019438629273916081,0.025415629148483276
coherent86_alpha075,coherent_add_special,content,8-15,128-255,624,0.0007839664383511765,0.002742585034615091,0.035444729030132294
coherent86_alpha075,coherent_add_special,content,8-15,>=256,144,0.0007271594020145224,0.0029043605052399726,0.02713344246149063
coherent86_alpha075,coherent_add_special,special,0,128-255,78,0.007542284585771342,0.007421879071750228,0.053673356771469116
coherent86_alpha075,coherent_add_special,special,0,>=256,18,0.007977734390705236,0.005505520550244032,0.023920098319649696
coherent86_alpha075,coherent_no_special,content,none,128-255,8525,0.000776263599870854,0.003079997376845783,0.09267067164182663
coherent86_alpha075,coherent_no_special,content,none,>=256,2048,0.0006239155418391873,0.0025809337086398288,0.045223694294691086
coherent86_alpha075,short_add_special,content,1,0-15,38,0.0020432174924161174,0.003791362107294572,0.0177915059030056
coherent86_alpha075,short_add_special,content,1,16-31,32,0.0018192122934905797,0.005317428939791679,0.025579335168004036
coherent86_alpha075,short_add_special,content,1,32-63,22,0.0012442234463543916,0.003411533202965835,0.014084864407777786
coherent86_alpha075,short_add_special,content,1,64-127,4,0.0068962327004555846,0.008753481383906244,0.021793464198708534
coherent86_alpha075,short_add_special,content,16-31,32-63,124,0.0016141700353730834,0.0047021040264078285,0.027723170816898346
coherent86_alpha075,short_add_special,content,16-31,64-127,64,0.0019449658636636613,0.0050513886209101536,0.03096991591155529
coherent86_alpha075,short_add_special,content,2-3,0-15,65,0.0013713277428009335,0.004301857726265279,0.02669621631503105
coherent86_alpha075,short_add_special,content,2-3,16-31,64,0.0003264476746061007,0.000694639223746222,0.004294004291296005
coherent86_alpha075,short_add_special,content,2-3,32-63,44,0.0009617205859471637,0.002219524482333705,0.010082872584462166
coherent86_alpha075,short_add_special,content,2-3,64-127,8,0.0008890889650956524,0.0009572904180886406,0.0024207427632063627
coherent86_alpha075,short_add_special,content,32-63,64-127,28,0.001323035123899022,0.003828760460147278,0.019896764308214188
coherent86_alpha075,short_add_special,content,4-7,0-15,31,0.0010077952585869489,0.0020370798599874474,0.009200992994010448
coherent86_alpha075,short_add_special,content,4-7,16-31,128,0.0011072910063352204,0.0032524829725671545,0.022623442113399506
coherent86_alpha075,short_add_special,content,4-7,32-63,88,0.0005558445687783701,0.0011131656671649283,0.006770001258701086
