arm,steps,total_words,total_active_tokens,total_u256_recoverable_tokens,total_masked_tokens,loss_first,loss_last,active_tokens_per_word_total,recoverable_tokens_per_word_total,masked_per_active_total,masked_per_word_total,metric,n,sum,mean,sd,min,p05,p25,p50,p75,p95,max,cv,total_nominal_slots,length_counts,pad_slots_total,pad_fraction
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,charged_words,506,20008711.0,39542.907114624504,208.1564697006458,38893.0,39185.25,39417.25,39544.0,39688.0,39874.75,40066.0,0.005264065919515094,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,row256_active_tokens,506,28602220.0,56526.12648221344,509.46435077806194,54871.0,55709.25,56211.0,56531.5,56879.5,57314.75,57910.0,0.009012900449465087,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,u256_recoverable_tokens,506,739434.0,1461.3320158102767,258.1339397913825,768.0,1064.25,1289.25,1452.5,1615.5,1911.75,2361.0,0.17664291002907567,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,u256_recoverable_full_words,506,395714.0,782.0434782608696,121.55885579378327,430.0,590.0,703.0,779.0,858.75,985.75,1188.0,0.15543746501679073,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,u256_recoverable_boundary_tokens,506,20933.0,41.369565217391305,11.738411264751727,14.0,26.0,34.0,40.0,47.0,61.75,105.0,0.28374509625779265,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,masked_tokens,506,4292423.0,8483.049407114624,142.29856274097259,8073.0,8249.25,8387.25,8486.5,8582.0,8717.0,8919.0,0.016774458795634106,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,active_tokens_per_word,506,723.3169940029499,1.4294802253022725,0.009278177507679158,1.4006559031281534,1.413362635882453,1.4234823825394152,1.4294024566877268,1.4361234387639399,1.4440098252580733,1.4554610790565847,0.006490595213177733,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,recoverable_tokens_per_word,506,18.697112153843904,0.03695081453328835,0.006497589835598042,0.01954745603095014,0.02690900686898553,0.03258368420905738,0.0367077831962483,0.04074831801291075,0.04839624463553066,0.05981000633312223,0.175844292410509,,,,
row256_first20M,506,20008711,28602220,739434,4292423,9.837543487548828,3.755582332611084,1.4294883863333325,0.0369556039866836,0.1500730712511127,0.21452771245484029,masked_per_active,506,75.937040573012,0.15007320271346244,0.0021316666502980888,0.143560194752881,0.14650012840554824,0.14868908861479446,0.15013074632019718,0.15162174500272524,0.15343329990175317,0.1564764294110423,0.014204179105633666,,,,
U256_actual_first20M_log,506,20000000,,,4405957,9.826857208144903,3.718591442220565,,,,0.22029785,batch_words,506,20000000.0,39525.691699604744,828.5676911302169,37319.0,38186.25,38928.5,39505.0,40086.0,40908.75,42495.0,0.020962762585594485,,,,
