checkpoint,checkpoint_elapsed_sec,example_id,full_nll,full_nll_delta_chck100_minus_chck82,ig_r16,ig_r16_delta_chck100_minus_chck82,ig_r4,ig_r4_delta_chck100_minus_chck82,ig_r8,ig_r8_delta_chck100_minus_chck82,item_id,local_r16_nll,local_r4_nll,local_r8_nll,log_sample_freq,position,position_frac,row_index,row_words,sample_freq,seq_len,source,target_context_count,target_id,target_token
chck82,3.236175775527954,950100,0.006360999308526516,-2.3335684090852737e-05,4.343751915730536,0.2279982273466885,4.612389572896063,0.28072258876636624,3.7638323390856385,0.4717600052244961,row100:tok108:id38,4.3501129150390625,4.61875057220459,3.770193338394165,2.3978952727983707,108,0.45569620253164556,100,154,10,238,cleanqwen_fineweb_compact_view_reinvest,1,38,B
chck82,3.236175775527954,950100,8.51634693145752,0.19513416290283203,1.329054832458496,-0.15956974029541016,2.1675796508789062,-0.30612850189208984,2.656449317932129,-0.483154296875,row100:tok185:id406,9.845401763916016,10.683926582336426,11.172796249389648,1.6094379124341003,185,0.7805907172995781,100,154,4,238,cleanqwen_fineweb_compact_view_reinvest,0,406,ight
chck82,3.236175775527954,950100,0.007033470086753368,-0.000971491914242506,2.687901851721108,-0.1550789517350495,3.4142068596556783,0.013764794450253248,3.0615233154967427,-0.20862704934552312,row100:tok199:id211,2.6949353218078613,3.4212403297424316,3.068556785583496,2.995732273553991,199,0.8396624472573839,100,154,19,238,cleanqwen_fineweb_compact_view_reinvest,1,211,Ġf
chck82,3.236175775527954,950100,0.022833289578557014,-0.002230195328593254,5.145192680880427,0.3479728978127241,4.428415833041072,0.025380639359354973,5.660739479586482,0.31122305803000927,row100:tok219:id956,5.168025970458984,4.451249122619629,5.683572769165039,1.6094379124341003,219,0.9240506329113924,100,154,4,238,cleanqwen_fineweb_compact_view_reinvest,1,956,Ġmin
chck82,3.236175775527954,950486,0.04221876338124275,-0.020842311903834343,0.24132518097758293,-0.1479604560881853,0.6761322431266308,-0.007450642064213753,2.064639013260603,-0.4517086762934923,row486:tok133:id308,0.2835439443588257,0.7183510065078735,2.1068577766418457,5.147494476813453,133,0.6394230769230769,486,143,171,209,cleanqwen_fineweb_compact_view_reinvest,3,308,ĠThe
chck82,3.236175775527954,950486,0.43143004179000854,0.08483618497848511,-0.17824196815490723,-0.0031903088092803955,0.5904814600944519,-0.06532019376754761,0.0040357112884521484,-0.04353070259094238,row486:tok169:id192,0.2531880736351013,1.0219115018844604,0.4354657530784607,6.716594773520978,169,0.8125,486,143,825,209,cleanqwen_fineweb_compact_view_reinvest,2,192,Ġa
chck82,3.236175775527954,950486,0.015861881896853447,0.0006742049008607864,1.8520934451371431,0.28452698700129986,2.279906379058957,0.10002784244716167,3.228643285110593,0.17848901264369488,row486:tok186:id212,1.8679553270339966,2.2957682609558105,3.2445051670074463,4.465908118654584,186,0.8942307692307693,486,143,86,209,cleanqwen_fineweb_compact_view_reinvest,1,212,ing
chck82,3.236175775527954,950486,0.17524869740009308,0.0026061981916427612,9.679335996508598,-0.026782795786857605,8.680406972765923,0.1578657180070877,9.277652189135551,0.029054835438728333,row486:tok201:id895,9.854584693908691,8.855655670166016,9.452900886535645,2.0794415416798357,201,0.9663461538461539,486,143,7,209,cleanqwen_fineweb_compact_view_reinvest,1,895,ations
chck82,3.236175775527954,950883,0.7732398509979248,-0.15721547603607178,-0.3670163154602051,0.0034349262714385986,-0.45059606432914734,0.13297128677368164,-0.35747408866882324,0.04801267385482788,row883:tok23:id1113,0.4062235355377197,0.32264378666877747,0.41576576232910156,2.5649493574615367,23,0.12105263157894737,883,153,12,191,cleanqwen_fineweb_compact_view_reinvest,0,1113,Ġdoesn
chck82,3.236175775527954,950883,0.03172476217150688,-0.003063816577196121,8.75945870950818,-0.075843196362257,9.845393348485231,-0.11253772303462029,10.562967468053102,-0.09336600825190544,row883:tok50:id2771,8.791183471679688,9.877118110656738,10.59469223022461,1.9459101490553132,50,0.2631578947368421,883,153,6,191,cleanqwen_fineweb_compact_view_reinvest,1,2771,Ġfit
chck82,3.236175775527954,950883,0.05235481262207031,-0.015123125165700912,7.499757766723633,-0.4554269351065159,9.201677322387695,-0.35513806715607643,4.1774139404296875,-0.5465252436697483,row883:tok120:id14102,7.552112579345703,9.254032135009766,4.229768753051758,1.6094379124341003,120,0.631578947368421,883,153,4,191,cleanqwen_fineweb_compact_view_reinvest,3,14102,Ġasthma
chck82,3.236175775527954,950883,0.013110741972923279,-0.00036974530667066574,8.370356932282448,0.3247925816103816,12.775947943329811,0.10603304486721754,9.219906225800514,0.13806315045803785,row883:tok128:id678,8.383467674255371,12.789058685302734,9.233016967773438,1.9459101490553132,128,0.6736842105263158,883,153,6,191,cleanqwen_fineweb_compact_view_reinvest,1,678,Ġfl
chck82,3.236175775527954,950938,0.019463973119854927,0.017008019611239433,8.686708016321063,0.14647750742733479,10.658590836450458,0.22096233256161213,9.289805931970477,0.32405452616512775,row938:tok27:id442,8.706171989440918,10.678054809570312,9.309269905090332,1.9459101490553132,27,0.16666666666666666,938,113,6,163,cleanqwen_fineweb_compact_view_reinvest,1,442,ive
chck82,3.236175775527954,950938,0.02129896730184555,-0.004543755203485489,11.25226441770792,0.07472464814782143,9.315834440290928,0.2278275229036808,10.128378309309483,0.2297024466097355,row938:tok92:id1661,11.273563385009766,9.337133407592773,10.149677276611328,1.9459101490553132,92,0.5679012345679012,938,113,6,163,cleanqwen_fineweb_compact_view_reinvest,1,1661,ring
chck82,3.236175775527954,950938,0.5375417470932007,-0.0537753701210022,-0.08491384983062744,-0.00914674997329712,0.9690834283828735,0.1277051568031311,0.7238585948944092,0.10754603147506714,row938:tok130:id688,0.45262789726257324,1.5066251754760742,1.2614003419876099,3.713572066704308,130,0.8024691358024691,938,113,40,163,cleanqwen_fineweb_compact_view_reinvest,0,688,ĠNo
chck82,3.236175775527954,950938,0.05745474994182587,-0.011878449469804764,-0.020228344947099686,0.010714191943407059,0.45090265572071075,0.017220932990312576,0.3127472847700119,0.06633030250668526,row938:tok148:id276,0.03722640499472618,0.5083574056625366,0.37020203471183777,5.572154032177765,148,0.9135802469135802,938,113,262,163,cleanqwen_fineweb_compact_view_reinvest,1,276,Ġfor
chck82,3.236175775527954,951297,0.026895590126514435,0.0017265472561120987,-0.0058951787650585175,-0.0005019623786211014,0.28518833965063095,-0.09154593385756016,0.14576425403356552,-0.03444826044142246,row1297:tok21:id308,0.021000411361455917,0.3120839297771454,0.17265984416007996,5.147494476813453,21,0.1099476439790576,1297,145,171,192,cleanqwen_fineweb_compact_view_reinvest,1,308,ĠThe
chck82,3.236175775527954,951297,0.1814172863960266,0.011649414896965027,5.085045039653778,-0.29792575538158417,7.446352183818817,1.6935069113969803,5.754143416881561,0.44910116493701935,row1297:tok66:id456,5.266462326049805,7.627769470214844,5.935560703277588,2.5649493574615367,66,0.34554973821989526,1297,145,12,192,cleanqwen_fineweb_compact_view_reinvest,1,456,ally
chck82,3.236175775527954,951297,6.72727108001709,0.43239355087280273,7.480215072631836,-1.1435770988464355,4.46547794342041,-0.6492724418640137,4.295197486877441,-0.5217375755310059,row1297:tok149:id8336,14.207486152648926,11.1927490234375,11.022468566894531,1.0986122886681096,149,0.7801047120418848,1297,145,2,192,cleanqwen_fineweb_compact_view_reinvest,1,8336,Ġmuscles
chck82,3.236175775527954,951297,1.9069873094558716,0.13687026500701904,0.900511622428894,-0.15410053730010986,1.6796444654464722,-0.335959792137146,0.35255587100982666,-0.3735743761062622,row1297:tok174:id327,2.8074989318847656,3.5866317749023438,2.2595431804656982,3.8501476017100584,174,0.9109947643979057,1297,145,46,192,cleanqwen_fineweb_compact_view_reinvest,0,327,ĠP
chck82,3.236175775527954,951312,0.7035763263702393,0.025097370147705078,2.946531057357788,0.5468692779541016,1.7523434162139893,0.23719263076782227,0.8329674005508423,0.4403153657913208,row1312:tok33:id13715,3.6501073837280273,2.4559197425842285,1.5365437269210815,0.6931471805599453,33,0.2185430463576159,1312,117,1,152,cleanqwen_fineweb_compact_view_reinvest,0,13715,ĠStudents
chck82,3.236175775527954,951312,0.2587267756462097,0.02284100651741028,2.9151514172554016,0.4283129870891571,2.730065882205963,0.7117604911327362,3.0325048565864563,0.317989319562912,row1312:tok107:id276,3.1738781929016113,2.988792657852173,3.291231632232666,5.572154032177765,107,0.7086092715231788,1312,117,262,152,cleanqwen_fineweb_compact_view_reinvest,2,276,Ġfor
chck82,3.236175775527954,951312,0.26737067103385925,-0.13592004776000977,-0.07574263215065002,0.05817539989948273,0.21444430947303772,-0.023929178714752197,0.11992889642715454,0.04977208375930786,row1312:tok135:id195,0.19162803888320923,0.481814980506897,0.3872995674610138,7.3658128372094716,135,0.8940397350993378,1312,117,1580,152,cleanqwen_fineweb_compact_view_reinvest,5,195,Ġthe
chck82,3.236175775527954,951312,0.5788950324058533,0.06913602352142334,2.842694342136383,0.39514315128326416,5.500878393650055,0.15098202228546143,3.94508558511734,0.3729745149612427,row1312:tok148:id830,3.4215893745422363,6.079773426055908,4.523980617523193,2.995732273553991,148,0.9801324503311258,1312,117,19,152,cleanqwen_fineweb_compact_view_reinvest,1,830,Ġmany
chck82,3.236175775527954,951808,0.5427156686782837,-0.06272286176681519,1.627773404121399,0.05979412794113159,0.7668720483779907,0.47966593503952026,1.2531416416168213,0.22383207082748413,row1808:tok7:id2282,2.1704890727996826,1.3095877170562744,1.795857310295105,1.791759469228055,7,0.03317535545023697,1808,159,5,212,cleanqwen_fineweb_compact_view_reinvest,0,2282,Ġusing
