checkpoint,checkpoint_elapsed_sec,example_id,full_nll,full_nll_delta_chck100_minus_chck82,ig_r4,ig_r4_delta_chck100_minus_chck82,ig_r8,ig_r8_delta_chck100_minus_chck82,item_id,local_r4_nll,local_r8_nll,log_sample_freq,position,position_frac,row_index,row_words,sample_freq,seq_len,source,target_context_count,target_id,target_token
chck82,1.4374589920043945,950008,0.18129687011241913,0.05849897861480713,1.7379189282655716,0.08727574348449707,2.089941695332527,0.146734356880188,row8:tok122:id469,1.9192157983779907,2.2712385654449463,1.0986122886681096,122,0.7721518987341772,8,117,2,159,cleanqwen_fineweb_compact_view_reinvest,1,469,Ġsee
chck82,1.4374589920043945,950008,0.012795843183994293,0.0022642137482762337,0.5253481492400169,0.3718627570196986,1.0102402791380882,0.07582120876759291,row8:tok139:id901,0.5381439924240112,1.0230361223220825,1.0986122886681096,139,0.879746835443038,8,117,2,159,cleanqwen_fineweb_compact_view_reinvest,1,901,Ġyears
chck82,1.4374589920043945,950012,4.926931381225586,0.17659378051757812,2.5680289268493652,0.13408851623535156,2.5831875801086426,-0.16599273681640625,row12:tok144:id527,7.494960308074951,7.5101189613342285,1.0986122886681096,144,0.7272727272727273,12,143,2,199,cleanqwen_fineweb_compact_view_reinvest,0,527,Ġthen
chck82,1.4374589920043945,950012,0.15713055431842804,-0.07249684631824493,8.299154922366142,-0.44511084258556366,7.043353721499443,-0.6560636013746262,row12:tok184:id341,8.45628547668457,7.200484275817871,1.0986122886681096,184,0.9292929292929293,12,143,2,199,cleanqwen_fineweb_compact_view_reinvest,1,341,ant
chck82,1.4374589920043945,950020,0.6263773441314697,0.15804731845855713,3.59466290473938,0.15661275386810303,1.8614566326141357,-0.00242006778717041,row20:tok103:id1219,4.22104024887085,2.4878339767456055,1.0986122886681096,103,0.64375,20,116,2,161,cleanqwen_fineweb_compact_view_reinvest,1,1219,Ġfew
chck82,1.4374589920043945,950020,0.23334108293056488,-0.05766227841377258,9.087334766983986,-0.2941262423992157,11.17332948744297,-0.007400244474411011,row20:tok117:id1852,9.32067584991455,11.406670570373535,1.0986122886681096,117,0.73125,20,116,2,161,cleanqwen_fineweb_compact_view_reinvest,1,1852,itting
chck82,1.4374589920043945,950036,7.702022075653076,-0.1609196662902832,0.29976701736450195,-0.3340640068054199,-0.5471682548522949,-0.1179342269897461,row36:tok63:id342,8.001789093017578,7.154853820800781,0.6931471805599453,63,0.3620689655172414,36,134,1,175,cleanqwen_fineweb_compact_view_reinvest,0,342,Ġthey
chck82,1.4374589920043945,950036,3.4043803215026855,0.2869129180908203,0.5162076950073242,-0.31891417503356934,0.6833581924438477,-0.37996816635131836,row36:tok73:id527,3.9205880165100098,4.087738513946533,1.0986122886681096,73,0.41954022988505746,36,134,2,175,cleanqwen_fineweb_compact_view_reinvest,0,527,Ġthen
chck100,0.32959890365600586,950008,0.23979584872722626,0.05849897861480713,1.8251946717500687,0.08727574348449707,2.236676052212715,0.146734356880188,row8:tok122:id469,2.064990520477295,2.4764719009399414,1.0986122886681096,122,0.7721518987341772,8,117,2,159,cleanqwen_fineweb_compact_view_reinvest,1,469,Ġsee
chck100,0.32959890365600586,950008,0.015060056932270527,0.0022642137482762337,0.8972109062597156,0.3718627570196986,1.0860614879056811,0.07582120876759291,row8:tok139:id901,0.9122709631919861,1.1011215448379517,1.0986122886681096,139,0.879746835443038,8,117,2,159,cleanqwen_fineweb_compact_view_reinvest,1,901,Ġyears
chck100,0.32959890365600586,950012,5.103525161743164,0.17659378051757812,2.702117443084717,0.13408851623535156,2.4171948432922363,-0.16599273681640625,row12:tok144:id527,7.805642604827881,7.5207200050354,1.0986122886681096,144,0.7272727272727273,12,143,2,199,cleanqwen_fineweb_compact_view_reinvest,0,527,Ġthen
chck100,0.32959890365600586,950012,0.0846337080001831,-0.07249684631824493,7.854044079780579,-0.44511084258556366,6.387290120124817,-0.6560636013746262,row12:tok184:id341,7.938677787780762,6.471923828125,1.0986122886681096,184,0.9292929292929293,12,143,2,199,cleanqwen_fineweb_compact_view_reinvest,1,341,ant
chck100,0.32959890365600586,950020,0.7844246625900269,0.15804731845855713,3.751275658607483,0.15661275386810303,1.8590365648269653,-0.00242006778717041,row20:tok103:id1219,4.53570032119751,2.643461227416992,1.0986122886681096,103,0.64375,20,116,2,161,cleanqwen_fineweb_compact_view_reinvest,1,1219,Ġfew
chck100,0.32959890365600586,950020,0.1756788045167923,-0.05766227841377258,8.79320852458477,-0.2941262423992157,11.16592924296856,-0.007400244474411011,row20:tok117:id1852,8.968887329101562,11.341608047485352,1.0986122886681096,117,0.73125,20,116,2,161,cleanqwen_fineweb_compact_view_reinvest,1,1852,itting
chck100,0.32959890365600586,950036,7.541102409362793,-0.1609196662902832,-0.03429698944091797,-0.3340640068054199,-0.665102481842041,-0.1179342269897461,row36:tok63:id342,7.506805419921875,6.875999927520752,0.6931471805599453,63,0.3620689655172414,36,134,1,175,cleanqwen_fineweb_compact_view_reinvest,0,342,Ġthey
chck100,0.32959890365600586,950036,3.691293239593506,0.2869129180908203,0.19729351997375488,-0.31891417503356934,0.3033900260925293,-0.37996816635131836,row36:tok73:id527,3.8885867595672607,3.994683265686035,1.0986122886681096,73,0.41954022988505746,36,134,2,175,cleanqwen_fineweb_compact_view_reinvest,0,527,Ġthen
