binary_delta,checkpoint,domain,dose_name,family,interaction_delta_view_minus_repeat,margin_delta_view_minus_repeat,numops,repeat_correct,repeat_interaction,repeat_margin,split,uid,view_correct,view_interaction,view_margin,words,source_csv
0.0,chck_80M,,dose1,Entity,,8.241100150626153,4,True,,0.7044233386404812,ambiref,ambiref_4_ops_165,True,,8.945523489266634,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-4.083074823021889,4,False,,-3.48365718126297,ambiref,ambiref_4_ops_207,False,,-7.566732004284859,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
-1.0,chck_80M,,dose1,Entity,,-6.118932196870446,4,True,,0.12347818538546562,ambiref,ambiref_4_ops_239,False,,-5.995454011484981,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,0.8433736637234688,4,True,,6.651857040822506,ambiref,ambiref_4_ops_284,True,,7.495230704545975,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,7.837379705393687,5,False,,-21.088600233430043,ambiref,ambiref_5_ops_43,False,,-13.251220528036356,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-1.8967444263398647,5,False,,-9.838851545006037,ambiref,ambiref_5_ops_69,False,,-11.735595971345901,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,7.823276319541037,5,False,,-29.63167783524841,ambiref,ambiref_5_ops_8,False,,-21.808401515707374,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-3.339961025863886,5,True,,4.059505667537451,ambiref,ambiref_5_ops_97,True,,0.7195446416735649,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
1.0,chck_80M,,dose1,Entity,,4.952921966090798,5,False,,-1.8771870788186789,ambiref,ambiref_5_ops_99,True,,3.0757348872721195,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,-7.591102734673768,0,True,,14.787680753041059,move_contents,move_contents_0_ops_114,True,,7.1965780183672905,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
0.0,chck_80M,,dose1,Entity,,0.6611593769630417,0,True,,2.6020717961946502,move_contents,move_contents_0_ops_236,True,,3.263231173157692,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
-1.0,chck_80M,,dose1,Entity,,-7.20380693837069,0,True,,0.09934905893169343,move_contents,move_contents_0_ops_346,False,,-7.104457879438996,80000000,experiments/archive/frontier_consolidation/data/ewok_entity_margin_pilot80/view_minus_repeat_margin_deltas.csv
