dose_name,checkpoint,group,numops_group,n,margin_delta_mean,margin_delta_median,margin_delta_stdev,frac_margin_positive,binary_delta_mean,frac_binary_positive
dose1,chck_80M,all,all,90,0.867337383302058,0.36170252662850544,5.007295395007036,0.5111111111111111,-0.022222222222222223,0.1111111111111111
dose1,chck_80M,ambiref_nonzero_ops,split:ambiref:nonzero,25,1.262917629913427,0.8433736637234688,4.814248623203342,0.56,0.04,0.16
dose1,chck_80M,ambiref_zero_ops,split:ambiref:zero,5,3.9560595355462285,3.2086001560091972,3.4139222433212133,0.8,0.2,0.2
dose1,chck_80M,move_contents_nonzero_ops,split:move_contents:nonzero,25,2.6222755605122074,2.6680998262017965,6.0597332715440695,0.6,0.08,0.16
dose1,chck_80M,move_contents_zero_ops,split:move_contents:zero,5,-3.8754642313113434,-7.20380693837069,4.583394174059195,0.4,-0.4,0.0
dose1,chck_80M,nonzero_ops,nonzero,75,1.0753829702874647,0.062245676293969154,5.016704387355141,0.5066666666666667,0.0,0.12
dose1,chck_80M,numops_0,0,15,-0.17289055162497485,0.6611593769630417,4.827311829443726,0.5333333333333333,-0.13333333333333333,0.06666666666666667
dose1,chck_80M,numops_1,1,15,1.457987224194221,1.0947266817092896,5.805556240852276,0.5333333333333333,-0.06666666666666667,0.13333333333333333
dose1,chck_80M,numops_2,2,15,2.0645815832229952,2.6680998262017965,3.742479397349633,0.7333333333333333,0.06666666666666667,0.06666666666666667
dose1,chck_80M,numops_3,3,15,1.8744589606765658,-0.3553821612149477,5.65096104198861,0.4666666666666667,-0.06666666666666667,0.13333333333333333
dose1,chck_80M,numops_4,4,15,-1.3016056496339539,-2.4569690749049187,4.7062935828112336,0.3333333333333333,-0.13333333333333333,0.06666666666666667
dose1,chck_80M,numops_5,5,15,1.2814927329774946,-0.9431283250451088,4.0727681957979875,0.4666666666666667,0.2,0.2
dose1,chck_80M,regular_nonzero_ops,split:regular:nonzero,25,-0.6590442795632407,-1.0227165967226028,3.1887815514352136,0.36,-0.12,0.04
dose1,chck_80M,regular_zero_ops,split:regular:zero,5,-0.5992669591098092,-0.7180413134628907,2.511448534432244,0.4,-0.2,0.0
