family,checkpoint,seed,group,contrast,n,delta_mean_margin_full_a_minus_b,delta_mean_effect_no_initial_qbox_a_minus_b,delta_mean_effect_no_last_relevant_update_a_minus_b,delta_mean_effect_no_all_relevant_updates_a_minus_b,mean_effect_no_all_relevant_updates_a,mean_effect_no_all_relevant_updates_b,mean_effect_no_initial_qbox_a,mean_effect_no_initial_qbox_b,mean_effect_no_last_relevant_update_a,mean_effect_no_last_relevant_update_b,mean_margin_full_a,mean_margin_full_b
entity_ablation,chck_80M,43022,ALL,RminusC,1221,-0.22629927141770392,0.07576010045789972,-0.06474442681927689,-1.0651110079358572,-2.457621810160807,-1.3925108022249497,0.3061454675871998,0.23038536712930008,-0.5132153154496503,-0.4484708886303734,0.04931422121926569,0.2756134926369696
entity_ablation,chck_80M,43022,ALL,RminusV,1221,-0.7065450765778304,0.6532244134319063,0.15653613080819018,-1.0540148844305741,-2.457621810160807,-1.4036069257302328,0.3061454675871998,-0.3470789458447065,-0.5132153154496503,-0.6697514462578404,0.04931422121926569,0.755859297797096
entity_ablation,chck_80M,43022,ALL,VminusC,1221,0.48024580516012644,-0.5774643129740066,-0.22128055762746707,-0.011096123505283106,-1.4036069257302328,-1.3925108022249497,-0.3470789458447065,0.23038536712930008,-0.6697514462578404,-0.4484708886303734,0.755859297797096,0.2756134926369696
entity_ablation,chck_80M,43022,ALL,VminusR,1221,0.7065450765778304,-0.6532244134319063,-0.15653613080819018,1.0540148844305741,-1.4036069257302328,-2.457621810160807,-0.3470789458447065,0.3061454675871998,-0.6697514462578404,-0.5132153154496503,0.755859297797096,0.04931422121926569
entity_ablation,chck_80M,43022,ALL,CminusR,1221,0.22629927141770392,-0.07576010045789972,0.06474442681927689,1.0651110079358572,-1.3925108022249497,-2.457621810160807,0.23038536712930008,0.3061454675871998,-0.4484708886303734,-0.5132153154496503,0.2756134926369696,0.04931422121926569
entity_ablation,chck_80M,43022,rel_ge2,RminusC,1205,-0.21781716928256992,0.060031402577874066,-0.06294719911493457,-1.076596655997378,-2.4935211991134807,-1.4169245431161026,0.28258454255234156,0.2225531399744675,-0.5232968588293959,-0.46034965971446135,0.056020357088800286,0.2738375263713702
entity_ablation,chck_80M,43022,rel_ge2,RminusV,1205,-0.6987976759208436,0.6221337000085853,0.15107510738322105,-1.07554961428195,-2.4935211991134807,-1.4179715848315306,0.28258454255234156,-0.3395491574562437,-0.5232968588293959,-0.674371966212617,0.056020357088800286,0.7548180330096439
entity_ablation,chck_80M,43022,rel_ge2,VminusC,1205,0.4809805066382737,-0.5621022974307112,-0.21402230649815562,-0.001047041715428021,-1.4179715848315306,-1.4169245431161026,-0.3395491574562437,0.2225531399744675,-0.674371966212617,-0.46034965971446135,0.7548180330096439,0.2738375263713702
entity_ablation,chck_80M,43022,rel_ge2,VminusR,1205,0.6987976759208436,-0.6221337000085853,-0.15107510738322105,1.07554961428195,-1.4179715848315306,-2.4935211991134807,-0.3395491574562437,0.28258454255234156,-0.674371966212617,-0.5232968588293959,0.7548180330096439,0.056020357088800286
entity_ablation,chck_80M,43022,rel_ge2,CminusR,1205,0.21781716928256992,-0.060031402577874066,0.06294719911493457,1.076596655997378,-1.4169245431161026,-2.4935211991134807,0.2225531399744675,0.28258454255234156,-0.46034965971446135,-0.5232968588293959,0.2738375263713702,0.056020357088800286
