family,arm,checkpoint,seed,role,group,n,mean_gain,mean_a_nll,mean_b_nll,sd_gain,se_gain
rewrite,D_C_43022,chck_100M,43022,C,ALL,5892,3.955312156461455,4.215800321007176,8.17111247746863,4.264441387990871,0.055555975869277685
rewrite,D_C_43022,chck_100M,43022,C,token_nonoverlap,2732,1.2222962530979569,6.993866054545393,8.21616230764335,3.0934573361804203,0.05918392767722706
rewrite,D_C_43022,chck_100M,43022,C,token_overlap,3160,6.318160083040277,1.8140042501127442,8.132164333153021,3.686965736522057,0.0655881770525631
rewrite,D_C_43022,chck_80M,43022,C,ALL,5892,3.905528520838925,4.267868756545244,8.173397277384169,4.224566525412401,0.0550364970673322
rewrite,D_C_43022,chck_80M,43022,C,token_nonoverlap,2732,1.183997265826829,7.019573019757474,8.203570285584304,3.0239883876738487,0.057854849956923846
rewrite,D_C_43022,chck_80M,43022,C,token_overlap,3160,6.25844731472913,1.8888636783503667,8.147310993079497,3.6648278054488803,0.06519436093205458
rewrite,D_C_43022,chck_90M,43022,C,ALL,5892,3.963788901782501,4.229122801367949,8.19291170315045,4.276305056064663,0.05571053249164909
rewrite,D_C_43022,chck_90M,43022,C,token_nonoverlap,2732,1.229433515487855,7.008412266804974,8.23784578229283,3.095768514827294,0.059228145073822756
rewrite,D_C_43022,chck_90M,43022,C,token_overlap,3160,6.327794887654961,1.8262687445407486,8.15406363219571,3.709241068396905,0.06598443742364274
rewrite,D_C_43122,chck_100M,43122,C,ALL,5892,4.010904686625658,4.160872154133521,8.171776840759179,4.2573667955762176,0.055463810014546915
rewrite,D_C_43122,chck_100M,43122,C,token_nonoverlap,2732,1.2723753262336106,6.924546675384828,8.19692200161844,3.1588713966313313,0.060435427407810285
rewrite,D_C_43122,chck_100M,43122,C,token_overlap,3160,6.378519310863339,1.7715181060137206,8.15003741687706,3.61650108757346,0.06433466720152041
rewrite,D_C_43122,chck_80M,43122,C,ALL,5892,4.002887349779761,4.228082947738911,8.230970297518672,4.274299480741338,0.05568440440495984
rewrite,D_C_43122,chck_80M,43122,C,token_nonoverlap,2732,1.2687082055524554,7.0018068075893884,8.270515013141845,3.1863049027167207,0.06096028437645211
rewrite,D_C_43122,chck_80M,43122,C,token_overlap,3160,6.366740964345901,1.8300406739694477,8.196781638315349,3.6381761518387585,0.06472024929103533
rewrite,D_C_43122,chck_90M,43122,C,ALL,5892,4.016334249555214,4.164877094930613,8.181211344485828,4.263678155620679,0.055546032686740236
rewrite,D_C_43122,chck_90M,43122,C,token_nonoverlap,2732,1.2747944441893633,6.93391579764709,8.208710241836453,3.171120012355076,0.06066976753549257
rewrite,D_C_43122,chck_90M,43122,C,token_overlap,3160,6.386551574953792,1.7708854063795334,8.157436981333325,3.6174201378945186,0.06435101637303038
rewrite,D_R_43022,chck_100M,43022,R,ALL,5892,3.5093135998366902,4.331780159058648,7.841093758895338,4.39131045308474,0.057208791344420966
rewrite,D_R_43022,chck_100M,43022,R,token_nonoverlap,2732,0.5576286031002121,7.359401078737242,7.9170296818374535,3.0248080334371217,0.05787053139367978
rewrite,D_R_43022,chck_100M,43022,R,token_overlap,3160,6.0612134134708855,1.714229414577029,7.775442828047915,3.741731560191389,0.06656241733466617
rewrite,D_R_43022,chck_80M,43022,R,ALL,5892,3.3272875501812216,4.531962859344744,7.859250409525965,4.495401510117316,0.058564861161441925
rewrite,D_R_43022,chck_80M,43022,R,token_nonoverlap,2732,0.26147842659045006,7.658370611415685,7.919849038006135,3.01874230776409,0.05775448212241817
rewrite,D_R_43022,chck_80M,43022,R,token_overlap,3160,5.977854172222357,1.829005271161892,7.8068594433842495,3.8275288021283695,0.06808868177456642
rewrite,D_R_43022,chck_90M,43022,R,ALL,5892,3.5113583502711245,4.32428891610606,7.835647266377184,4.388593006775064,0.0571733891972531
rewrite,D_R_43022,chck_90M,43022,R,token_nonoverlap,2732,0.5614942960174534,7.348074374212863,7.909568670230317,3.035960373384622,0.058083897607968574
rewrite,D_R_43022,chck_90M,43022,R,token_overlap,3160,6.061683855404362,1.7100541466289116,7.771738002033273,3.730275482849384,0.06635862286443492
rewrite,D_R_43122,chck_100M,43122,R,ALL,5892,3.3708424513520048,4.471686536037605,7.842528987389609,4.575952331762085,0.059614255231237236
