arm,checkpoint,seed,role,probe_family,probe_id,span_len,gain,companion_words,repeated_nll,source_domain,source_example_id,source_words,unrepeated_nll
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:132:8436,1,1.1940043810755014,8,0.016352450475096703,childes,8436,11,1.2103568315505981
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:133:59742,1,0.0006149020045995712,16,0.009306501597166061,simple_wiki,59742,25,0.009921403601765633
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:134:55526,1,0.23646489903330803,9,0.01458718255162239,simple_wiki,55526,14,0.2510520815849304
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:135:29340,1,15.035823822021484,8,0.785822868347168,gutenberg,29340,10,15.821646690368652
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:136:33364,1,5.602981339674443,27,0.0034191501326858997,gutenberg,33364,44,5.606400489807129
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:137:55845,1,0.7615481903776526,18,0.015033752657473087,simple_wiki,55845,29,0.7765819430351257
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:138:49750,1,2.8431945517659187,8,0.06574004143476486,open_subtitles,49750,12,2.9089345932006836
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:139:46059,1,6.268303774297237,8,0.03125820308923721,open_subtitles,46059,10,6.299561977386475
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:13:41264,1,14.527618795633316,8,0.1391216218471527,open_subtitles,41264,10,14.666740417480469
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:140:10122,1,-0.10976877063512802,19,0.2286728024482727,childes,10122,30,0.11890403181314468
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:141:2911,1,1.011213555932045,17,0.027003392577171326,bnc_spoken,2911,27,1.0382169485092163
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:142:29628,1,0.0009159110486507416,15,0.03731874004006386,gutenberg,29628,24,0.0382346510887146
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:143:3336,1,0.6525978334248066,28,0.02613462135195732,bnc_spoken,3336,47,0.6787324547767639
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:144:39750,1,1.5784082673490047,8,0.02449950948357582,open_subtitles,39750,10,1.6029077768325806
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:145:11887,1,0.04671542765572667,8,0.004647999536246061,childes,11887,11,0.05136342719197273
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:146:37409,1,7.7480283520999365,14,0.0007900454220362008,gutenberg,37409,23,7.748818397521973
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:147:16087,1,0.0607523238286376,8,0.005238615907728672,childes,16087,13,0.06599093973636627
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:148:55281,1,7.293427228927612,8,0.42172694206237793,simple_wiki,55281,11,7.71515417098999
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:149:19070,1,0.8114510998129845,12,0.07629428058862686,childes,19070,19,0.8877453804016113
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:14:16052,1,0.06308391224592924,8,0.005689379759132862,childes,16052,11,0.0687732920050621
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:150:50032,1,-0.6147689819335938,8,3.4376895427703857,open_subtitles,50032,12,2.822920560836792
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:151:57454,1,8.344173192977905,9,0.9608252048492432,simple_wiki,57454,15,9.304998397827148
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:152:34510,1,13.289760697633028,18,0.0185479037463665,gutenberg,34510,29,13.308308601379395
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:153:12407,1,5.224472999572754,8,0.25807857513427734,childes,12407,10,5.482551574707031
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:154:38516,1,6.675646483898163,8,0.9764845967292786,open_subtitles,38516,11,7.652131080627441
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:155:5433,1,4.675403222441673,8,0.036622896790504456,childes,5433,11,4.712026119232178
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:156:10152,1,3.31146375881508,8,0.0030625606887042522,childes,10152,13,3.314526319503784
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:157:2397,1,4.753927707672119,8,2.4678430557250977,bnc_spoken,2397,10,7.221770763397217
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:158:39156,1,8.858488860772923,8,0.002908882452175021,open_subtitles,39156,13,8.861397743225098
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:159:55308,1,-0.700291633605957,9,8.795645713806152,simple_wiki,55308,14,8.095354080200195
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:15:24796,1,7.983853198587894,10,0.09902014583349228,gutenberg,24796,16,8.082873344421387
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:160:5825,1,0.10267343115992844,8,0.001649330137297511,childes,5825,10,0.10432276129722595
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:161:35857,1,3.5628899335861206,8,0.9289542436599731,gutenberg,35857,11,4.491844177246094
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:162:57669,1,0.01664887962397188,8,0.001277345814742148,simple_wiki,57669,13,0.017926225438714027
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:163:20822,1,8.880471250449773e-05,9,2.5510462364763953e-05,childes,20822,15,0.00011431517486926168
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:164:57321,1,-4.7682806325610727e-07,21,2.038458114839159e-05,simple_wiki,57321,34,1.9907753085135482e-05
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:165:12881,1,0.21484446106478572,11,0.004929531831294298,childes,12881,17,0.21977399289608002
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:166:29039,1,1.829466700553894,8,1.5651551485061646,gutenberg,29039,13,3.3946218490600586
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:167:7182,1,-5.8113597333431244e-05,8,0.011267837136983871,childes,7182,11,0.01120972353965044
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:168:21853,1,2.1618111561983824,16,0.028425412252545357,childes,21853,25,2.1902365684509277
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:169:37536,1,5.262404404580593,26,0.06914714723825455,gutenberg,37536,42,5.331551551818848
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:16:3202,1,6.924086291342974,28,0.033136170357465744,bnc_spoken,3202,55,6.9572224617004395
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:170:3724,1,4.598531540483236,16,0.06238478794693947,bnc_spoken,3724,26,4.660916328430176
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:171:43719,1,3.3853605464100838,9,0.12280147522687912,open_subtitles,43719,14,3.508162021636963
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:172:29677,1,0.10917114227777347,8,0.00039891392225399613,gutenberg,29677,10,0.10957005620002747
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:173:9435,1,0.06823723739944398,20,0.0018982740584760904,childes,9435,33,0.07013551145792007
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:174:12464,1,1.9803927596658468,8,0.025952273979783058,childes,12464,12,2.00634503364563
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:175:43943,1,3.5493581146001816,8,0.05158354341983795,open_subtitles,43943,10,3.6009416580200195
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:176:21153,1,0.32403191179037094,8,0.02089429646730423,childes,21153,10,0.34492620825767517
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:177:24419,1,0.7479721754789352,17,0.11862297356128693,gutenberg,24419,27,0.8665951490402222
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:178:22193,1,3.803930466994643,10,0.030549341812729836,childes,22193,16,3.834479808807373
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:179:62109,1,0.006822061928687617,8,0.0003960540343541652,simple_wiki,62109,11,0.007218115963041782
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:17:43196,1,11.088528202846646,8,0.01742119900882244,open_subtitles,43196,10,11.105949401855469
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:180:3392,1,1.0655798465013504,12,0.044670626521110535,bnc_spoken,3392,20,1.110250473022461
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:181:55682,1,9.826186127960682,9,0.08232312649488449,simple_wiki,55682,15,9.908509254455566
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:182:57347,1,5.907016520388424,12,0.013298268429934978,simple_wiki,57347,20,5.920314788818359
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:183:8554,1,6.814411886036396,8,0.10362409800291061,childes,8554,11,6.918035984039307
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:184:57210,1,1.2946855849586427,8,0.0045209103263914585,simple_wiki,57210,11,1.2992064952850342
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:185:36351,1,9.61262309551239,19,0.3936063051223755,gutenberg,36351,30,10.006229400634766
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:186:46272,1,8.56812847405672,8,0.10750114172697067,open_subtitles,46272,11,8.675629615783691
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:187:4481,1,3.6917887926101685,8,0.3393200635910034,bnc_spoken,4481,10,4.031108856201172
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:188:61346,1,-1.5497062122449279e-06,13,1.0132738680113107e-05,simple_wiki,61346,21,8.583032467868179e-06
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:189:36298,1,1.6320104598999023,19,1.5015873908996582,gutenberg,36298,30,3.1335978507995605
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:18:12105,1,0.0963599355891347,9,0.003279666416347027,childes,12105,15,0.09963960200548172
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:190:23133,1,6.1890464425086975,9,0.7468060851097107,gutenberg,23133,14,6.935852527618408
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:191:59486,1,5.8521432830020785,12,0.009965901263058186,simple_wiki,59486,20,5.862109184265137
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:192:38482,1,1.5810787379741669,8,0.33660879731178284,gutenberg,38482,11,1.9176875352859497
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:193:45843,1,3.598564624786377,8,0.11595869064331055,open_subtitles,45843,11,3.7145233154296875
D_C_43022,chck_90M,43022,C,heldout_natural_source_repeat,heldoutcopy:1:194:61912,1,0.5449222717434168,8,0.0067727770656347275,simple_wiki,61912,10,0.5516950488090515
