family,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
copy,chck_80M,43022,ALL,RminusC,2000,0.5390612322649457,4.193962873260293,3.6549016409953476
copy,chck_80M,43022,ALL,RminusV,2000,0.17574118947570394,4.193962873260293,4.018221683784589
copy,chck_80M,43022,ALL,VminusC,2000,0.3633200427892418,4.018221683784589,3.6549016409953476
copy,chck_80M,43022,ALL,VminusR,2000,-0.17574118947570394,4.018221683784589,4.193962873260293
copy,chck_80M,43022,ALL,CminusR,2000,-0.5390612322649457,3.6549016409953476,4.193962873260293
copy,chck_80M,43022,domain_bnc_spoken,RminusC,180,0.6054655205110775,4.707255535203633,4.101790014692556
copy,chck_80M,43022,domain_bnc_spoken,RminusV,180,0.2861764121259007,4.707255535203633,4.421079123077733
copy,chck_80M,43022,domain_bnc_spoken,VminusC,180,0.31928910838517677,4.421079123077733,4.101790014692556
copy,chck_80M,43022,domain_bnc_spoken,VminusR,180,-0.2861764121259007,4.421079123077733,4.707255535203633
copy,chck_80M,43022,domain_bnc_spoken,CminusR,180,-0.6054655205110775,4.101790014692556,4.707255535203633
copy,chck_80M,43022,domain_childes,RminusC,642,0.3562825222851034,2.8419725551797868,2.4856900328946834
copy,chck_80M,43022,domain_childes,RminusV,642,0.07023078913075675,2.8419725551797868,2.77174176604903
copy,chck_80M,43022,domain_childes,VminusC,642,0.2860517331543466,2.77174176604903,2.4856900328946834
copy,chck_80M,43022,domain_childes,VminusR,642,-0.07023078913075675,2.77174176604903,2.8419725551797868
copy,chck_80M,43022,domain_childes,CminusR,642,-0.3562825222851034,2.4856900328946834,2.8419725551797868
copy,chck_80M,43022,domain_gutenberg,RminusC,468,0.7884949233657137,5.048787358937937,4.260292435572223
copy,chck_80M,43022,domain_gutenberg,RminusV,468,0.2983476350675236,5.048787358937937,4.7504397238704135
copy,chck_80M,43022,domain_gutenberg,VminusC,468,0.4901472882981901,4.7504397238704135,4.260292435572223
copy,chck_80M,43022,domain_gutenberg,VminusR,468,-0.2983476350675236,4.7504397238704135,5.048787358937937
copy,chck_80M,43022,domain_gutenberg,CminusR,468,-0.7884949233657137,4.260292435572223,5.048787358937937
copy,chck_80M,43022,domain_open_subtitles,RminusC,434,0.4544300380136441,4.9114620968764875,4.457032058862843
copy,chck_80M,43022,domain_open_subtitles,RminusV,434,0.2720439701401549,4.9114620968764875,4.639418126736333
copy,chck_80M,43022,domain_open_subtitles,VminusC,434,0.1823860678734892,4.639418126736333,4.457032058862843
copy,chck_80M,43022,domain_open_subtitles,VminusR,434,-0.2720439701401549,4.639418126736333,4.9114620968764875
copy,chck_80M,43022,domain_open_subtitles,CminusR,434,-0.4544300380136441,4.457032058862843,4.9114620968764875
copy,chck_80M,43022,domain_simple_wiki,RminusC,272,0.6364157700491768,4.463154845146417,3.8267390750972403
copy,chck_80M,43022,domain_simple_wiki,RminusV,272,-0.010609755417795519,4.463154845146417,4.473764600564213
copy,chck_80M,43022,domain_simple_wiki,VminusC,272,0.6470255254669723,4.473764600564213,3.8267390750972403
copy,chck_80M,43022,domain_simple_wiki,VminusR,272,0.010609755417795519,4.473764600564213,4.463154845146417
copy,chck_80M,43022,domain_simple_wiki,CminusR,272,-0.6364157700491768,3.8267390750972403,4.463154845146417
copy,chck_80M,43022,domain_switchboard,RminusC,4,0.26548536110203713,1.92205446283333,1.656569101731293
copy,chck_80M,43022,domain_switchboard,RminusV,4,0.01863384200260043,1.92205446283333,1.9034206208307296
copy,chck_80M,43022,domain_switchboard,VminusC,4,0.2468515190994367,1.9034206208307296,1.656569101731293
copy,chck_80M,43022,domain_switchboard,VminusR,4,-0.01863384200260043,1.9034206208307296,1.92205446283333
copy,chck_80M,43022,domain_switchboard,CminusR,4,-0.26548536110203713,1.656569101731293,1.92205446283333
copy,chck_80M,43022,span_1,RminusC,1000,0.5510817093315508,4.287001513353938,3.7359198040223873
copy,chck_80M,43022,span_1,RminusV,1000,0.08806535624365619,4.287001513353938,4.198936157110282
copy,chck_80M,43022,span_1,VminusC,1000,0.46301635308789457,4.198936157110282,3.7359198040223873
copy,chck_80M,43022,span_1,VminusR,1000,-0.08806535624365619,4.198936157110282,4.287001513353938
