arm,checkpoint,seed,role,probe_family,probe_id,token_class,gain,pair_id,rewrite_token_len,rewrite_words,source_token_len,source_words,true_source_nll,unrelated_source_nll
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1615:0:compact:frontier_consolidation_fwcompact_expansion_061022,overlap,15.531304806470871,compact:frontier_consolidation_fwcompact_expansion_061022,11,6,16,11,0.11652806401252747,15.647832870483398
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1615:5:compact:frontier_consolidation_fwcompact_expansion_061022,nonoverlap,1.2426948547363281,compact:frontier_consolidation_fwcompact_expansion_061022,11,6,16,11,5.665210723876953,6.907905578613281
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1615:7:compact:frontier_consolidation_fwcompact_expansion_061022,nonoverlap,-1.10164213180542,compact:frontier_consolidation_fwcompact_expansion_061022,11,6,16,11,4.670387268066406,3.5687451362609863
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1615:9:compact:frontier_consolidation_fwcompact_expansion_061022,overlap,8.314851999282837,compact:frontier_consolidation_fwcompact_expansion_061022,11,6,16,11,0.5086753368377686,8.823527336120605
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1616:0:compact:frontier_consolidation_fwcompact_expansion_061024,overlap,9.834438728168607,compact:frontier_consolidation_fwcompact_expansion_061024,14,7,22,15,0.019164634868502617,9.85360336303711
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1616:12:compact:frontier_consolidation_fwcompact_expansion_061024,overlap,5.958261592313647,compact:frontier_consolidation_fwcompact_expansion_061024,14,7,22,15,0.016353504732251167,5.974615097045898
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1616:4:compact:frontier_consolidation_fwcompact_expansion_061024,nonoverlap,-5.090361595153809,compact:frontier_consolidation_fwcompact_expansion_061024,14,7,22,15,9.621716499328613,4.531354904174805
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1616:9:compact:frontier_consolidation_fwcompact_expansion_061024,nonoverlap,-3.1269712448120117,compact:frontier_consolidation_fwcompact_expansion_061024,14,7,22,15,10.12828254699707,7.001311302185059
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1617:0:compact:frontier_consolidation_fwcompact_expansion_061047,overlap,9.55243088118732,compact:frontier_consolidation_fwcompact_expansion_061047,19,7,25,14,0.008102642372250557,9.56053352355957
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1617:14:compact:frontier_consolidation_fwcompact_expansion_061047,nonoverlap,-2.270946502685547,compact:frontier_consolidation_fwcompact_expansion_061047,19,7,25,14,11.599035263061523,9.328088760375977
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1617:17:compact:frontier_consolidation_fwcompact_expansion_061047,overlap,7.571080207824707,compact:frontier_consolidation_fwcompact_expansion_061047,19,7,25,14,1.524123191833496,9.095203399658203
D_R_43022,chck_100M,43022,R,heldout_rewrite_content_conditioning,rewritecond:1617:2:compact:frontier_consolidation_fwcompact_expansion_061047,nonoverlap,0.9808101654052734,compact:frontier_consolidation_fwcompact_expansion_061047,19,7,25,14,8.226856231689453,9.207666397094727
