arm,checkpoint,copy_pairs,elapsed_sec,entity_items,rewrite_pairs,scored_records
D_V_43022,chck_80M,2000,15.85,1221,5892,25552
D_V_43022,chck_90M,2000,14.69,1221,5892,25552
D_V_43022,chck_100M,2000,13.63,1221,5892,25552
D_C_43022,chck_80M,2000,13.4,1221,5892,25552
D_C_43022,chck_90M,2000,13.4,1221,5892,25552
D_C_43022,chck_100M,2000,13.42,1221,5892,25552
D_R_43022,chck_80M,2000,13.46,1221,5892,25552
D_R_43022,chck_90M,2000,13.48,1221,5892,25552
D_R_43022,chck_100M,2000,13.45,1221,5892,25552
D_V_43122,chck_80M,2000,13.71,1221,5892,25552
D_V_43122,chck_90M,2000,14.14,1221,5892,25552
D_V_43122,chck_100M,2000,17.22,1221,5892,25552
D_C_43122,chck_80M,2000,17.19,1221,5892,25552
D_C_43122,chck_90M,2000,17.11,1221,5892,25552
D_C_43122,chck_100M,2000,17.19,1221,5892,25552
D_R_43122,chck_80M,2000,16.61,1221,5892,25552
D_R_43122,chck_90M,2000,13.59,1221,5892,25552
D_R_43122,chck_100M,2000,13.57,1221,5892,25552
