family,checkpoint,seed,group,contrast,n,delta_mean_gain_a_minus_b,mean_gain_a,mean_gain_b
rewrite,chck_80M,43022,ALL,RminusC,5892,-0.5782409706577036,3.3272875501812216,3.905528520838925
rewrite,chck_80M,43022,ALL,RminusV,5892,-1.1807760764041424,3.3272875501812216,4.508063626585364
rewrite,chck_80M,43022,ALL,VminusC,5892,0.6025351057464388,4.508063626585364,3.905528520838925
rewrite,chck_80M,43022,ALL,VminusR,5892,1.1807760764041424,4.508063626585364,3.3272875501812216
rewrite,chck_80M,43022,ALL,CminusR,5892,0.5782409706577036,3.905528520838925,3.3272875501812216
rewrite,chck_80M,43022,token_nonoverlap,RminusC,2732,-0.9225188392363789,0.26147842659045006,1.183997265826829
rewrite,chck_80M,43022,token_nonoverlap,RminusV,2732,-1.5481520072058643,0.26147842659045006,1.8096304337963145
rewrite,chck_80M,43022,token_nonoverlap,VminusC,2732,0.6256331679694855,1.8096304337963145,1.183997265826829
rewrite,chck_80M,43022,token_nonoverlap,VminusR,2732,1.5481520072058643,1.8096304337963145,0.26147842659045006
rewrite,chck_80M,43022,token_nonoverlap,CminusR,2732,0.9225188392363789,1.183997265826829,0.26147842659045006
rewrite,chck_80M,43022,token_overlap,RminusC,3160,-0.28059314250677314,5.977854172222357,6.25844731472913
rewrite,chck_80M,43022,token_overlap,RminusV,3160,-0.8631586577489836,5.977854172222357,6.841012829971341
rewrite,chck_80M,43022,token_overlap,VminusC,3160,0.5825655152422105,6.841012829971341,6.25844731472913
rewrite,chck_80M,43022,token_overlap,VminusR,3160,0.8631586577489836,6.841012829971341,5.977854172222357
rewrite,chck_80M,43022,token_overlap,CminusR,3160,0.28059314250677314,6.25844731472913,5.977854172222357
rewrite,chck_90M,43022,ALL,RminusC,5892,-0.4524305515113767,3.5113583502711245,3.963788901782501
rewrite,chck_90M,43022,ALL,RminusV,5892,-1.0633365359032236,3.5113583502711245,4.574694886174348
rewrite,chck_90M,43022,ALL,VminusC,5892,0.610905984391847,4.574694886174348,3.963788901782501
rewrite,chck_90M,43022,ALL,VminusR,5892,1.0633365359032236,4.574694886174348,3.5113583502711245
rewrite,chck_90M,43022,ALL,CminusR,5892,0.4524305515113767,3.963788901782501,3.5113583502711245
rewrite,chck_90M,43022,token_nonoverlap,RminusC,2732,-0.6679392194704017,0.5614942960174534,1.229433515487855
rewrite,chck_90M,43022,token_nonoverlap,RminusV,2732,-1.3793770749778806,0.5614942960174534,1.940871370995334
rewrite,chck_90M,43022,token_nonoverlap,VminusC,2732,0.711437855507479,1.940871370995334,1.229433515487855
rewrite,chck_90M,43022,token_nonoverlap,VminusR,2732,1.3793770749778806,1.940871370995334,0.5614942960174534
rewrite,chck_90M,43022,token_nonoverlap,CminusR,2732,0.6679392194704017,1.229433515487855,0.5614942960174534
rewrite,chck_90M,43022,token_overlap,RminusC,3160,-0.26611103225059907,6.061683855404362,6.327794887654961
rewrite,chck_90M,43022,token_overlap,RminusV,3160,-0.7901014875639945,6.061683855404362,6.851785342968356
rewrite,chck_90M,43022,token_overlap,VminusC,3160,0.5239904553133954,6.851785342968356,6.327794887654961
rewrite,chck_90M,43022,token_overlap,VminusR,3160,0.7901014875639945,6.851785342968356,6.061683855404362
rewrite,chck_90M,43022,token_overlap,CminusR,3160,0.26611103225059907,6.327794887654961,6.061683855404362
rewrite,chck_100M,43022,ALL,RminusC,5892,-0.44599855662476484,3.5093135998366902,3.955312156461455
rewrite,chck_100M,43022,ALL,RminusV,5892,-1.0705019884025333,3.5093135998366902,4.5798155882392235
rewrite,chck_100M,43022,ALL,VminusC,5892,0.6245034317777685,4.5798155882392235,3.955312156461455
rewrite,chck_100M,43022,ALL,VminusR,5892,1.0705019884025333,4.5798155882392235,3.5093135998366902
rewrite,chck_100M,43022,ALL,CminusR,5892,0.44599855662476484,3.955312156461455,3.5093135998366902
rewrite,chck_100M,43022,token_nonoverlap,RminusC,2732,-0.6646676499977447,0.5576286031002121,1.2222962530979569
rewrite,chck_100M,43022,token_nonoverlap,RminusV,2732,-1.3786637051171442,0.5576286031002121,1.9362923082173564
rewrite,chck_100M,43022,token_nonoverlap,VminusC,2732,0.7139960551193996,1.9362923082173564,1.2222962530979569
rewrite,chck_100M,43022,token_nonoverlap,VminusR,2732,1.3786637051171442,1.9362923082173564,0.5576286031002121
rewrite,chck_100M,43022,token_nonoverlap,CminusR,2732,0.6646676499977447,1.2222962530979569,0.5576286031002121
rewrite,chck_100M,43022,token_overlap,RminusC,3160,-0.25694666956939116,6.0612134134708855,6.318160083040277
rewrite,chck_100M,43022,token_overlap,RminusV,3160,-0.8040786307872443,6.0612134134708855,6.86529204425813
rewrite,chck_100M,43022,token_overlap,VminusC,3160,0.5471319612178531,6.86529204425813,6.318160083040277
rewrite,chck_100M,43022,token_overlap,VminusR,3160,0.8040786307872443,6.86529204425813,6.0612134134708855
rewrite,chck_100M,43022,token_overlap,CminusR,3160,0.25694666956939116,6.318160083040277,6.0612134134708855
rewrite,chck_80M,43122,ALL,RminusC,5892,-0.6108963982608655,3.3919909515188955,4.002887349779761
rewrite,chck_80M,43122,ALL,RminusV,5892,-1.3575082306668476,3.3919909515188955,4.749499182185743
rewrite,chck_80M,43122,ALL,VminusC,5892,0.7466118324059821,4.749499182185743,4.002887349779761
rewrite,chck_80M,43122,ALL,VminusR,5892,1.3575082306668476,4.749499182185743,3.3919909515188955
rewrite,chck_80M,43122,ALL,CminusR,5892,0.6108963982608655,4.002887349779761,3.3919909515188955
rewrite,chck_80M,43122,token_nonoverlap,RminusC,2732,-0.984811342349801,0.2838968632026544,1.2687082055524554
rewrite,chck_80M,43122,token_nonoverlap,RminusV,2732,-1.852807758990464,0.2838968632026544,2.1367046221931183
rewrite,chck_80M,43122,token_nonoverlap,VminusC,2732,0.8679964166406628,2.1367046221931183,1.2687082055524554
rewrite,chck_80M,43122,token_nonoverlap,VminusR,2732,1.852807758990464,2.1367046221931183,0.2838968632026544
rewrite,chck_80M,43122,token_nonoverlap,CminusR,2732,0.984811342349801,1.2687082055524554,0.2838968632026544
rewrite,chck_80M,43122,token_overlap,RminusC,3160,-0.2876256301434701,6.079115334202431,6.366740964345901
rewrite,chck_80M,43122,token_overlap,RminusV,3160,-0.9292935751668097,6.079115334202431,7.0084089093692405
rewrite,chck_80M,43122,token_overlap,VminusC,3160,0.6416679450233396,7.0084089093692405,6.366740964345901
rewrite,chck_80M,43122,token_overlap,VminusR,3160,0.9292935751668097,7.0084089093692405,6.079115334202431
rewrite,chck_80M,43122,token_overlap,CminusR,3160,0.2876256301434701,6.366740964345901,6.079115334202431
rewrite,chck_90M,43122,ALL,RminusC,5892,-0.6562218585147264,3.360112391040488,4.016334249555214
rewrite,chck_90M,43122,ALL,RminusV,5892,-1.4352922390420542,3.360112391040488,4.795404630082542
rewrite,chck_90M,43122,ALL,VminusC,5892,0.7790703805273278,4.795404630082542,4.016334249555214
rewrite,chck_90M,43122,ALL,VminusR,5892,1.4352922390420542,4.795404630082542,3.360112391040488
rewrite,chck_90M,43122,ALL,CminusR,5892,0.6562218585147264,4.016334249555214,3.360112391040488
rewrite,chck_90M,43122,token_nonoverlap,RminusC,2732,-1.071483146910771,0.20331129727859218,1.2747944441893633
rewrite,chck_90M,43122,token_nonoverlap,RminusV,2732,-1.973014906240698,0.20331129727859218,2.1763262035192903
rewrite,chck_90M,43122,token_nonoverlap,VminusC,2732,0.901531759329927,2.1763262035192903,1.2747944441893633
rewrite,chck_90M,43122,token_nonoverlap,VminusR,2732,1.973014906240698,2.1763262035192903,0.20331129727859218
rewrite,chck_90M,43122,token_nonoverlap,CminusR,2732,1.071483146910771,1.2747944441893633,0.20331129727859218
rewrite,chck_90M,43122,token_overlap,RminusC,3160,-0.29720482057232367,6.089346754381468,6.386551574953792
rewrite,chck_90M,43122,token_overlap,RminusV,3160,-0.9704003634766449,6.089346754381468,7.059747117858113
