family,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_margin_full_a_minus_b,late_mean_delta_mean_effect_no_initial_qbox_a_minus_b,late_mean_delta_mean_effect_no_last_relevant_update_a_minus_b,late_mean_delta_mean_effect_no_all_relevant_updates_a_minus_b
entity_ablation,43022,ALL,CminusR,1221,3,0.30175186206624544,-0.03146393233139822,0.0019206813753460301,0.7838123023130891
entity_ablation,43022,ALL,RminusC,1221,3,-0.30175186206624544,0.03146393233139822,-0.0019206813753460301,-0.7838123023130891
entity_ablation,43022,ALL,RminusV,1221,3,-0.8242767140078082,0.6213454026815314,0.27193382324804966,-0.9315480196042789
entity_ablation,43022,ALL,VminusC,1221,3,0.5225248519415628,-0.5898814703501332,-0.27385450462339567,0.1477357172911898
entity_ablation,43022,ALL,VminusR,1221,3,0.8242767140078082,-0.6213454026815314,-0.27193382324804966,0.9315480196042789
entity_ablation,43022,rel_ge2,CminusR,1205,3,0.2853572089549664,-0.009246728200346924,0.0015360842218022734,0.7938096685910837
entity_ablation,43022,rel_ge2,RminusC,1205,3,-0.2853572089549664,0.009246728200346924,-0.0015360842218022734,-0.7938096685910837
entity_ablation,43022,rel_ge2,RminusV,1205,3,-0.8099324634914411,0.5856991744140372,0.26276351248672847,-0.9566981722623945
entity_ablation,43022,rel_ge2,VminusC,1205,3,0.5245752545364748,-0.5764524462136902,-0.26429959670853076,0.1628885036713108
entity_ablation,43022,rel_ge2,VminusR,1205,3,0.8099324634914411,-0.5856991744140372,-0.26276351248672847,0.9566981722623945
entity_ablation,43022,rel_ge3,CminusR,716,3,0.32429656473784474,0.050770447813182566,-0.14227096339881948,0.6031821356014063
entity_ablation,43022,rel_ge3,RminusC,716,3,-0.32429656473784474,-0.050770447813182566,0.14227096339881948,-0.6031821356014063
entity_ablation,43022,rel_ge3,RminusV,716,3,-1.0047617343651543,0.4324588753244869,0.4279685764013334,-0.8655615810630495
entity_ablation,43022,rel_ge3,VminusC,716,3,0.6804651696273096,-0.4832293231376695,-0.2856976130025139,0.2623794454616431
entity_ablation,43022,rel_ge3,VminusR,716,3,1.0047617343651543,-0.4324588753244869,-0.4279685764013334,0.8655615810630495
entity_ablation,43022,rel_updates_1,CminusR,16,3,1.536474174509446,-1.7046971184511979,0.030885654501616955,0.030885654501616955
entity_ablation,43022,rel_updates_1,RminusC,16,3,-1.536474174509446,1.7046971184511979,-0.030885654501616955,-0.030885654501616955
entity_ablation,43022,rel_updates_1,RminusV,16,3,-1.9045780810217063,3.30595196907719,0.9625728524600466,0.9625728524600466
entity_ablation,43022,rel_updates_1,VminusC,16,3,0.36810390651226044,-1.6012548506259918,-0.9934585069616636,-0.9934585069616636
entity_ablation,43022,rel_updates_1,VminusR,16,3,1.9045780810217063,-3.30595196907719,-0.9625728524600466,-0.9625728524600466
entity_ablation,43022,rel_updates_2,CminusR,489,3,0.22834171050805255,-0.09712463827332674,0.2121001866683567,1.072928919348975
entity_ablation,43022,rel_updates_2,RminusC,489,3,-0.22834171050805255,0.09712463827332674,-0.2121001866683567,-1.072928919348975
entity_ablation,43022,rel_updates_2,RminusV,489,3,-0.524660974850176,0.8100755632649942,0.02086816327843181,-1.0901415246115376
entity_ablation,43022,rel_updates_2,VminusC,489,3,0.29631926434212347,-0.7129509249916675,-0.2329683499467885,0.01721260526256252
entity_ablation,43022,rel_updates_2,VminusR,489,3,0.524660974850176,-0.8100755632649942,-0.02086816327843181,1.0901415246115376
entity_ablation,43022,rel_updates_3,CminusR,296,3,0.2109949893259385,-0.12548565152227073,-0.201666835219356,0.09849886453987373
entity_ablation,43022,rel_updates_3,RminusC,296,3,-0.2109949893259385,0.12548565152227073,0.201666835219356,-0.09849886453987373
entity_ablation,43022,rel_updates_3,RminusV,296,3,-0.9458428165699179,0.5312918766930297,0.48483198697821384,-0.3383201968872936
entity_ablation,43022,rel_updates_3,VminusC,296,3,0.7348478272439795,-0.4058062251707589,-0.2831651517588578,0.23982133234741987
entity_ablation,43022,rel_updates_3,VminusR,296,3,0.9458428165699179,-0.5312918766930297,-0.48483198697821384,0.3383201968872936
entity_ablation,43022,rel_updates_4,CminusR,326,3,0.4283345885849072,0.24719913760942916,-0.056423550806863454,0.7549657589810231
entity_ablation,43022,rel_updates_4,RminusC,326,3,-0.4283345885849072,-0.24719913760942916,0.056423550806863454,-0.7549657589810231
entity_ablation,43022,rel_updates_4,RminusV,326,3,-1.123124599963396,0.3517932802446354,0.5301810805257295,-1.035242159709483
entity_ablation,43022,rel_updates_4,VminusC,326,3,0.6947900113784888,-0.5989924178540645,-0.47375752971886614,0.2802764007284598
entity_ablation,43022,rel_updates_4,VminusR,326,3,1.123124599963396,-0.3517932802446354,-0.5301810805257295,1.035242159709483
entity_ablation,43022,rel_updates_5,CminusR,94,3,0.3202632726929712,-0.07544175931747923,-0.25296328729348827,1.6659990187126692
entity_ablation,43022,rel_updates_5,RminusC,94,3,-0.3202632726929712,0.07544175931747923,0.25296328729348827,-1.6659990187126692
entity_ablation,43022,rel_updates_5,RminusV,94,3,-0.7798011543902945,0.4009952113983479,-0.10557233716579195,-1.9373443584809908
entity_ablation,43022,rel_updates_5,VminusC,94,3,0.4595378816973233,-0.32555345208086867,0.35853562445928017,0.2713453397683217
entity_ablation,43022,rel_updates_5,VminusR,94,3,0.7798011543902945,-0.4009952113983479,0.10557233716579195,1.9373443584809908
entity_ablation,43022,type_ambiref,CminusR,399,3,0.6435638110564964,0.03148025438600315,-0.14169217036132925,0.2639343470627553
entity_ablation,43022,type_ambiref,RminusC,399,3,-0.6435638110564964,-0.03148025438600315,0.14169217036132925,-0.2639343470627553
entity_ablation,43022,type_ambiref,RminusV,399,3,-0.14981092359487871,0.186423217916648,-0.027019483391304455,-0.711151901346226
entity_ablation,43022,type_ambiref,VminusC,399,3,-0.4937528874616177,-0.21790347230265114,0.1687116537526337,0.4472175542834707
entity_ablation,43022,type_ambiref,VminusR,399,3,0.14981092359487871,-0.186423217916648,0.027019483391304455,0.711151901346226
entity_ablation,43022,type_move_contents,CminusR,381,3,0.12700334954957948,-0.12892864846925095,0.10418026536712888,0.7509276524266798
entity_ablation,43022,type_move_contents,RminusC,381,3,-0.12700334954957948,0.12892864846925095,-0.10418026536712888,-0.7509276524266798
entity_ablation,43022,type_move_contents,RminusV,381,3,-1.336962836845888,0.9811090809681753,0.2763608223746416,-0.7262701621781854
entity_ablation,43022,type_move_contents,VminusC,381,3,1.2099594872963084,-0.8521804324989244,-0.3805410877417705,-0.024657490248494396
entity_ablation,43022,type_move_contents,VminusR,381,3,1.336962836845888,-0.9811090809681753,-0.2763608223746416,0.7262701621781854
entity_ablation,43022,type_regular,CminusR,441,3,0.14346663671871612,-0.004209224058657267,0.04350940323943723,1.2825886192101528
entity_ablation,43022,type_regular,RminusC,441,3,-0.14346663671871612,0.004209224058657267,-0.04350940323943723,-1.2825886192101528
entity_ablation,43022,type_regular,RminusV,441,3,-0.9915747583920498,0.704030187928645,0.5385907000776884,-1.308302928593632
entity_ablation,43022,type_regular,VminusC,441,3,0.8481081216733336,-0.6998209638699878,-0.5821001033171257,0.025714309383479367
entity_ablation,43022,type_regular,VminusR,441,3,0.9915747583920498,-0.704030187928645,-0.5385907000776884,1.308302928593632
entity_ablation,43122,ALL,CminusR,1221,3,0.7276658981818824,-0.40784084464141396,-0.13570622548993871,1.1229637276447106
entity_ablation,43122,ALL,RminusC,1221,3,-0.7276658981818824,0.40784084464141396,0.13570622548993871,-1.1229637276447106
entity_ablation,43122,ALL,RminusV,1221,3,-1.0577955681046534,0.6149955105047684,0.2921676141884429,-1.6449725450059274
entity_ablation,43122,ALL,VminusC,1221,3,0.3301296699227709,-0.2071546658633545,-0.1564613886985042,0.5220088173612167
entity_ablation,43122,ALL,VminusR,1221,3,1.0577955681046534,-0.6149955105047684,-0.2921676141884429,1.6449725450059274
entity_ablation,43122,rel_ge2,CminusR,1205,3,0.7148673414277172,-0.39077813063914346,-0.11786354773189682,1.157519035485868
entity_ablation,43122,rel_ge2,RminusC,1205,3,-0.7148673414277172,0.39077813063914346,0.11786354773189682,-1.157519035485868
entity_ablation,43122,rel_ge2,RminusV,1205,3,-1.0392942684113897,0.5860464174594127,0.277159952705167,-1.6857015695988378
entity_ablation,43122,rel_ge2,VminusC,1205,3,0.3244269269836724,-0.19526828682026923,-0.15929640497327022,0.5281825341129699
entity_ablation,43122,rel_ge2,VminusR,1205,3,1.0392942684113897,-0.5860464174594127,-0.277159952705167,1.6857015695988378
entity_ablation,43122,rel_ge3,CminusR,716,3,0.7034808224417421,-0.3220843926932337,-0.27289857358101133,1.1934137997400447
entity_ablation,43122,rel_ge3,RminusC,716,3,-0.7034808224417421,0.3220843926932337,0.27289857358101133,-1.1934137997400447
entity_ablation,43122,rel_ge3,RminusV,716,3,-1.0924080353112307,0.4392898399972494,0.4664829790841934,-1.8355797811951557
entity_ablation,43122,rel_ge3,VminusC,716,3,0.38892721286948834,-0.11720544730401573,-0.19358440550318204,0.6421659814551112
entity_ablation,43122,rel_ge3,VminusR,716,3,1.0924080353112307,-0.4392898399972494,-0.4664829790841934,1.8355797811951557
entity_ablation,43122,rel_updates_1,CminusR,16,3,1.6915572037299473,-1.6928764929374058,-1.4794828941424687,-1.4794828941424687
entity_ablation,43122,rel_updates_1,RminusC,16,3,-1.6915572037299473,1.6928764929374058,1.4794828941424687,1.4794828941424687
entity_ablation,43122,rel_updates_1,RminusV,16,3,-2.451174701253573,2.7952240804831185,1.422432119647662,1.422432119647662
entity_ablation,43122,rel_updates_1,VminusC,16,3,0.7596174975236257,-1.1023475875457127,0.05705077449480692,0.05705077449480692
entity_ablation,43122,rel_updates_1,VminusR,16,3,2.451174701253573,-2.7952240804831185,-1.422432119647662,-1.422432119647662
entity_ablation,43122,rel_updates_2,CminusR,489,3,0.7315396268959344,-0.4913603727030933,0.1091407027956411,1.1049614665574625
entity_ablation,43122,rel_updates_2,RminusC,489,3,-0.7315396268959344,0.4913603727030933,-0.1091407027956411,-1.1049614665574625
entity_ablation,43122,rel_updates_2,RminusV,489,3,-0.9615244174905594,0.8009292588968543,-4.922293365287415e-05,-1.4662479918831661
entity_ablation,43122,rel_updates_2,VminusC,489,3,0.22998479059462493,-0.30956888619376105,-0.10909147986198824,0.3612865253257036
entity_ablation,43122,rel_updates_2,VminusR,489,3,0.9615244174905594,-0.8009292588968543,4.922293365287415e-05,1.4662479918831661
entity_ablation,43122,rel_updates_3,CminusR,296,3,0.9375367055873614,-0.35870535493836747,-0.2726642413752841,0.5341463214319265
entity_ablation,43122,rel_updates_3,RminusC,296,3,-0.9375367055873614,0.35870535493836747,0.2726642413752841,-0.5341463214319265
entity_ablation,43122,rel_updates_3,RminusV,296,3,-1.1982802065039002,0.4511855774567471,0.46378635959112435,-1.2131736867679366
entity_ablation,43122,rel_updates_3,VminusC,296,3,0.26074350091653903,-0.09248022251837963,-0.19112211821584021,0.67902736533601
entity_ablation,43122,rel_updates_3,VminusR,296,3,1.1982802065039002,-0.4511855774567471,-0.46378635959112435,1.2131736867679366
entity_ablation,43122,rel_updates_4,CminusR,326,3,0.35538091195141613,-0.295266068329109,-0.2825463607693986,1.4669749900833886
entity_ablation,43122,rel_updates_4,RminusC,326,3,-0.35538091195141613,0.295266068329109,0.2825463607693986,-1.4669749900833886
entity_ablation,43122,rel_updates_4,RminusV,326,3,-1.175336147850886,0.495394694521749,0.5095125280914863,-2.150216650875792
entity_ablation,43122,rel_updates_4,VminusC,326,3,0.8199552358994698,-0.20012862619263994,-0.22696616732208763,0.6832416607924032
entity_ablation,43122,rel_updates_4,VminusR,326,3,1.175336147850886,-0.495394694521749,-0.5095125280914863,2.150216650875792
entity_ablation,43122,rel_updates_5,CminusR,94,3,1.1736939012581575,-0.29977555139690426,-0.24017712368187327,2.320671518115287
entity_ablation,43122,rel_updates_5,RminusC,94,3,-1.1736939012581575,0.29977555139690426,0.24017712368187327,-2.320671518115287
