family,seed,group,contrast,n,n_checkpoints,late_mean_delta_mean_gain_a_minus_b
copy,43022,ALL,CminusR,2000,3,-0.4995790458606537
copy,43022,ALL,RminusC,2000,3,0.4995790458606537
copy,43022,ALL,RminusV,2000,3,0.17247228915033563
copy,43022,ALL,VminusC,2000,3,0.3271067567103181
copy,43022,ALL,VminusR,2000,3,-0.17247228915033563
copy,43022,domain_bnc_spoken,CminusR,180,3,-0.46930712813308545
copy,43022,domain_bnc_spoken,RminusC,180,3,0.46930712813308545
copy,43022,domain_bnc_spoken,RminusV,180,3,0.2759040279919039
copy,43022,domain_bnc_spoken,VminusC,180,3,0.19340310014118156
copy,43022,domain_bnc_spoken,VminusR,180,3,-0.2759040279919039
copy,43022,domain_childes,CminusR,642,3,-0.36323334845884697
copy,43022,domain_childes,RminusC,642,3,0.36323334845884697
copy,43022,domain_childes,RminusV,642,3,0.07669398222013335
copy,43022,domain_childes,VminusC,642,3,0.2865393662387136
copy,43022,domain_childes,VminusR,642,3,-0.07669398222013335
copy,43022,domain_gutenberg,CminusR,468,3,-0.7253758472573612
copy,43022,domain_gutenberg,RminusC,468,3,0.7253758472573612
copy,43022,domain_gutenberg,RminusV,468,3,0.296477781266096
copy,43022,domain_gutenberg,VminusC,468,3,0.4288980659912651
copy,43022,domain_gutenberg,VminusR,468,3,-0.296477781266096
copy,43022,domain_open_subtitles,CminusR,434,3,-0.43472203245409763
copy,43022,domain_open_subtitles,RminusC,434,3,0.43472203245409763
copy,43022,domain_open_subtitles,RminusV,434,3,0.2889777662780186
copy,43022,domain_open_subtitles,VminusC,434,3,0.14574426617607905
copy,43022,domain_open_subtitles,VminusR,434,3,-0.2889777662780186
copy,43022,domain_simple_wiki,CminusR,272,3,-0.5576238918588698
copy,43022,domain_simple_wiki,RminusC,272,3,0.5576238918588698
copy,43022,domain_simple_wiki,RminusV,272,3,-0.06654705529106142
copy,43022,domain_simple_wiki,VminusC,272,3,0.6241709471499313
copy,43022,domain_simple_wiki,VminusR,272,3,0.06654705529106142
copy,43022,domain_switchboard,CminusR,4,3,-0.4170104399090633
copy,43022,domain_switchboard,RminusC,4,3,0.4170104399090633
copy,43022,domain_switchboard,RminusV,4,3,-0.005709120305255055
copy,43022,domain_switchboard,VminusC,4,3,0.42271956021431834
copy,43022,domain_switchboard,VminusR,4,3,0.005709120305255055
copy,43022,span_1,CminusR,1000,3,-0.5217301311078435
copy,43022,span_1,RminusC,1000,3,0.5217301311078435
copy,43022,span_1,RminusV,1000,3,0.09405735857848423
copy,43022,span_1,VminusC,1000,3,0.42767277252935926
copy,43022,span_1,VminusR,1000,3,-0.09405735857848423
copy,43022,span_4,CminusR,1000,3,-0.4774279606134644
copy,43022,span_4,RminusC,1000,3,0.4774279606134644
copy,43022,span_4,RminusV,1000,3,0.25088721972218764
copy,43022,span_4,VminusC,1000,3,0.22654074089127674
copy,43022,span_4,VminusR,1000,3,-0.25088721972218764
copy,43122,ALL,CminusR,2000,3,-0.6678323688991971
copy,43122,ALL,RminusC,2000,3,0.6678323688991971
copy,43122,ALL,RminusV,2000,3,0.3574936084248777
copy,43122,ALL,VminusC,2000,3,0.3103387604743193
copy,43122,ALL,VminusR,2000,3,-0.3574936084248777
copy,43122,domain_bnc_spoken,CminusR,180,3,-0.8199536977433898
copy,43122,domain_bnc_spoken,RminusC,180,3,0.8199536977433898
copy,43122,domain_bnc_spoken,RminusV,180,3,0.43543365058522515
copy,43122,domain_bnc_spoken,VminusC,180,3,0.3845200471581647
copy,43122,domain_bnc_spoken,VminusR,180,3,-0.43543365058522515
copy,43122,domain_childes,CminusR,642,3,-0.43146389594328394
copy,43122,domain_childes,RminusC,642,3,0.43146389594328394
copy,43122,domain_childes,RminusV,642,3,0.24095479085636887
copy,43122,domain_childes,VminusC,642,3,0.19050910508691507
copy,43122,domain_childes,VminusR,642,3,-0.24095479085636887
copy,43122,domain_gutenberg,CminusR,468,3,-0.6527093083267111
copy,43122,domain_gutenberg,RminusC,468,3,0.6527093083267111
copy,43122,domain_gutenberg,RminusV,468,3,0.27170751601748816
copy,43122,domain_gutenberg,VminusC,468,3,0.38100179230922304
copy,43122,domain_gutenberg,VminusR,468,3,-0.27170751601748816
copy,43122,domain_open_subtitles,CminusR,434,3,-0.7676360885512615
copy,43122,domain_open_subtitles,RminusC,434,3,0.7676360885512615
copy,43122,domain_open_subtitles,RminusV,434,3,0.5229899050324226
copy,43122,domain_open_subtitles,VminusC,434,3,0.24464618351883902
copy,43122,domain_open_subtitles,VminusR,434,3,-0.5229899050324226
copy,43122,domain_simple_wiki,CminusR,272,3,-0.9853391625971559
copy,43122,domain_simple_wiki,RminusC,272,3,0.9853391625971559
copy,43122,domain_simple_wiki,RminusV,272,3,0.4461998460049041
copy,43122,domain_simple_wiki,VminusC,272,3,0.5391393165922519
copy,43122,domain_simple_wiki,VminusR,272,3,-0.4461998460049041
copy,43122,domain_switchboard,CminusR,4,3,-1.1097450136051823
copy,43122,domain_switchboard,RminusC,4,3,1.1097450136051823
copy,43122,domain_switchboard,RminusV,4,3,1.6032724052590008
copy,43122,domain_switchboard,VminusC,4,3,-0.49352739165381837
copy,43122,domain_switchboard,VminusR,4,3,-1.6032724052590008
copy,43122,span_1,CminusR,1000,3,-0.6965400058208894
copy,43122,span_1,RminusC,1000,3,0.6965400058208894
copy,43122,span_1,RminusV,1000,3,0.41305843014979615
copy,43122,span_1,VminusC,1000,3,0.2834815756710933
copy,43122,span_1,VminusR,1000,3,-0.41305843014979615
copy,43122,span_4,CminusR,1000,3,-0.6391247319775043
copy,43122,span_4,RminusC,1000,3,0.6391247319775043
copy,43122,span_4,RminusV,1000,3,0.3019287866999587
copy,43122,span_4,VminusC,1000,3,0.33719594527754565
copy,43122,span_4,VminusR,1000,3,-0.3019287866999587
