endpoint,label,parallel_acc,nonparallel_acc,computed_globalpiqa,known_globalpiqa,aggregate_known_minus_computed,overall,parallel_choice_counts,parallel_label_counts
legal40k8x480_43022,legal40k 8x480 seed43022 (best compliant endpoint),22.33009708737864,47.0,34.66504854368932,34.66504854368932,0.0,41.140577774478444,"{""0"": 24, ""1"": 28, ""2"": 29, ""3"": 22}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
legal40k8x480_43122,legal40k 8x480 seed43122,22.33009708737864,42.0,32.16504854368932,32.16504854368932,0.0,40.42013171935382,"{""0"": 27, ""1"": 27, ""2"": 22, ""3"": 27}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
legal16k8x480_43022,legal16k 8x480 seed43022,26.21359223300971,46.0,36.10679611650485,36.10679611650485,0.0,40.703956400082454,"{""0"": 25, ""1"": 23, ""2"": 27, ""3"": 28}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
legal16k8x480_43122,legal16k 8x480 seed43122,26.21359223300971,51.0,38.60679611650485,38.605000000000004,-0.0017961165048490102,41.023994024744404,"{""0"": 25, ""1"": 24, ""2"": 27, ""3"": 27}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
depth12x384_43022,legal40k 12x384 depth seed43022,24.271844660194176,47.0,35.63592233009709,35.63592233009709,0.0,41.02759583135309,"{""0"": 26, ""1"": 21, ""2"": 27, ""3"": 29}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
sgcr12x384_43022,exact-prefix SGCR 12x384 seed43022,23.300970873786408,45.0,34.150485436893206,34.150485436893206,0.0,40.331709413463635,"{""0"": 23, ""1"": 30, ""2"": 28, ""3"": 22}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
inherited16k_noncompliant_43022,inherited-tokenizer compact reinvest seed43022 (non-submission evidence),25.24271844660194,46.0,35.62135922330097,35.62135922330097,0.0,42.0331347900748,"{""0"": 20, ""1"": 27, ""2"": 21, ""3"": 35}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
inherited16k_noncompliant_43122,inherited-tokenizer compact reinvest seed43122 (non-submission evidence),24.271844660194176,46.0,35.13592233009709,,,41.24823958912208,"{""0"": 23, ""1"": 28, ""2"": 24, ""3"": 28}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
semantic_view_treatment_100M,SimpleWiki semantic-view treatment chck_100M,22.33009708737864,48.0,35.16504854368932,,,40.1399,"{""0"": 24, ""1"": 24, ""2"": 23, ""3"": 32}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
semantic_view_control_100M,SimpleWiki packet-local control chck_100M,28.155339805825243,46.0,37.07766990291262,,,38.554,"{""0"": 19, ""1"": 33, ""2"": 21, ""3"": 30}","{""0"": 25, ""1"": 31, ""2"": 25, ""3"": 22}"
