endpoint,parallel_correct,parallel_total,parallel_acc,parallel_delta,nonparallel_correct,nonparallel_total,nonparallel_acc,nonparallel_delta,globalpiqa_mean
clean_pres_seed62064,31,103,30.097087378640776,1,50,100,50.0,2,40.04854368932039
clean_pres_seed62065,31,103,30.097087378640776,1,50,100,50.0,2,40.04854368932039
coherent86,30,103,29.126213592233007,0,48,100,48.0,0,38.5631067961165
dense_seed62064,31,103,30.097087378640776,1,50,100,50.0,2,40.04854368932039
dense_seed62065,31,103,30.097087378640776,1,50,100,50.0,2,40.04854368932039
