mode,mean_abs_dlog_1M,mean_dlog_1M,mean_abs_dlog_10M,mean_abs_dlog_20M,mean_abs_dlog_50M,max_abs_dlog_final
current,0.0,0.0,0.0,0.0,0.0,0.0
source_childes_taper_f25_d15,0.6533644849545217,0.45196312593523225,0.17649862434371882,0.1518780511710635,0.08520784785392867,0.0
source_childes_taper_f25_d25,0.6533644849545217,0.45196312593523225,0.2890782502264524,0.24383744227246013,0.12843176326241473,0.0
source_childes_taper_f25_d40,0.6533644849545217,0.45196312593523225,0.44101741638988357,0.3557374042291465,0.17020873268163586,0.0
source_childes_taper_f25_d60,0.6533644849545217,0.45196312593523225,0.6039138758981262,0.4617213904621221,0.19801969586786228,0.0
source_childes_taper_f40_d15,0.6533644849545217,0.45196312593523225,0.14637725633849116,0.12393453363961637,0.0692478306690338,0.0
source_childes_taper_f40_d25,0.6533644849545217,0.45196312593523225,0.23826532232417738,0.20061468692810994,0.10445605501597262,0.0
source_childes_taper_f40_d40,0.6533644849545217,0.45196312593523225,0.3678208626472827,0.2969155437669343,0.1395862447459854,0.0
source_childes_taper_f40_d60,0.6533644849545217,0.45196312593523225,0.5058240616161971,0.3868009088304567,0.16272388214649153,0.0
source_childes_taper_f55_d15,0.6533644849545217,0.45196312593523225,0.1124560443325519,0.09603966085356935,0.052970185387101326,0.0
source_childes_taper_f55_d25,0.6533644849545217,0.45196312593523225,0.18733710170578446,0.15576441904161561,0.07968830647944337,0.0
source_childes_taper_f55_d40,0.6533644849545217,0.45196312593523225,0.29003984044556624,0.2324465494796443,0.10739401083677101,0.0
source_childes_taper_f55_d60,0.6533644849545217,0.45196312593523225,0.4046241794175782,0.3056735758848292,0.12580110914658457,0.0
source_childes_taper_f70_d15,0.6533644849545217,0.45196312593523225,0.07854626027886182,0.06537352418205178,0.03597055112643949,0.0
source_childes_taper_f70_d25,0.6533644849545217,0.45196312593523225,0.13027461560567297,0.10891551184283942,0.05451346300848297,0.0
source_childes_taper_f70_d40,0.6533644849545217,0.45196312593523225,0.20526303943925994,0.16280086964668322,0.07364181700094134,0.0
source_childes_taper_f70_d60,0.6533644849545217,0.45196312593523225,0.2889567020618764,0.2172744554438581,0.08600603579327493,0.0
source_childes_taper_rowsort_ratio_f40_d25,1.7544389712062929,-0.6409789737278427,0.9152741464787225,0.7132925768207204,0.38436692230979513,0.0
source_childes_taper_rowsort_comp_f40_d25,3.094692862050226,-3.0718521684865627,1.3573977048251507,0.9824046926683067,0.497776320951171,0.0
source_childes_taper_rowsort_ratio_f40_d40,1.7544389712062929,-0.6409789737278427,0.9968839319867139,0.770943891361213,0.40727083923905505,0.0
source_childes_taper_rowsort_comp_f40_d40,3.094692862050226,-3.0718521684865627,1.1572580808240598,0.8615442051825833,0.4655309340115778,0.0
source_childes_taper_rowsort_ratio_f55_d25,1.7544389712062929,-0.6409789737278427,0.8759038917886784,0.6836849041933672,0.36770898433761023,0.0
source_childes_taper_rowsort_comp_f55_d25,3.094692862050226,-3.0718521684865627,1.4271925138108736,1.0517601457728705,0.5213762771036687,0.0
source_childes_taper_rowsort_ratio_f55_d40,1.7544389712062929,-0.6409789737278427,0.9411202709461526,0.7363582759185148,0.38600007556040256,0.0
source_childes_taper_rowsort_comp_f55_d40,3.094692862050226,-3.0718521684865627,1.2797327137575478,0.9513706960551215,0.4945040103711915,0.0
global_sort__childes_ratio,1.7544389712062929,-0.6409789737278427,1.0645711782921143,0.8393485752577342,0.45447825988242185,0.0
global_sort__childes_composite,3.094692862050226,-3.0718521684865627,1.4712971741748824,0.9893492273119913,0.4408921280603664,0.0
global_sort__childes_freq,3.3528871937423537,-3.3453422666815387,2.0153815893832587,1.3486826677371868,0.6033029637854406,0.0
global_sort__spoken_freq,3.4443825869788527,-3.4389260452572934,2.166992915076993,1.4864547098167828,0.6576933030639169,0.0
global_sort__whole_freq,3.455888404219916,-3.451448928503439,2.75771271322419,2.0519768156252938,0.978053830329741,0.0
global_sort__cdi_density,1.2428391847849338,0.8793063854605367,0.8760792757307758,0.7219020695272919,0.41089196488288104,0.0
global_sort__child_early,1.6452013780617512,-1.1819879805026658,0.7086978468476642,0.546645473859165,0.31842643447440605,0.0
global_sort__written_control,3.685545156662155,-3.66408968897726,2.5597572450362214,1.96185236656411,1.053425740826338,0.0
