checkpoint,group,n,base_43022,int_43022,delta_43022,base_43122,int_43122,delta_43122,mean_delta,base_seed_range,intervention_seed_range,seed_range_change_int_minus_base
chck_86M,ALL,6780,28.200589970501476,25.84070796460177,-2.3598820058997063,26.047197640117993,26.31268436578171,0.2654867256637168,-1.0471976401179948,2.1533923303834825,0.47197640117994055,-1.681415929203542
chck_86M,rel_eq0,1541,37.508111615833876,39.0655418559377,1.5574302401038267,40.68786502271252,38.54639844256976,-2.1414665801427617,-0.2920181700194675,3.179753406878646,0.5191434133679422,-2.660609993510704
chck_86M,rel_eq0_irrelevant_ops_gt0,1237,37.99514955537591,38.96523848019402,0.970088924818107,40.58205335489087,38.31851253031528,-2.2635408245755855,-0.6467259498787392,2.586903799514957,0.6467259498787357,-1.9401778496362212
chck_86M,rel_eq0_irrelevant_ops_ge7,273,34.065934065934066,36.26373626373626,2.197802197802197,40.29304029304029,35.16483516483517,-5.128205128205124,-1.4652014652014635,6.227106227106226,1.098901098901095,-5.128205128205131
chck_86M,rel_ge1,5239,25.462874594388243,21.95075396067952,-3.5121206337087223,21.740790227142586,22.71425844626837,0.9734682191257846,-1.2693262072914688,3.7220843672456567,0.7635044855888502,-2.9585798816568065
chck_86M,rel_ge1_postrel_ops0,1850,30.43243243243243,25.243243243243242,-5.1891891891891895,25.45945945945946,24.81081081081081,-0.6486486486486491,-2.9189189189189193,4.972972972972972,0.43243243243243157,-4.54054054054054
chck_86M,rel_ge1_postrel_ops_gt0,3389,22.75007376807318,20.153437592210093,-2.596636175863086,19.71082915314252,21.56978459722632,1.8589554440838008,-0.36884036588964264,3.0392446149306593,1.4163470050162275,-1.6228976099144319
chck_86M,rel_ge3,2650,30.566037735849058,25.69811320754717,-4.867924528301888,25.849056603773583,25.849056603773583,0.0,-2.433962264150944,4.716981132075475,0.15094339622641328,-4.566037735849061
chck_86M,rel_ge3_postrel_ops0,1114,35.36804308797127,28.994614003590666,-6.373429084380607,28.994614003590666,27.378815080789945,-1.615798922800721,-3.994614003590664,6.373429084380607,1.615798922800721,-4.757630161579886
chck_86M,rel_ge3_postrel_ops_gt0,1536,27.083333333333332,23.307291666666668,-3.7760416666666643,23.567708333333332,24.739583333333332,1.171875,-1.3020833333333321,3.515625,1.4322916666666643,-2.0833333333333357
chck_86M,stale_available_not_gold,1221,27.764127764127764,23.013923013923012,-4.750204750204752,23.423423423423422,24.242424242424242,0.81900081900082,-1.9656019656019659,4.340704340704342,1.22850122850123,-3.1122031122031117
final,ALL,6780,27.345132743362832,25.94395280235988,-1.401179941002951,26.179941002949853,26.44542772861357,0.2654867256637168,-0.5678466076696171,1.165191740412979,0.5014749262536888,-0.6637168141592902
final,rel_eq0,1541,38.676184295911746,40.62297209604153,1.9467878001297834,40.298507462686565,38.80597014925373,-1.492537313432834,0.22712524334847473,1.6223231667748195,1.8170019467877978,0.19467878001297834
final,rel_eq0_irrelevant_ops_gt0,1237,39.28860145513339,40.662894098625706,1.3742926434923177,40.339531123686335,38.56103476151981,-1.7784963621665284,-0.20210185933710534,1.0509296685529463,2.1018593371059,1.0509296685529534
final,rel_eq0_irrelevant_ops_ge7,273,32.234432234432234,39.92673992673993,7.692307692307693,38.827838827838825,33.6996336996337,-5.128205128205124,1.2820512820512846,6.593406593406591,6.227106227106226,-0.366300366300365
final,rel_ge1,5239,24.012216071769423,21.626264554304257,-2.385951517465166,22.027104409238405,22.80969650696698,0.7825920977285747,-0.8016797098682957,1.9851116625310183,1.1834319526627226,-0.8016797098682957
final,rel_ge1_postrel_ops0,1850,28.216216216216218,24.756756756756758,-3.4594594594594597,25.2972972972973,24.972972972972972,-0.32432432432432634,-1.891891891891893,2.9189189189189193,0.216216216216214,-2.7027027027027053
final,rel_ge1_postrel_ops_gt0,3389,21.717320743582178,19.91737975804072,-1.7999409855414576,20.241959280023607,21.628799055768663,1.386839775745056,-0.20655060489820087,1.4753614635585706,1.711419297727943,0.23605783416937243
final,rel_ge3,2650,28.49056603773585,25.735849056603772,-2.754716981132077,26.452830188679247,26.339622641509433,-0.1132075471698144,-1.4339622641509457,2.0377358490566024,0.6037735849056602,-1.4339622641509422
final,rel_ge3_postrel_ops0,1114,32.58527827648115,28.635547576301615,-3.9497307001795328,29.353680430879713,28.00718132854578,-1.346499102333933,-2.648114901256733,3.231597845601435,0.6283662477558352,-2.6032315978455998
final,rel_ge3_postrel_ops_gt0,1536,25.520833333333332,23.6328125,-1.8880208333333321,24.348958333333332,25.130208333333332,0.78125,-0.5533854166666661,1.171875,1.4973958333333321,0.32552083333333215
final,stale_available_not_gold,1221,25.88042588042588,23.587223587223587,-2.2932022932022917,22.93202293202293,24.324324324324323,1.3923013923013912,-0.4504504504504503,2.948402948402947,0.7371007371007359,-2.211302211302211
