seed,checkpoint,packet_type,condition,n_packets,base_full_orig_new_minus_source,se
43022,chck_86M,UNCHANGED_DISTRACTOR_USE,T,200,0.6082467522272131,0.15872072338669
43022,chck_86M,UPDATED_USE,T,1125,1.109682177726939,0.09355787486035672
43022,chck_86M,UPDATED_USE,U,1125,-4.2869480861413525,0.10029211211881632
43022,final,UNCHANGED_DISTRACTOR_USE,T,200,0.5630965981750372,0.15944036077721518
43022,final,UPDATED_USE,T,1125,1.0983375044184345,0.09412121266429188
43022,final,UPDATED_USE,U,1125,-4.3384917330122255,0.10076268937999266
43122,chck_86M,UNCHANGED_DISTRACTOR_USE,T,200,0.49549727604932126,0.1613987668713501
43122,chck_86M,UPDATED_USE,T,1125,1.1595239302266016,0.09416247869517193
43122,chck_86M,UPDATED_USE,U,1125,-4.203514813307301,0.1021492742475551
43122,final,UNCHANGED_DISTRACTOR_USE,T,200,0.5043633201776804,0.16297020315258914
43122,final,UPDATED_USE,T,1125,1.163577403906309,0.09422948805809707
43122,final,UPDATED_USE,U,1125,-4.173935753301924,0.10229775872160068
