seed,checkpoint,packet_type,n_packets,full_delta_T_update_use,se_full_delta_T_update_use,full_delta_U_retention,se_full_delta_U_retention,full_delta_T_retention,se_full_delta_T_retention,full_binding_pair_sum_Tupdate_Uretention,se_full_binding_pair_sum_Tupdate_Uretention,full_binding_pair_sum_Tretention_Uretention,se_full_binding_pair_sum_Tretention_Uretention,full_net_T_minus_N_update_use,se_full_net_T_minus_N_update_use,full_net_T_minus_U_update_use,se_full_net_T_minus_U_update_use,full_net_T_minus_N_retention,se_full_net_T_minus_N_retention,full_net_T_minus_U_retention,se_full_net_T_minus_U_retention,content_delta_T_update_use,content_delta_U_retention,content_delta_T_retention
43022,chck_86M,UNCHANGED_DISTRACTOR_USE,200,,,0.09588338107424213,0.05141778385367189,0.06520442362307256,0.046462779774283106,,,0.08054390234865734,0.036992450410047395,,,,,0.13588470981006112,0.05628083988079795,0.07801558453027889,0.05688856793581392,,0.17317998584320782,0.1151375055955342
43022,chck_86M,UPDATED_USE,1125,-0.03082643821865898,0.030313744491462877,0.04959976411850256,0.02902023660929861,,,0.009386662949921788,0.015510067589866715,,,-0.10955019237058809,0.029763101066935447,-0.12155694698650585,0.0300894074490011,,,,,-0.03460843830827864,0.016452517211498846,
43022,final,UNCHANGED_DISTRACTOR_USE,200,,,0.06579742151627052,0.0526073158187251,0.028734169530164198,0.04639565078274651,,,0.047265795523217365,0.03719265884033772,,,,,0.1468626980398619,0.05623000027240552,0.10197737034397542,0.0572211387233104,,0.1375250580696508,0.06483855098757438
43022,final,UPDATED_USE,1125,-0.016590114350554987,0.029420845509248113,0.03403710916292653,0.028141775589832826,,,0.00872349740618577,0.014968003952957035,,,-0.15210231561267262,0.029506937771016897,-0.17744614236435013,0.029735290334847155,,,,,-0.011671369320925044,0.0023921766489351415,
43122,chck_86M,UNCHANGED_DISTRACTOR_USE,200,,,0.025379010888263234,0.07077180710316446,0.1170458773511359,0.06264225187772025,,,0.07121244411969957,0.05366696705766874,,,,,0.2615913218504288,0.0641591908045331,0.24205603328196956,0.05711817603495375,,0.04475105355955562,0.12060075409585919
43122,chck_86M,UPDATED_USE,1125,-0.11468500704291404,0.03358702214484515,0.020684528810057154,0.0323482766285689,,,-0.04700023911642844,0.01717106462120995,,,-0.3647315902703242,0.031913277872990864,-0.3166324705929666,0.031057761655845024,,,,,-0.1378672869625695,0.02751475119468661,
43122,final,UNCHANGED_DISTRACTOR_USE,200,,,0.030000577716826467,0.07016545458630358,0.13065680626958323,0.061173056149165045,,,0.08032869199320485,0.05353970216415071,,,,,0.26026522851994593,0.06428646857648063,0.24028799557432634,0.05809844066589956,,0.05666805256728762,0.1375691698001774
43122,final,UPDATED_USE,1125,-0.08633143274598892,0.03332587842128478,0.0021047802856496035,0.031968162648157765,,,-0.042113326230169654,0.017001320281584947,,,-0.2953577688704634,0.03207037356669278,-0.24800104114186128,0.030850982871331534,,,,,-0.10815902975100823,0.005487654211003623,
