arm,pair_id,category,pivot,target_a,target_b,target_class,target_token_len,left_distance,right_distance,between_content_count,slot_margin,left_margin,right_margin,orig_score,swap_score
compact,p0000000,temporal,when,trips,mister,content,1,4,1,2,9.115234851837158,15.125000059604645,3.10546875,-7.153695583343506,-16.268930435180664
compact,p0000001,spatial,onto,blue,silver,content,1,2,2,2,6.531250417232513,4.3125001192092896,8.750000203028321,-0.5583787560462952,-7.089629173278809
compact,p0000002,temporal,when,forth,heard,content,1,2,2,2,6.748536109924316,5.293945789337158,8.203125,-5.380209922790527,-12.128746032714844
compact,p0000003,spatial,against,seemed,called,verbish,1,4,3,2,3.734375,3.96875,3.5,-4.197342395782471,-7.931717395782471
compact,p0000004,causal_connector,because,loved,going,verbish,1,2,7,3,10.375000715255737,9.125000476837158,11.624999821186066,-2.472317934036255,-12.847318649291992
compact,p0000005,temporal,when,even,children,verbish,1,1,3,2,5.2890625,3.21875,7.359374761581421,-4.899145126342773,-10.188207626342773
compact,p0000006,causal_connector,if,quiet,babies,content,1,2,3,1,0.53515625,3.132812023162842,-2.0625,-8.352127075195312,-8.887283325195312
compact,p0000007,spatial,within,already,feet,content,1,1,2,2,6.712890625,2.0,11.425781726837158,-4.296111106872559,-11.009001731872559
compact,p0000008,temporal,after,best,to-day,content,2,1,1,1,4.00390625,5.679687976837158,2.328125,-4.442424774169922,-8.446331024169922
compact,p0000009,spatial,against,various,native,adjectival,1,2,2,3,9.874999761581421,6.093749761581421,13.656249705702066,-1.0577356815338135,-10.932735443115234
compact,p0000010,spatial,through,church,catholic,capitalized,1,1,3,2,7.515624891966581,8.343750074505806,6.687500186264515,-0.047629464417696,-7.563254356384277
compact,p0000011,temporal,after,rome,jesus,capitalized,1,6,4,6,1.921875,4.8125,-0.96875,-4.075921058654785,-5.997796058654785
compact,p0000013,temporal,until,fighting,beaten,verbish,1,1,3,1,3.140625238418579,2.84375,3.4375,-3.504546880722046,-6.645172119140625
compact,p0000014,temporal,until,beaten,gained,verbish,1,5,3,3,2.78125,4.625,0.9375,-4.648916721343994,-7.430166721343994
compact,p0000018,spatial,across,help,mommy,content,1,3,4,1,13.49218761920929,14.812499985098839,12.171875238418579,-0.27944839000701904,-13.771636009216309
compact,p0000019,temporal,while,little,play,content,1,1,2,1,12.234375715255737,11.000000357627869,13.468750104308128,-0.19627690315246582,-12.430652618408203
compact,p0000020,causal_connector,if,we'll,he's,content,2,2,1,1,4.9609373807907104,1.78125,8.140624701976776,-0.502325177192688,-5.463262557983398
compact,p0000021,causal_connector,if,he's,goes,content,2,4,4,5,11.982420891523361,14.402343444526196,9.562499284744263,-0.2886057198047638,-12.271026611328125
compact,p0000023,comparative,longer,house,soldier,content,2,6,4,4,5.402343511581421,3.750000238418579,7.0546875,-2.312044382095337,-7.714387893676758
compact,p0000026,spatial,into,father,stop,content,1,1,6,3,6.945312976837158,6.5625,7.328125,-4.019914150238037,-10.965227127075195
compact,p0000027,temporal,until,mother,gave,content,1,2,3,3,7.212890625,6.87890625,7.546875,-7.313998222351074,-14.526888847351074
compact,p0000028,causal_connector,if,mean,you're,content,2,1,1,1,10.778564095497131,11.836425870656967,9.720703303813934,-0.4665330648422241,-11.245097160339355
compact,p0000030,temporal,when,lunar,scales,content,2,2,1,2,0.2919921875,1.185546875,-0.6015625,-9.229047775268555,-9.521039962768555
compact,p0000031,spatial,against,emperor,gold,content,1,1,1,1,15.274413701146841,12.968749843537807,17.580077555961907,-0.03647172823548317,-15.310885429382324
