i,item_id,split_key,source,target_kind,target_text,target_id,nll_base,top1_base,rank_base,nll_true,top1_true,rank_true,nll_decoy,top1_decoy,rank_decoy,changed_frac_bin,changed_target_frac_proxy,content_overlap,decoy_pair_id,decoy_row_index,doc_id,example_id,overlap_bin,pair_id,rewrite_words,row_index,source_words,target_char_end,target_char_start,target_id_in_decoy_source,target_id_in_source
0,edit:frontier_consolidation_fwcompact_medium_027780:0:58-63,row:264,compact_edit,content,aging,6189,7.364253997802734,0,214,8.161791801452637,0,268,7.730197906494141,0,282,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_029445,170,15333,750264,0p6_0p8,frontier_consolidation_fwcompact_medium_027780,20,264,29,63,58,False,False
1,edit:frontier_consolidation_fwcompact_medium_044135:0:70-74,row:1763,compact_edit,content,acks,3160,7.4840617179870605,0,290,13.20093059539795,0,2392,6.116473197937012,0,91,0p2_0p4,0.3,0.4375,frontier_consolidation_fwcompact_medium_030316,2191,6703,751763,0p4_0p6,frontier_consolidation_fwcompact_medium_044135,20,1763,31,74,70,False,False
2,edit:frontier_consolidation_fwcompact_medium_026603:0:0-4,row:2924,compact_edit,content,Many,3483,7.280071258544922,0,202,5.978316783905029,0,62,8.806964874267578,0,442,0p4_0p6,0.46153846153846156,0.46153846153846156,frontier_consolidation_fwcompact_medium_026079,2246,1294,752924,0p4_0p6,frontier_consolidation_fwcompact_medium_026603,13,2924,27,4,0,False,False
3,edit:frontier_consolidation_fwcompact_medium_056650:0:0-4,row:693,compact_edit,content,Cont,4898,11.140981674194336,0,3820,10.787697792053223,0,2861,10.301855087280273,0,2543,0p4_0p6,0.4375,0.5833333333333334,frontier_consolidation_fwcompact_medium_022332,31,7903,750693,0p4_0p6,frontier_consolidation_fwcompact_medium_056650,16,693,24,4,0,False,False
4,edit:frontier_consolidation_fwcompact_medium_044681:0:0-5,row:2940,compact_edit,connective,After,1482,2.599428415298462,0,2,1.1719064712524414,1,1,4.557881832122803,0,9,0p2_0p4,0.36363636363636365,0.4,frontier_consolidation_fwcompact_medium_030115,2255,9086,752940,0p4_0p6,frontier_consolidation_fwcompact_medium_044681,11,2940,18,5,0,False,False
5,edit:frontier_consolidation_fwcompact_medium_013981:0:0-6,row:2006,compact_edit,content,Almost,11394,11.04237174987793,0,2427,12.746219635009766,0,4639,13.70444393157959,0,6991,0p4_0p6,0.4,0.5238095238095238,frontier_consolidation_fwcompact_medium_058158,2979,2039,752006,0p4_0p6,frontier_consolidation_fwcompact_medium_013981,20,2006,32,6,0,False,False
6,edit:frontier_consolidation_fwcompact_medium_013987:0:18-20,row:2931,compact_edit,content,'s,249,0.24513907730579376,1,1,0.11115662008523941,1,1,0.11872789263725281,1,1,0p2_0p4,0.3,0.6666666666666666,frontier_consolidation_fwcompact_medium_012861,1832,2039,752931,0p6_0p8,frontier_consolidation_fwcompact_medium_013987,10,2931,13,20,18,False,False
7,edit:frontier_consolidation_fwcompact_medium_021435:0:81-85,row:1374,compact_edit,content,oked,8535,4.829833030700684,0,14,6.004979610443115,0,61,4.899834632873535,0,18,0p2_0p4,0.3076923076923077,0.3333333333333333,frontier_consolidation_fwcompact_medium_001236,1038,4586,751374,lt0p4,frontier_consolidation_fwcompact_medium_021435,13,1374,21,85,81,False,False
8,edit:frontier_consolidation_fwcompact_medium_025061:0:91-94,row:1352,compact_edit,content,les,698,5.521346569061279,0,27,6.226181507110596,0,11,5.512602806091309,0,31,0p4_0p6,0.4166666666666667,0.47619047619047616,frontier_consolidation_fwcompact_medium_045360,913,2722,751352,0p4_0p6,frontier_consolidation_fwcompact_medium_025061,24,1352,40,94,91,False,False
9,edit:frontier_consolidation_fwcompact_medium_054180:0:75-78,row:2740,compact_edit,content,see,6166,6.681483268737793,0,62,11.073060989379883,0,349,6.685774803161621,0,59,0p4_0p6,0.45454545454545453,0.4,frontier_consolidation_fwcompact_medium_006402,2098,13513,752740,0p4_0p6,frontier_consolidation_fwcompact_medium_054180,11,2740,25,78,75,False,False
10,edit:frontier_consolidation_fwcompact_medium_015436:0:17-20,row:487,compact_edit,content,zed,7912,5.554932594299316,0,34,6.134164810180664,0,23,6.52004337310791,0,88,0p2_0p4,0.23529411764705882,0.4666666666666667,frontier_consolidation_fwcompact_medium_034375,1184,5686,750487,0p4_0p6,frontier_consolidation_fwcompact_medium_015436,16,487,33,20,17,False,False
11,edit:frontier_consolidation_fwcompact_medium_006478:0:0-3,row:1661,compact_edit,content,One,1620,10.35930347442627,0,2841,12.006860733032227,0,5944,10.980523109436035,0,2908,ge0p6,0.6666666666666666,0.4444444444444444,frontier_consolidation_fwcompact_medium_049011,1331,15070,751661,0p4_0p6,frontier_consolidation_fwcompact_medium_006478,9,1661,12,3,0,False,False
12,edit:frontier_consolidation_fwcompact_medium_031612:0:18-23,row:603,compact_edit,content,ining,1494,7.064554214477539,0,153,8.012643814086914,0,17,6.281307697296143,0,71,0p4_0p6,0.4666666666666667,0.47368421052631576,frontier_consolidation_fwcompact_medium_014937,530,1014,750603,0p4_0p6,frontier_consolidation_fwcompact_medium_031612,15,603,25,23,18,False,False
13,edit:frontier_consolidation_fwcompact_medium_048907:0:69-71,row:2202,compact_edit,content,'s,249,3.671745777130127,0,10,5.446258544921875,0,16,2.32985258102417,0,3,0p4_0p6,0.5263157894736842,0.5,frontier_consolidation_fwcompact_medium_030187,673,15740,752202,0p4_0p6,frontier_consolidation_fwcompact_medium_048907,19,2202,31,71,69,True,False
14,edit:frontier_consolidation_fwcompact_medium_009515:0:0-1,row:2352,compact_edit,content,P,327,5.90073823928833,0,33,6.137392997741699,0,69,7.280808448791504,0,188,0p4_0p6,0.5,0.4,frontier_consolidation_fwcompact_medium_049481,1838,16116,752352,0p4_0p6,frontier_consolidation_fwcompact_medium_009515,8,2352,12,1,0,False,False
15,edit:frontier_consolidation_fwcompact_medium_023592:0:31-37,row:1088,compact_edit,content,ations,895,4.602904319763184,0,8,5.613908767700195,0,10,3.487769365310669,0,2,0p4_0p6,0.4117647058823529,0.5625,frontier_consolidation_fwcompact_medium_045568,1832,15864,751088,0p4_0p6,frontier_consolidation_fwcompact_medium_023592,17,1088,26,37,31,False,False
16,edit:frontier_consolidation_fwcompact_medium_033468:0:0-2,row:1671,compact_edit,content,Al,927,10.153518676757812,0,2368,9.9846830368042,0,2073,11.786062240600586,0,4423,0p4_0p6,0.5,0.3888888888888889,frontier_consolidation_fwcompact_medium_001015,1856,12767,751671,lt0p4,frontier_consolidation_fwcompact_medium_033468,12,1671,33,2,0,False,False
17,edit:frontier_consolidation_fwcompact_medium_053963:0:28-33,row:1659,compact_edit,content,iders,9223,9.658805847167969,0,1691,14.423467636108398,0,4236,9.265972137451172,0,1518,0p2_0p4,0.3333333333333333,0.65,frontier_consolidation_fwcompact_medium_027596,587,6181,751659,0p6_0p8,frontier_consolidation_fwcompact_medium_053963,21,1659,28,33,28,False,False
18,edit:frontier_consolidation_fwcompact_medium_005325:0:80-86,row:351,compact_edit,content,ations,895,10.041542053222656,0,1147,4.467179298400879,0,8,9.636991500854492,0,905,0p4_0p6,0.42857142857142855,0.3888888888888889,frontier_consolidation_fwcompact_medium_021562,947,3689,750351,lt0p4,frontier_consolidation_fwcompact_medium_005325,14,351,28,86,80,False,False
19,edit:frontier_consolidation_fwcompact_medium_027899:0:80-84,row:2167,compact_edit,content,hers,2338,5.948324680328369,0,66,6.212411403656006,0,66,5.174588203430176,0,27,0p4_0p6,0.47058823529411764,0.47058823529411764,frontier_consolidation_fwcompact_medium_023191,856,12367,752167,0p4_0p6,frontier_consolidation_fwcompact_medium_027899,17,2167,29,84,80,False,False
