arm,true_minus_shuffle_mean,true_minus_shuffle_se,true_minus_anchor_mean,true_minus_anchor_se,ewok_acc,ewok_stable_fail_neg,ewok_wrong_median,gpiqa_parallel,gpiqa_hard52_margin_neg,gpiqa_nonparallel,cheap7
compact,0.4871751028481938,0.029113136429871227,0.9748554581844384,0.03936184657589049,0.504331845628774,-0.6890889830508474,-0.9560414860025048,24.271844660194176,-1.717,53.0,43.18142857142857
rowblock,0.5459896227647879,0.03014765932792804,1.0163872696284928,0.04039491900259537,0.495668154371226,-0.6457574180114524,-0.5047678053379059,29.12621359223301,-1.433,45.0,42.63857142857143
interleaved,0.5400406336299323,0.031580162798373446,1.061472212260707,0.041709693048179425,0.5111577841953269,-0.682062298603652,-0.6662999228574336,26.21359223300971,-1.66,56.0,43.07928571428572
