family,lift_delta_structured_minus_neutral,neutral_delta,neutral_target_nll,prompt_id,query_only_delta,query_only_target_nll,reversed_delta,reversed_target_nll,sensitivity_delta_structured_minus_reversed,structured_delta,structured_target_nll,target_nll_improvement_neutral_minus_structured,target_nll_improvement_reversed_minus_structured
entity_state_update,-1.4720215797424316,0.9282498359680176,7.193639278411865,v2_003_row48575,1.361027717590332,2.121058940887451,-0.9804680347442627,4.3259687423706055,0.43669629096984863,-0.5437717437744141,3.978986978530884,3.2146522998809814,0.3469817638397217
entity_state_update,1.584486961364746,0.1398639678955078,4.162083148956299,v2_004_row3757,1.1543636322021484,2.60305118560791,-0.09814834594726562,1.2371740341186523,1.8224992752075195,1.724350929260254,0.5625538229942322,3.5995293259620667,0.6746202111244202
entity_state_update,-1.5753508806228638,1.2723398208618164,6.642287731170654,v2_005_row5106,-0.16413211822509766,4.083836555480957,-0.8948469161987305,3.1527371406555176,0.5918358564376831,-0.30301105976104736,2.1768999099731445,4.46538782119751,0.975837230682373
event_temporal_causal,1.8355350494384766,2.2607736587524414,5.085475921630859,v2_007_row21797,8.357049942016602,2.6073503494262695,2.219724416732788,3.5706961154937744,1.8765842914581299,4.096308708190918,3.911299705505371,1.1741762161254883,-0.3406035900115967
event_temporal_causal,2.997304916381836,2.17343807220459,5.405877590179443,v2_009_row27775,4.758902549743652,5.805164337158203,1.9693679809570312,4.095724105834961,3.2013750076293945,5.170742988586426,3.9386253356933594,1.467252254486084,0.15709877014160156
event_temporal_causal,1.4657025337219238,7.146727085113525,2.3712668418884277,v2_010_row31794,9.55645751953125,2.0494608879089355,5.515730381011963,1.8041105270385742,3.0966992378234863,8.61242961883545,2.400031328201294,-0.02876448631286621,-0.5959208011627197
polarity_contrast_event,0.5926780700683594,0.5228042602539062,9.066944122314453,v2_015_row11580,1.9189658164978027,7.13808012008667,-0.4592475891113281,6.240489959716797,1.5747299194335938,1.1154823303222656,8.568928718566895,0.4980154037475586,-2.3284387588500977
polarity_contrast_event,2.838564872741699,0.6373577117919922,6.5484209060668945,v2_016_row14948,3.023416519165039,6.673900604248047,0.964599609375,4.2071919441223145,2.5113229751586914,3.4759225845336914,4.137306213378906,2.4111146926879883,0.0698857307434082
polarity_contrast_event,-0.5879077911376953,2.0707149505615234,6.882944107055664,v2_017_row14082,2.654170036315918,7.0659894943237305,1.897294044494629,7.433218955993652,-0.4144868850708008,1.4828071594238281,8.209016799926758,-1.3260726928710938,-0.7757978439331055
social_belief_report,0.4323568344116211,2.5410938262939453,10.740771293640137,v2_029_row29083,1.1606645584106445,11.46480655670166,2.7690868377685547,10.615822792053223,0.20436382293701172,2.9734506607055664,10.409799575805664,0.33097171783447266,0.2060232162475586
