context_kind,delta_target_minus_distractor,distractor,distractor_id,distractor_nll,family,logp_distractor,logp_target,masked_len,prompt_id,row_index,source_bucket,target,target_id,target_nll
query_only,1.361027717590332,before,755,3.482086658477783,entity_state_update,-3.482086658477783,-2.121058940887451,28,v2_003_row48575,48575,SimpleWiki,after,644,2.121058940887451
neutral,0.9282498359680176,before,755,8.121889114379883,entity_state_update,-8.121889114379883,-7.193639278411865,57,v2_003_row48575,48575,SimpleWiki,after,644,7.193639278411865
structured,-0.5437717437744141,before,755,3.4352152347564697,entity_state_update,-3.4352152347564697,-3.978986978530884,58,v2_003_row48575,48575,SimpleWiki,after,644,3.978986978530884
reversed,-0.9804680347442627,before,755,3.3455007076263428,entity_state_update,-3.3455007076263428,-4.3259687423706055,58,v2_003_row48575,48575,SimpleWiki,after,644,4.3259687423706055
query_only,1.1543636322021484,before,755,3.7574148178100586,entity_state_update,-3.7574148178100586,-2.60305118560791,27,v2_004_row3757,3757,Gutenberg,after,644,2.60305118560791
neutral,0.1398639678955078,before,755,4.301947116851807,entity_state_update,-4.301947116851807,-4.162083148956299,48,v2_004_row3757,3757,Gutenberg,after,644,4.162083148956299
structured,1.724350929260254,before,755,2.286904811859131,entity_state_update,-2.286904811859131,-0.5625538229942322,48,v2_004_row3757,3757,Gutenberg,after,644,0.5625538229942322
reversed,-0.09814834594726562,before,755,1.1390256881713867,entity_state_update,-1.1390256881713867,-1.2371740341186523,48,v2_004_row3757,3757,Gutenberg,after,644,1.2371740341186523
query_only,-0.16413211822509766,before,755,3.9197044372558594,entity_state_update,-3.9197044372558594,-4.083836555480957,18,v2_005_row5106,5106,Gutenberg,after,644,4.083836555480957
neutral,1.2723398208618164,before,755,7.914627552032471,entity_state_update,-7.914627552032471,-6.642287731170654,37,v2_005_row5106,5106,Gutenberg,after,644,6.642287731170654
structured,-0.30301105976104736,before,755,1.8738888502120972,entity_state_update,-1.8738888502120972,-2.1768999099731445,36,v2_005_row5106,5106,Gutenberg,after,644,2.1768999099731445
reversed,-0.8948469161987305,before,755,2.257890224456787,entity_state_update,-2.257890224456787,-3.1527371406555176,36,v2_005_row5106,5106,Gutenberg,after,644,3.1527371406555176
query_only,8.357049942016602,despite,5714,10.964400291442871,event_temporal_causal,-10.964400291442871,-2.6073503494262695,21,v2_007_row21797,21797,Gutenberg,because,684,2.6073503494262695
neutral,2.2607736587524414,despite,5714,7.346249580383301,event_temporal_causal,-7.346249580383301,-5.085475921630859,42,v2_007_row21797,21797,Gutenberg,because,684,5.085475921630859
structured,4.096308708190918,despite,5714,8.007608413696289,event_temporal_causal,-8.007608413696289,-3.911299705505371,41,v2_007_row21797,21797,Gutenberg,because,684,3.911299705505371
reversed,2.219724416732788,despite,5714,5.7904205322265625,event_temporal_causal,-5.7904205322265625,-3.5706961154937744,41,v2_007_row21797,21797,Gutenberg,because,684,3.5706961154937744
query_only,4.758902549743652,despite,5714,10.564066886901855,event_temporal_causal,-10.564066886901855,-5.805164337158203,23,v2_009_row27775,27775,Gutenberg,because,684,5.805164337158203
neutral,2.17343807220459,despite,5714,7.579315662384033,event_temporal_causal,-7.579315662384033,-5.405877590179443,45,v2_009_row27775,27775,Gutenberg,because,684,5.405877590179443
structured,5.170742988586426,despite,5714,9.109368324279785,event_temporal_causal,-9.109368324279785,-3.9386253356933594,45,v2_009_row27775,27775,Gutenberg,because,684,3.9386253356933594
reversed,1.9693679809570312,despite,5714,6.065092086791992,event_temporal_causal,-6.065092086791992,-4.095724105834961,45,v2_009_row27775,27775,Gutenberg,because,684,4.095724105834961
query_only,9.55645751953125,despite,5714,11.605918884277344,event_temporal_causal,-11.605918884277344,-2.0494608879089355,24,v2_010_row31794,31794,Gutenberg,because,684,2.0494608879089355
neutral,7.146727085113525,despite,5714,9.517993927001953,event_temporal_causal,-9.517993927001953,-2.3712668418884277,45,v2_010_row31794,31794,Gutenberg,because,684,2.3712668418884277
structured,8.61242961883545,despite,5714,11.012460708618164,event_temporal_causal,-11.012460708618164,-2.400031328201294,47,v2_010_row31794,31794,Gutenberg,because,684,2.400031328201294
reversed,5.515730381011963,despite,5714,7.319840908050537,event_temporal_causal,-7.319840908050537,-1.8041105270385742,47,v2_010_row31794,31794,Gutenberg,because,684,1.8041105270385742
query_only,1.9189658164978027,rejected,13727,9.057045936584473,polarity_contrast_event,-9.057045936584473,-7.13808012008667,26,v2_015_row11580,11580,Gutenberg,accepted,6812,7.13808012008667
neutral,0.5228042602539062,rejected,13727,9.58974838256836,polarity_contrast_event,-9.58974838256836,-9.066944122314453,51,v2_015_row11580,11580,Gutenberg,accepted,6812,9.066944122314453
structured,1.1154823303222656,rejected,13727,9.68441104888916,polarity_contrast_event,-9.68441104888916,-8.568928718566895,51,v2_015_row11580,11580,Gutenberg,accepted,6812,8.568928718566895
reversed,-0.4592475891113281,rejected,13727,5.781242370605469,polarity_contrast_event,-5.781242370605469,-6.240489959716797,51,v2_015_row11580,11580,Gutenberg,accepted,6812,6.240489959716797
query_only,3.023416519165039,despite,5714,9.697317123413086,polarity_contrast_event,-9.697317123413086,-6.673900604248047,29,v2_016_row14948,14948,Gutenberg,because,684,6.673900604248047
neutral,0.6373577117919922,despite,5714,7.185778617858887,polarity_contrast_event,-7.185778617858887,-6.5484209060668945,54,v2_016_row14948,14948,Gutenberg,because,684,6.5484209060668945
structured,3.4759225845336914,despite,5714,7.613228797912598,polarity_contrast_event,-7.613228797912598,-4.137306213378906,57,v2_016_row14948,14948,Gutenberg,because,684,4.137306213378906
reversed,0.964599609375,despite,5714,5.1717915534973145,polarity_contrast_event,-5.1717915534973145,-4.2071919441223145,57,v2_016_row14948,14948,Gutenberg,because,684,4.2071919441223145
query_only,2.654170036315918,false,6878,9.720159530639648,polarity_contrast_event,-9.720159530639648,-7.0659894943237305,27,v2_017_row14082,14082,Gutenberg,true,1991,7.0659894943237305
neutral,2.0707149505615234,false,6878,8.953659057617188,polarity_contrast_event,-8.953659057617188,-6.882944107055664,51,v2_017_row14082,14082,Gutenberg,true,1991,6.882944107055664
structured,1.4828071594238281,false,6878,9.691823959350586,polarity_contrast_event,-9.691823959350586,-8.209016799926758,55,v2_017_row14082,14082,Gutenberg,true,1991,8.209016799926758
reversed,1.897294044494629,false,6878,9.330513000488281,polarity_contrast_event,-9.330513000488281,-7.433218955993652,55,v2_017_row14082,14082,Gutenberg,true,1991,7.433218955993652
query_only,1.1606645584106445,rejected,13727,12.625471115112305,social_belief_report,-12.625471115112305,-11.46480655670166,47,v2_029_row29083,29083,Gutenberg,accepted,6812,11.46480655670166
neutral,2.5410938262939453,rejected,13727,13.281865119934082,social_belief_report,-13.281865119934082,-10.740771293640137,70,v2_029_row29083,29083,Gutenberg,accepted,6812,10.740771293640137
structured,2.9734506607055664,rejected,13727,13.38325023651123,social_belief_report,-13.38325023651123,-10.409799575805664,74,v2_029_row29083,29083,Gutenberg,accepted,6812,10.409799575805664
reversed,2.7690868377685547,rejected,13727,13.384909629821777,social_belief_report,-13.384909629821777,-10.615822792053223,75,v2_029_row29083,29083,Gutenberg,accepted,6812,10.615822792053223
