basin,checkpoint,status,words,view_affected_accuracy,repeat_affected_accuracy,affected_delta_view_minus_repeat,view_unaffected_accuracy,repeat_unaffected_accuracy,unaffected_delta_view_minus_repeat,EEBF_delta_view_minus_repeat,affected_margin_delta_view_minus_repeat,unaffected_margin_delta_view_minus_repeat,signed_bias_margin_delta,change_bias_signature
seed43022_first_basin,chck_10M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_20M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_30M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_40M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_50M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_60M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_70M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_80M,ok,80000000,0.453125,0.21875,0.234375,0.5677083333333334,0.7708333333333334,-0.203125,0.015625000000000056,0.8353183294530027,-0.8966368094746333,1.731955138927636,True
seed43022_first_basin,chck_90M,missing_pair,,,,,,,,,,,,
seed43022_first_basin,chck_100M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_10M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_20M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_30M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_40M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_50M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_60M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_70M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_80M,ok,80000000,0.20833333333333334,0.203125,0.005208333333333343,0.8541666666666666,0.7760416666666666,0.078125,0.041666666666666685,-0.39494026704536145,0.8500522060397391,-1.2449924730851005,False
seed43122_second_basin,chck_90M,missing_pair,,,,,,,,,,,,
seed43122_second_basin,chck_100M,missing_pair,,,,,,,,,,,,
